AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2021-05-08T02:36:39.9620000+08:00","@Omar had a great idea to create a channel dedicated for sharing business outcomes / use cases / case studies an the like!","","👏 (3)"
"740365995419631736","omarazizahmed","2021-05-08T02:46:14.9810000+08:00","Love this.","",""
"740365995419631736","omarazizahmed","2021-05-08T02:59:46.0210000+08:00","I am really excited about this channel! Thanks @zackscriven !","",""
"745009912160976977","marioishikawa","2021-05-08T03:17:14.7950000+08:00","Great idea @Omar !","",""
"740365995419631736","omarazizahmed","2021-05-18T00:16:30.5700000+08:00","I am waiting for some posts here!  This channel could be a little bragadocious for people but sometimes you need to be. We should be proud of our efforts. If you are an integrator and you helped to save a company money you should be proud of that. If you are a software provider and your software helped a company save time, resources or just helped them you should be proud of that. However, I think we are all a little timid of saying I helped this company become awesome.","",""
"194289793905983489","zackscriven","2021-05-18T02:01:26.0330000+08:00","I think it would be a great collaboration to market the manufacturer. Who said a manufacturer can't have a personal brand?","",""
"753818223337668620","lilythehunter","2021-06-16T23:18:24.8220000+08:00","I'd love some feedback on how we're building out our ocean-based aquaculture use case if anyone is in that space! https://www.sightline.com/aquaculture/","",""
"753818223337668620","lilythehunter","2021-06-16T23:18:54.4980000+08:00","@Anders Gustav 🙂","",""
"740365995419631736","omarazizahmed","2021-06-16T23:20:58.7570000+08:00","This seems interesting. What are you all doing @LilyHunter","",""
"753818223337668620","lilythehunter","2021-06-16T23:25:03.4660000+08:00","We are a software industry 4.0 company that does AI data intelligence & cybersecurity but the (ocean based net pen) aquaculture world is hurting right now because of climate change, algae blooms, fish escapes, govt reporting mandates, etc. so we’re working with a few within this space for cross-facility monitoring & alerting, predictive analytics, forecasting, and end-to-end data security (like we saw with JBS recently, food production can be a major target).","",""
"753818223337668620","lilythehunter","2021-06-16T23:26:34.3920000+08:00","","https://cdn.discordapp.com/attachments/840295973522898944/854743763209420810/unknown.png?ex=68df4269&is=68ddf0e9&hm=cab718012d66d2a45222ec31d41636af34cd6eedcbd3e8ac1b66809e973469c5&",""
"740365995419631736","omarazizahmed","2021-06-16T23:28:52.2420000+08:00","What a great cause.","",""
"740365995419631736","omarazizahmed","2021-06-16T23:29:01.0500000+08:00","Anything we can do to save the planet.","",""
"766684226455207996","bright_hummingbird_31342","2021-06-17T00:04:29.0400000+08:00","(refrains from making a phishing pun)","",""
"756565963520081950","andersgustav","2021-06-17T02:06:21.0040000+08:00","Looks quite interesting, must say. And the need for proper tools in this area is big.

How does it align with the UNS methodology, Open standards etc?

Does it play well with everyone else, or does it aim to run the show all by it self?","",""
"740365995419631736","omarazizahmed","2021-06-17T02:11:51.9980000+08:00","Lol","","🎣 (1)"
"740365995419631736","omarazizahmed","2021-06-17T02:12:01.5490000+08:00","Good question.","",""
"753818223337668620","lilythehunter","2021-06-17T04:11:56.9320000+08:00","Well, we're hardware agnostic, in terms of being able to deploy (integrating in a customized manner) across vastly different IT & OT infrastructures. For example, we started off nearly 30 years ago as a predictive analytics tool for IT mainframes, but the IoT use cases to me are the most exciting right now. We have implemented the SIAS cybersecurity solution in partnership with Unisys, and have a number of other strategic partnerships, but also are excited to learn and connect to all the systems an org is using (we like to play in the sandbox well with others). The reason we went down this path was because of the new Chilean mandates that require net-pen fisheries to have continuous monitoring & communicate that data and generate the reporting with Sernapesca and the SMA agencies. At the end of the day, a lot of the biggest issues in the industry and triggers for things like algae blooms lie in the proper use of that data. UNS methodology, absolutely! Continuous monitoring & reporting, understanding the root causes of past parameter crashes, etc.","","👍 (1),🤔 (1)"
"817835202746253344","IIoT#4707","2021-06-17T04:11:57.1860000+08:00","GG @LilyHunter, you just advanced to level 3!","",""
"753818223337668620","lilythehunter","2021-06-17T04:13:43.6930000+08:00","And yes, the phishing puns are just too darn easy all over this situation 😉","","🐠 (1)"
"753818223337668620","lilythehunter","2021-06-17T04:20:55.2980000+08:00","I would absolutely welcome any feedback. I'm an aquaculture industry outsider, albeit one who has spent quite a few hours reading intrafish the past several weeks. Also, understanding at these super geographically spread out global companies, who the types of people are who could see things like this and might actually be able to implement it.","",""
"756565963520081950","andersgustav","2021-06-17T04:51:54.2840000+08:00","*..net-pen..* - and now also net-puns ;)","",""
"753818223337668620","lilythehunter","2021-06-17T04:53:12.3550000+08:00","OH LORD","",""
"753818223337668620","lilythehunter","2021-06-17T04:53:15.4070000+08:00","can't unsee it","",""
"753818223337668620","lilythehunter","2021-06-17T04:53:50.7020000+08:00","and i've typed net-pen so many times in the past week","","🤣 (1)"
"756565963520081950","andersgustav","2021-06-17T04:54:09.2630000+08:00","It's kind of a crazy week, but next week I think I'll have time for a chat/zoom/teams or what works for you","",""
"817835202746253344","IIoT#4707","2021-06-17T04:54:09.6370000+08:00","GG @Anders Gustav, you just advanced to level 7!","",""
"753818223337668620","lilythehunter","2021-06-17T04:54:48.9510000+08:00","Totally, would love to chat. I just don't even know where to begin in connecting within that community","","😂 (1)"
"753818223337668620","lilythehunter","2021-06-17T04:55:11.8070000+08:00","We've been doing a lot in Chile, but not in Nordics/Scotland","",""
"756565963520081950","andersgustav","2021-06-17T04:55:49.6260000+08:00","I'll help if I can.","",""
"753818223337668620","lilythehunter","2021-06-17T04:56:25.9250000+08:00","That would be awesome!","",""
"753818223337668620","lilythehunter","2021-06-17T04:56:56.5320000+08:00","I know it's a really phenomenal application of the technology, but I'm also a N00b","",""
"756565963520081950","andersgustav","2021-06-17T04:57:20.1310000+08:00","Have this in mind:
We have a few systems for this, but they all are the vendorlock kind, and we kind of are tired of that ;)","",""
"753818223337668620","lilythehunter","2021-06-17T04:57:56.2310000+08:00","Oh yeah, heck no","",""
"753818223337668620","lilythehunter","2021-06-17T04:58:10.5440000+08:00","I mean we do have to be security conscious, obviously","",""
"753818223337668620","lilythehunter","2021-06-17T04:58:35.5130000+08:00","but governments are requiring continuous monitoring & reporting now","",""
"753818223337668620","lilythehunter","2021-06-17T04:59:22.6400000+08:00","so ""proprietary"" software that doesn't want to have lunch with anyone else isn't going to work","",""
"756565963520081950","andersgustav","2021-06-17T04:59:36.7250000+08:00","True","",""
"753818223337668620","lilythehunter","2021-06-17T05:07:35.2950000+08:00","But yeah, I want to make sure we approach this really understanding the ops and pain points (besides my just reading Intrafish lots)","",""
"817835202746253344","IIoT#4707","2021-06-17T05:07:35.5970000+08:00","GG @LilyHunter, you just advanced to level 4!","",""
"753688565807841492","ravil1","2021-07-28T05:44:25.1380000+08:00","Hi, often I can see posts about OPC UA that it is too complex, takes months to implement OPC UA server or client, etc. As an expert in this field would like to hear from the community about use cases of failed projects where OPC UA was not a good choice.  I would like also to share my recent project, where it took only 45 hours to port the open62541 library to embedded RTOS with limited resources and have a server running. With the right partner, your projects should succeed.","",""
"766684226455207996","bright_hummingbird_31342","2021-07-28T06:21:44.8370000+08:00","45 hours to connect to an embedded UA server on one device?","",""
