AuthorID,Author,Date,Content,Attachments,Reactions
"745796393855352953","thedavidschultz","2023-09-27T00:55:31.8420000+08:00","First😂","","💯 (1),🤣 (1)"
"745796393855352953","thedavidschultz","2023-09-27T00:57:06.7130000+08:00","@Brian Pribe and I are having a conversation about whether data should be modeled in a DataOps tool like HighByte or in a day hub like Libre. Version control can become a nightmare. But there are benefits to decoupling. Thoughts?","",""
"568913935147728896","zeratall","2023-09-27T01:07:32.1880000+08:00","I have a ton of thoughts lately around data governance and have some thoughts questions myself. Kind of related to the same topic and my line of thinking I posted in #💬-general I’m slammed atm irl doing some architecture work but I’ll post a little later","",""
"745796393855352953","thedavidschultz","2023-09-27T01:08:00.1620000+08:00","Looking forward to it.","",""
"890244048739270656","brianpribe","2023-09-27T01:23:47.8220000+08:00","I guess one of my first questions to ask is who should be doing the data modeling and why? Why should a dedicated data modeling team be doing the work? Why should the frontline worker be doing the data modeling?","",""
"890244048739270656","brianpribe","2023-09-27T01:25:34.0330000+08:00","Frontline workers will be modeling, because they are trying to solve problems on the plant floor. A data modeling team will also be doing this, but with the added responsibility of managing the hierarchy and enforcing it.","",""
"794542235676180500","akoscs","2023-09-27T01:28:01.5500000+08:00","Fifth!","",""
"794542235676180500","akoscs","2023-09-27T01:29:57.3420000+08:00","In reality? Whoever knows best!","",""
"796223784650670110","dapomeranz","2023-09-27T01:35:48.6900000+08:00","You're getting at the answer to your own question. Which means you've thought about this a lot 😆 

Central team must own, document, and maintain models. But must take time and invest in educating the ""spokes"" at the business level to input and build for more specific problems. Great opportunity for career development. Especially as tools get easier to learn and use, anyone can build data models.","","🔥 (1)"
"890244048739270656","brianpribe","2023-09-27T01:36:20.3970000+08:00","So anybody and everybody! The problem now is governing it. John Dyck from CESMII made an awesome point on integrating a single data point up to the MES level. It took 6 different software and over 1000 keyboard clicks to get there. I'm paraphrasing, but the same example can be applied to data modeling. How long do you think it would take to get one data model deployed in an enterprise? Highbyte can expodite much of this, but there is still a lot to be done in the database.","",""
"794542235676180500","akoscs","2023-09-27T01:37:46.2950000+08:00","If you think in monoliths, you are right. For microservices if development is decentralized then data modelling should also be decentralized. But governance is different from implemenation","",""
"568913935147728896","zeratall","2023-09-27T01:40:40.2890000+08:00","The way this conversation/channel is kicking off  is going is really getting me excited lol","",""
"890244048739270656","brianpribe","2023-09-27T01:45:20.0870000+08:00","Development must stay in their sandbox, but at production it's gotta conform. Microservices are great for the micro things that they do, but the data they produce to the rest of the ecosystem has to meet some MTRs (in regards to the data itself).","",""
"890244048739270656","brianpribe","2023-09-27T01:46:31.7840000+08:00","Timestamps and JSON format for example. Or even worse, conforming to medical or safety standards for reporting","",""
"568913935147728896","zeratall","2023-09-27T02:24:55.0800000+08:00","Totally agree, that’s what I was referring to in my other post. The OT domain requires flexibility to represent data to enable the floor. That being said consumers at the site or enterprise level need some structure  for those consumers to be able to navigate that structure.  

I think the central/monolithic data model approach is hard to maintain long term, but the alternatives solve some of these issues that also have “different problems” 

For the these IT/OT architectures I think there is a real question around even some of the basics like, who becomes the data stewards, domain stewards, who manages the data management plan. Most of these best practices for governance are for traditional IT which I think fall flat in OT","",""
"890244048739270656","brianpribe","2023-09-27T02:29:37.3660000+08:00","The importance can't be underestimated as well. If we are designing our enterprises to be data-driven (data informing and making decisions), then there must be a dedicated role for this at the C-level.","","👍🏻 (1)"
"568913935147728896","zeratall","2023-09-27T02:30:16.2930000+08:00","Totally, imho Data needs to be seen as a company asset and developed and managed like any other end product.

I believe once enterprises see data/information as a product itself instead of some process bi product, that’s what will drive some of these transformation things like org restructuring,  etc. then again that’s my personal take on it lol","",""
"890244048739270656","brianpribe","2023-09-27T02:34:56.9600000+08:00","Yuuuup. I think it needs to be equated to dollar signs. Just as money is the fuel that makes things happen, so it is too with data. Walker in mastermind had a module dedicated to restructuring the C-level and I never quite got it until more recently.","",""
"745796393855352953","thedavidschultz","2023-09-27T03:01:30.0280000+08:00","It is the balance of “thou shalt” and “thou may.” I firmly believe there should be an enterprise enforced data model that facilitates corporate decision making. The sites should then be able to expand the model based on their needs. For example, an Ignition UDT can reference a parent UDT. In this case the parent is the enterprise model and the child is the site. There are many ways to accomplish this task.","",""
"568913935147728896","zeratall","2023-09-27T03:07:54.9060000+08:00","Yeah I totally agree, I see the need and imho there needs to be something in the architecture that facilitates the need. I’m just not sold on the “how”. I think a central data model becomes hard to manage at scale. While I like UNS, I also see issues on distributed governance. That’s why I said they both have pros and cons but the cons are just different.","",""
"745796393855352953","thedavidschultz","2023-09-27T03:08:33.2940000+08:00","The devil is always in the details.","",""
"745796393855352953","thedavidschultz","2023-09-27T03:10:23.7030000+08:00","Perhaps a DataOps team comprised of several stakeholders. There would be an enterprise team, site teams, and a liaison between them.","","👍 (1)"
