AuthorID,Author,Date,Content,Attachments,Reactions
"744671252605829181","jeff.rankinen","2022-02-22T23:52:19.3440000+08:00","If the above button doesn't work, please copy and paste the following link into your browser:
https://tatsoft.clickmeeting.com/mqtt-a-technical-workshop?r=AGHmAwZmAmq8sSqlp3ZtEJ5urUMupzS8sUqyozS4qzSNL3OaYaWknUk8Zmt2ZmH4BQN__","",""
"744671252605829181","jeff.rankinen","2022-02-22T23:52:55.4590000+08:00","Tatsoft MQTT webinar today at 11:00 Eastern","",""
"744671252605829181","jeff.rankinen","2022-02-22T23:55:34.1300000+08:00","","https://cdn.discordapp.com/attachments/945394142391992361/945710413667000380/Screenshot_20220222-105504.png?ex=68df4935&is=68ddf7b5&hm=04721dcc02d5c2e37f039783e5fadb58ccf0cda220b267111f616ec4377a54c3&","🔥 (1)"
"194289793905983489","zackscriven","2022-02-23T01:44:42.2800000+08:00","Thanks for sharing @Jeff Rankinen 🕺","",""
"686318224320626734",".stibbits","2022-03-25T00:08:13.9170000+08:00","The new ""Build a Project"" course is a great crash course!
Hope there is more content coming.","","👍 (1)"
"260594842093092864","y_u_no_python","2022-04-29T09:09:48.1790000+08:00","Spam?","",""
"829502128191045652","joshuastover","2022-04-29T09:10:35.5230000+08:00","Yes, he has been banned... cleaning up his trash","","👍 (2)"
"829502128191045652","joshuastover","2022-04-29T09:13:56.8480000+08:00","It must be a sad life of a Phishing scammer","",""
"744671252605829181","jeff.rankinen","2022-06-08T03:20:48.2560000+08:00","Shout out to @DaveHellyer(Tatsoft) for the complementary registration to next week's FrameworX training! June 14, 15 & 16 https://tatsoft.com/communication/fs-fundamentals-training-class-web-based-5/","","👏 (1)"
"744671252605829181","jeff.rankinen","2022-06-08T03:21:48.6980000+08:00","🕺 🕺 🕺","",""
"972729012570964008","ivangap.","2022-06-15T19:26:09.0780000+08:00","Anyone out there using thingworx?","",""
"435545119052005387","ultraphoenix.","2022-06-30T22:28:01.0860000+08:00","I have been trained on TWX but did work on a project yet","",""
"958349073126129665","niravpatel16","2022-07-08T23:27:44.3270000+08:00","Reach out to @RickBullotta , he can assist you with Thingworx.","",""
"867075936054149191","rickbullotta","2022-07-08T23:30:53.1890000+08:00","Lmk what you need!","",""
"744671252605829181","jeff.rankinen","2022-07-15T01:29:51.0120000+08:00","Pretty cool about the latest FrameworX self-aware feature described in last Friday's Mentorship call. Now getting PLC data onto a FrameworX dashboard is so easy even my Chocolate Lab can do it!","https://cdn.discordapp.com/attachments/945394142391992361/997193221308428348/unknown.png?ex=68df5f4e&is=68de0dce&hm=9b262595fecb9eb37d11b6ed97e61be8ffff726db2741cd324f325525e5e5f76&","👍 (3),😀 (1)"
"972729012570964008","ivangap.","2022-07-15T11:27:58.6230000+08:00","Just downloaded and installed factory studio demo license in my lap. I spend some time playing with the demos this morning","",""
"972729012570964008","ivangap.","2022-07-15T11:33:34.0060000+08:00","Should I go through every what’s in the box episode or what would you recommend for fast training","",""
"686318224320626734",".stibbits","2022-07-15T20:27:46.8110000+08:00","https://training.tatsoft.com/
This is a good resource! 
The build a project is a pretty good crash course","",""
"972729012570964008","ivangap.","2022-07-16T01:09:20.5160000+08:00","Thanks!","","👍 (1)"
"964939258303496195","gonzalo.alvarez","2022-08-14T09:06:26.2290000+08:00","Hi. I joined mastermind recently. In my architecture I’d prefer not to use Java so I’d prefer to use Factory Studio over Ignition. I need to integrate SAP ERP to the UNS. Ignition uses sepasoft’s SAP ERP connector. Is it there an specific application for FS? I currently use SAP connector to call bapis in visual  studio using. Net. I am trying to understand what would be the right way to get data from SAP into the UNS using Factory Studio","",""
"867075936054149191","rickbullotta","2022-08-14T09:13:16.2090000+08:00","Same way!  C# scripts.","",""
"964939258303496195","gonzalo.alvarez","2022-08-14T09:31:27.4580000+08:00","I see. Thanks","",""
"964939258303496195","gonzalo.alvarez","2022-09-02T00:28:44.8020000+08:00","I am trying to follow “Building a Unifies. Ames pace with FrameworX” there is a reference to  the demo project fxAssetsMonitorB”
B is not available but I am trying to run the one without B. The problem is I can’t see any cities not the map","",""
"964939258303496195","gonzalo.alvarez","2022-09-02T00:29:18.8750000+08:00","","https://cdn.discordapp.com/attachments/945394142391992361/1014934990175338577/A757FCDC-4650-4130-AF18-C17A6E8A2648.jpg?ex=68df511e&is=68ddff9e&hm=0d011a4c11eefcdd1260210867a7de40bbec0bd929b249789b6fc0e6e2bac057&",""
"964939258303496195","gonzalo.alvarez","2022-09-02T00:29:46.0340000+08:00","","https://cdn.discordapp.com/attachments/945394142391992361/1014935104105238609/61D1706F-0016-466B-8A3D-EE15A7D54D4D.jpg?ex=68df5139&is=68ddffb9&hm=bf7386488106c3002e53a9f67c459b4e1f73312bafa633a6aebdbb62859a56ba&",""
