AuthorID,Author,Date,Content,Attachments,Reactions
"847112695681777725","markritchie8899","2021-11-01T21:36:19.6010000+08:00","Let’s start this off with the contentious KPI that seems to be in every other channel. OEE. Course KPI which is a straight forward calculation, but has confounded components. For example availability, as a rule, is typically placed at the feet of the maintenance team when in reality all DT is not due to maintenance. (E.g. operator misloads machine and a jam occurs, upstream product has dimensional variation which jams the machine).","","🤔 (1)"
"867075936054149191","rickbullotta","2021-11-01T21:38:40.0750000+08:00","And the ""quality"" element of OEE is notoriously inaccurate in cases where you can't do near-time, inline inspection and quality determination.  How accurately are downstream quality issues ""charged back"" to the appropriate upstream machine/process/crew/shifts/etc - rarely!","",""
"867075936054149191","rickbullotta","2021-11-01T21:39:32.4530000+08:00","It often seems that the ""better, faster, cheaper"" paradox controls so much of the universe - our KPIs should reflect this.","",""
"847112695681777725","markritchie8899","2021-11-01T21:57:23.4790000+08:00","Good point. Also can be confounded. Is the reject due to the machine currently working on the part or from the upstream machine which produces the marginal sub assembly. Would a better approach be to use the excess delta of ECP or Tesla’s Real Cost  to calculate the Quality component of OEE? E.g. $1 Part that has ECP cost of $1.25 has delta of 0.25 >> Q = 75%. Identifying the source would be an evaluation of the upstream real cost generators ??","","👍 (1)"
"867075936054149191","rickbullotta","2021-11-01T21:59:00.3680000+08:00","Identifying the source would (hopefully) be part of any root cause analysis anyway.  It's just that real-time or even recent ""OEE"" can be horribly inaccurate in cases like this.","",""
"876880919988957205","ryankershaw","2021-11-01T22:14:19.8390000+08:00","Woot!  A proper place to bitch about OEE!  Honestly, I see OEE as a CFO number.  Super high level, only really ""works"" when trended, and really only meant to provide a quick indicator of performance.  If you're down at the line level you are going to be looking at the individual components, and trying to use OEE as an incentivizing measurement (i.e. choose to praise/punish based on it) is going to cause issues.","","💯 (1)"
"876880919988957205","ryankershaw","2021-11-01T22:20:13.8930000+08:00","Is ECP ""Expected Cost to Produce""?  We may need to design a acronym dictionary for this channel. 🙂  If it is, then yeah, I think this metric would be a good one.  Plus, it would also take into account parts that are completely rejected, or just on the fringes of acceptability.  I think of a filling application, where the the LCP and UCP are 100 and 120 respectively.  The machine needs to ensure that the minimum is met to ensure it complies with labelling, so slight overfilling is expected, but the more the machine overfills, the more unpaid product it sends out.  So as the measurement goes towards the UCP, the quality number should decrease even if the machine is controlling within spec.","",""
"847112695681777725","markritchie8899","2021-11-01T23:09:36.3230000+08:00","Effective Cost of Production(ECP). A term from Wheeler's ""Six Sigma Practitioner's Guide to Data Analysis"". May be similar to the  Real Cost of Production Zack references. Uses Cp (Spec to Natural Process Limits), Cpk (how centered the process is), to calculate the ECP for a product. Has tables that also address one sided limits as in you example. <100 is scrap, > 100 is good but with increasing cost with each increment above 100.","","💯 (1)"
"194289793905983489","zackscriven","2021-11-02T05:43:44.4320000+08:00","Why are Availability, performance, and quality weighted equally in OEE? Because a machine that’s 50% available running at 100% produces the same output as a machine that’s 100% available running at 50% speed… AND that produces the same as a machine that’s 100% available running at 100% but only producing 50% good parts.","",""
"194289793905983489","zackscriven","2021-11-02T05:50:39.2600000+08:00","You can fill up our comments how each of those scenarios has a different economic value (scrap costs more… running at 100% has an increased peak energy usage, etc), but the Math Works out the same in terms of units produced.","","👍 (1)"
"194289793905983489","zackscriven","2021-11-02T05:53:37.9720000+08:00","Would you trust a companies effective cost of production calculation that isn’t even able to calculate OEE in real-time?","",""
"756247672637358181","sherylmccrary","2021-11-02T07:04:56.6920000+08:00","More on OEE...
OEE is a quick-glance, easily understood indicator; just don't use it to run your business--- https://discord.com/channels/738470295056416930/740564843710382080/903669044144652350

Measuring the Quality component of OEE, Dr Wheeler approach to SPC and control charting---https://discord.com/channels/738470295056416930/738470295056416934/903852115217240084

Calculating and applying OEE--- https://discord.com/channels/738470295056416930/740336189449699408/903642659200073778","",""
"756247672637358181","sherylmccrary","2021-11-02T07:40:07.4670000+08:00","Reacting to ""trying to use OEE as an incentivizing measurement (i.e. choose to praise/punish)"" instead of decision support... I'd like to hear @zackscriven , @Walker Reynolds , others elaborate on how to make appropriate, effective use of it and avoiding pitfalls.","","💯 (2)"
"194289793905983489","zackscriven","2021-11-02T07:40:40.1580000+08:00","Incentive should be tied to profit","",""
"867075936054149191","rickbullotta","2021-11-02T07:42:37.7570000+08:00","Virtually no one measures quality accurately in real time. And as I’ve said a million times (ok, a dozen) high OEE with employee injuries, the wrong orders shipped, and the environment trashed isn’t great.   I’m never gonna agree that it’s a meaningful metric. 🙂","",""
"867075936054149191","rickbullotta","2021-11-02T07:43:42.2500000+08:00","If you drive operations only by OEE you will fail. It’s like driving a car only by the fuel economy.","",""
"194289793905983489","zackscriven","2021-11-02T07:44:11.8210000+08:00","That’s my point.  If you can’t Calculate OEE in real time then you probably can’t calculate those other metrics on top of that","",""
"194289793905983489","zackscriven","2021-11-02T07:44:22.7710000+08:00","Start collecting the data and then you can calculate many KPI’s","",""
"847112695681777725","markritchie8899","2021-11-02T07:45:21.6810000+08:00","I would say it’s not a case of trusting either it’s the context of the information being provided by both. The assumption being we have a UNS, with reliable data, then both could be calculated. Given that OEE is a lagging indicator you can calculate OEE at this moment in time, but that calculation represents the performance of JOEOperator today, the performance and availability of the equipment today, the performance of JOEMechanic when he was performing the PM last month, and the quality of the tubing produced by extrusion last week. 
Effective Cost of Production is based upon a product characteristic using the current Process capability(Cp) and the current centered process capability (Cpk). Based upon that information this measure can also predict, within limits (UCL & LCL), how the process should perform tomorrow. Additionally, not suggesting ECP would replace OEE but could give more clarity to the Q component of OEE","","💯 (1)"
"194289793905983489","zackscriven","2021-11-02T07:45:52.0970000+08:00","If you can calculate availability quality and performance in real time… Then you can calculate other KPIs from the same data","",""
"756247672637358181","sherylmccrary","2021-11-02T07:53:53.2940000+08:00","What I was asking for was more of an example of the kind of decision(s) an operator could actually make using trending OEE? Walker gives an example in a video that's basically using OEE plus cost of choice between two factors I can't remember, seems like cost of materials vs quality impacts. I mean, can you really give adequate info in near-real time for that?","",""
"194289793905983489","zackscriven","2021-11-02T07:55:25.1000000+08:00","Agreed","",""
"194289793905983489","zackscriven","2021-11-02T07:55:49.3290000+08:00","If you’re trying to decide what product to run on what line do you need OEE to be able to make that determination","",""
"194289793905983489","zackscriven","2021-11-02T07:56:22.0680000+08:00","To Maximize profit","",""
"847112695681777725","markritchie8899","2021-11-02T07:56:33.9380000+08:00","Recognize it as a lagging indicator that shows, in a broad scope, what we have achieved and how our plan is working. Due to the confounded components I believe a pitfall would be using it to decide upon corrective measures moving forward by drilling down into A,P,Q.","","😀 (1)"
"756247672637358181","sherylmccrary","2021-11-02T08:07:10.3260000+08:00","Yes, that would be meaningful data/information about cost and not just further root cause analysis of downtime, etc.","",""
"847112695681777725","markritchie8899","2021-11-02T08:12:59.8890000+08:00","Yes and actionable. If process is off center then re-center. If capability is changing then review data to see if signals are present that could explain the shift","",""
"756247672637358181","sherylmccrary","2021-11-02T08:17:38.6220000+08:00","So from an organizational management perspective it's---OEE---useful just to establish the value of data collection, creating comparative metrics and demonstrating the potential of a UNS for calculating. It seems much of the debate about the relative value (or lack of value) is around whether or not OEE is actionable.","",""
"847112695681777725","markritchie8899","2021-11-02T08:30:51.3800000+08:00","Gives management the gauge of performance on how the combination of various programs a progressing. Detail would come from other metrics and control charting can be real powerful for showing improvement.","https://cdn.discordapp.com/attachments/904474773030047755/904890262881464330/unknown.png?ex=68df193a&is=68ddc7ba&hm=77abe16734fb430bd89e6747af2026072e2fc738721ec5d906812dac990c3b54&","👍 (2)"
"867075936054149191","rickbullotta","2021-11-02T08:32:52.1310000+08:00","No, the debate is actually whether OEE is adequate. It is not.","",""
"756247672637358181","sherylmccrary","2021-11-02T08:42:03.6720000+08:00","Mmm. Not sure about that. Maybe YOU were debating that, granted some Linked In posts are about that, but I don't hear that in Walker's content...saying OEE is adequate by itself for much, rather it's just a start. Like MQTT vs OPCUA, not an either/or debate but people want to make it into one. But he does propose that it's necessary, so perhaps you can debate him on that.","","💯 (1)"
"867075936054149191","rickbullotta","2021-11-02T09:53:37.4600000+08:00","The gospel of OEE is as antiquated as Frederick Taylor’s approach to “Scientific Management” and takes the same narrow view of what and who is important.  It’s time to move on.","",""
"867075936054149191","rickbullotta","2021-11-02T09:53:59.3880000+08:00","Fun read: https://hbr.org/amp/1988/11/the-same-old-principles-in-the-new-manufacturing","",""
"867075936054149191","rickbullotta","2021-11-02T10:21:52.5730000+08:00","Walker’s UNS concepts lay a great foundation for a new approach to KPIs - far more comprehensive, contextual, and actionable.  Let’s think about how to leverage the UNS to do this better!","","👍 (3),🌟 (1)"
"756565963520081950","andersgustav","2021-11-02T15:38:32.7270000+08:00","Could not agree more!
And then we probably do not have to waste more time picking on OEE, when it (after all for us who know how) gives us a good value today.","","🤣 (1)"
"867075936054149191","rickbullotta","2021-11-02T21:35:48.8530000+08:00","Be patient - we will help you through your OEE addiction.  We're here to help. 😉","",""
"876880919988957205","ryankershaw","2021-11-02T21:47:09.9810000+08:00","You can do that to a certain point, but I wouldn't have profit as the sole contributor, or even the majority of an incentive calculation.  Doing that risks getting people that will do everything to minimize costs (below spec materials, labour) and increase revenues, which could cause significant issues down the line.  Profit can be a short term metric, needs to be balanced with longer term strategic goals to ensure that someone doesn't decide to cash out by maximizing their incentive regardless of the long term impact.","","💯 (2)"
"898217314741280828","hobbes1069","2021-11-02T21:48:42.8740000+08:00","I'm going after OEE, not because it's the best metric, but Exec's at least (somewhat) understand it, or think they need it. If it helps me get the infrastructure I need to get AQP it's still a good thing. Maybe it should be considered a gateway drug? Something to get them hooked on so I can lead them to something better? 🙂","","👍 (2)"
"867075936054149191","rickbullotta","2021-11-02T21:56:46.5570000+08:00","As long as it isn't garbage data, which is often is.  All three components are prone to inaccuracy.  Q being the most common.  Also the rated capacity used in ""P"" is usually a bullshit number, and should often be specific to a product and/or lot size and/or line.  And ""A"" is one of the most often misunderstood particularly with how setup/changeover time(s) are factored in (some give a free pass to any changeover time, others start the downtime clock after the ""standard"" changeover time).  And very few properly account for the upstream and downstream interdependencies of all three metrics.  Bottom line is that they're all rather unreliable in the real world.  Add to that how many OEE/downtime tracking systems ask the operator to specify the reason (at a time when they should be focused on getting the line up and running) and you tend to get garbage information on balance.

Anyone with a functioning brain can simply spend a few days on the line, watching, speaking with the operators, analyzing available data and determine where the bottlenecks and issues are.  And of these, ""speaking with the operators"" may be the most illuminating...","",""
"898217314741280828","hobbes1069","2021-11-02T22:36:57.3280000+08:00","I don't disagree, but right now I need capital and headcount to truly begin digital transformation at my company.  I think Q is the hardest one to get accurate (enough) numbers for. Right now 50% of all NC's (non-conformances) are found in final inspection, not at the process step that caused it.","","💯 (4)"
"867075936054149191","rickbullotta","2021-11-02T22:44:25.0300000+08:00","Fostering a collaborative, two-way exchange with the front line operators and maintenance technicians and letting them *share in the gains* from improvements should be core to any digital transformation approach in a manufacturing/industrial environment, IMO.","","👍 (1)"
"898217314741280828","hobbes1069","2021-11-02T22:56:27.4070000+08:00","Yes, getting off topic for this channel but currently we have Mainsaver for machine maintenance (which is a PoS). I got a data dump from the SQL database and it's pretty much worthless beyond finding out which assets tend to need repair the most. And I have Tulip and Kepserver. So right now I don't even have much infrastructure to build anything off of. We did pilot a program using Tulip in one value stream and took a lot of operator feedback. For the most part they actually like using it as it has negated the need for manual Day by Hour production tracking.","",""
"766684226455207996","bright_hummingbird_31342","2021-11-02T23:19:30.7080000+08:00","This is spot on.  It's not always feasible to detect non-conformances at the point of of production.

Many MES implementations will implement rejection tracking at a line or asset.  It will only capture planned scrap due to setup or or really obvious process issues.  They'll pat themselves on the back.  Meanwhile, another downstream operation or even a customer is detecting the the non-conformances that originated at that line or asset.

Depending on the quality process, production batch size, and how unusual the non-conformance is; it might considerable time to detect.

Related discussion:
https://discord.com/channels/738470295056416930/740336189449699408/865251280787865640","",""
"867075936054149191","rickbullotta","2021-11-02T23:22:21.2350000+08:00","FYI, I'm on the Tulip advisory board so if there's any feedback you want to get to the team that you haven't been able to, let me know. They're a great team and super responsive.","",""
"745796393855352953","thedavidschultz","2021-11-02T23:26:48.8440000+08:00","My basic comment about any KPI is that it should drive the right result and behavior. If people are doing what they can to work around it, you did it wrong. I liken it to accounting in that the data should reflect what actually happened.","","💯 (3)"
"898217314741280828","hobbes1069","2021-11-02T23:40:02.8860000+08:00","Thanks! Since we're an Enterprise customer we have pretty direct access to the top guys if needed. Most of my ""nits"" right now are around simple things, like not having access to ""@HourOfDay"" within machine analytics, which limits some of the KPIs I can calculate. Also, due to the ""no code"" architecture it can limit you to scaling applications across an enterprise. I know they are working on unifying their data so analytics can work across machine state, table, and app level data whereas right now they are all separate. I know they are a relatively young company and are rapidly improving, but the limitations can still be frustrating.","","👍 (1)"
"194289793905983489","zackscriven","2021-11-02T23:47:47.5680000+08:00","Pinned a message.","",""
"876880919988957205","ryankershaw","2021-11-02T23:49:19.5810000+08:00","Correct, even if you stream real-time data from the QA LIMS system, you're going to see data delay just due to the length of time that some tests take to process.  For example, I know there are a couple of pharma test that can take weeks to process.  It may be that you will only discover the issue after the product has shipped.  Even if QA clears it, there is always a chance that something gets through unless they are testing absolutely every product (which most aren't).","",""
"898217314741280828","hobbes1069","2021-11-02T23:52:34.2850000+08:00","In our case it's just lack of in process inspection. We are in Med Device, but in Orthopaedics. So most of our NCs are around dimensions, surface roughness, handling damage, etc. which could be caught by in process inspection. We actually have a $1MM project with Zeiss to take operator decision out of determining surface defects.","",""
"817835202746253344","IIoT#4707","2021-11-02T23:52:34.6200000+08:00","GG @Richard Shaw, you just advanced to level 5!","",""
"876880919988957205","ryankershaw","2021-11-03T00:04:49.5110000+08:00","Yeah, I could see how that would be better done by some specialized equipment (I'm guessing Zeiss is looking at optical and LIDAR in this case).  Defects and damage wouldn't be difficult to pick out in a manual process inspection, but surface roughness would be a fun one.  Having the ability to link these details to the manufacturing process via, say the UNS (happy @zackscriven  ? 🙂 ) would allow you to start to look for trends to see what might be contributing to each instance.  For instance, does surface roughness increase as machine x hours between maintenance go above y hours?  Do defect rates go up every time z person is working?  Keeping the data siloed to the inspection station can provide trends, but connecting it would allow for some really interesting analysis.","",""
"898217314741280828","hobbes1069","2021-11-03T00:09:29.2750000+08:00","I think it's mostly optical, but it utilizes extremely bright white light. It easily picks up and classifies defects (scratches, dings, unfinished areas) both depth and area. We can train it on what is, and is not acceptable. 
Being in a regulated industry we haven't done that just yet. We are working on validating Tulip at the platform level with IT. Once complete, we're going to evaluate validating it for GxP data which we'll need before we start touching quality data too much.","",""
"867075936054149191","rickbullotta","2021-11-03T00:11:04.2660000+08:00","I'm not sure that the UNS as envisioned here really solves that problem.  There's temporality and causality across equipment, material, and process boundaries that would be difficult to model in the UNS as I've seen it described.  It might help with *access* to the data, but not with the relationships between data that would glean insights and causality.","",""
"876880919988957205","ryankershaw","2021-11-03T00:16:57.2970000+08:00","I'm thinking more pulling the data through the UNS and into a historian that maintains a time-stamped record.  If the product can be tracked through the process (RFID?) then it should have data about the machines and process as it goes through the manufacturing stages. Or on the flip side, if the machines track which s/n is currently being processed, which should be easy in a report by exception model, the data can also be captured that way as well.","",""
"867075936054149191","rickbullotta","2021-11-03T00:18:43.8000000+08:00","Historians on their own aren't particularly good at correlation between structured and time series data though (or even between time series data - LOL).  You need a lot of extra context to do that usually.  It can be a place to store the data, but some other tool is usually needed above it to do the magic.","",""
