AuthorID,Author,Date,Content,Attachments,Reactions
"756247672637358181","sherylmccrary","2022-07-03T06:54:08.7460000+08:00","Great channel idea, @MParris .","",""
"794020366536146977","mparris","2022-07-03T07:40:24.4470000+08:00","Moving here under Automation Stack Discussions","",""
"794020366536146977","mparris","2022-07-03T07:40:47.6530000+08:00","A great resource for network gear recommendations is Josh at Traceroute. (@varghesejm )

https://www.traceroutellc.com/blog","","👍 (6)"
"794020366536146977","mparris","2022-08-04T20:38:43.6060000+08:00","Industrial Automation and Control System Taxonomy
Definitions of Terms
(cyber-security glossary)

https://gca.isa.org/hubfs/21-29%20-%20ISAGCA/ISAGCA-IACS%20Taxonomy%20Definitions%20of%20Terms.pdf","","👍 (2)"
"1003237589421137992","gregory.g.","2022-08-04T22:11:27.7760000+08:00","Do you know if ISAGCA shared an update of the well-known perdue model integrating the iiot/broker technologies? I'm wondering in what network segmentation layer they would put it. DMZ?","",""
"745796393855352953","thedavidschultz","2022-08-04T23:44:46.5220000+08:00","Commonly goes in DMZ. I have also seen a broker at every layers that bridges to the one at a higher level.","","👍 (1)"
"794020366536146977","mparris","2022-08-04T23:59:58.3840000+08:00","I think the Purdue model for network architectures is slowly dying in favor of the ISA/IEC 62443 Zones & Conduits concept.

Even being discussed back in 2016...
https://www.isa.org/intech-home/2016/march-april/features/new-integration-architectures-for-federated-system","",""
"1003237589421137992","gregory.g.","2022-08-05T00:58:03.7640000+08:00","Good article. Thanks @MParris .
The old model makes it quite complex if we want to keep its restrictions at every segmentation level 1,2,3.. in order to get connections or info from all levels to feed a data historian or mqtt broker. In my previous company we were struggling a bit to make the transition. I guess many companies will struggle to converge from perdue to the IEC62443 concept. 🤓","",""
"817835202746253344","IIoT#4707","2022-08-05T00:58:04.0530000+08:00","GG @Gregory G., you just advanced to level 1!","",""
"891563487241842699","jbonhage155","2022-08-05T05:11:34.8970000+08:00","Anyone set up networking between cloud and plant floor? 
I'm curious on the best way to set up which reduces the number of hops / latency.","","👍 (3)"
"867075936054149191","rickbullotta","2022-08-05T21:51:00.8920000+08:00","You're opening up a can of worms here.  Which cloud?  Firewalling? VPN? Private or hybrid cloud config?  I would STRONGLY recommend choosing your application/SaaS vendors/cloud vendor, then hiring an experienced integrator/expert to do the setup.","",""
