AuthorID,Author,Date,Content,Attachments,Reactions
"794542235676180500","akoscs","2023-10-24T03:48:35.0380000+08:00","First!","","🤣 (1)"
"693508345138774110","omisof","2023-10-24T04:26:47.9880000+08:00","seconf","","🤣 (1)"
"693508345138774110","omisof","2023-10-24T04:26:51.2120000+08:00","second hh","",""
"829502128191045652","joshuastover","2023-10-24T22:06:03.0290000+08:00","Let's begin the *controversy*: Is OPC-UA an open protocol?","",""
"898217314741280828","hobbes1069","2023-10-25T00:51:03.1960000+08:00","Well Maple Systems wanted a $300 license to add it to my CMT-SVR so I would say NO 🙂","","🤣 (2)"
"890244048739270656","brianpribe","2023-10-25T02:43:49.0230000+08:00","$300?? Should only be $100, but still aint free.","",""
"753688565807841492","ravil1","2023-10-25T06:13:46.8900000+08:00","What is definition of ""open""?","",""
"898217314741280828","hobbes1069","2023-10-25T06:37:07.8340000+08:00","And MQTT was ""built-in"" 🙂","",""
"867075936054149191","rickbullotta","2023-10-26T00:59:34.9360000+08:00","","https://cdn.discordapp.com/attachments/1166016891798700133/1166783125276332152/IMG_0060.jpg?ex=68df5836&is=68de06b6&hm=e45bdfbd851b873b5c2dc1a4662425141b362ec5dacba67925d2b511a67bdd66&",""
"794542235676180500","akoscs","2023-10-26T15:29:50.1610000+08:00","Can you access the spec for free? can you access reference implemenations as open source for free?","",""
"794542235676180500","akoscs","2023-10-26T15:33:45.6050000+08:00","so you would only call something open if it is give to you as free by third parties?","",""
"898217314741280828","hobbes1069","2023-10-26T19:51:11.9820000+08:00","Maybe, I am a open source advocate and have been a packager for Fedora Linux for over 12 years. That being said I don't mind companies charging for things per se, but $300 is a lot.","",""
"794542235676180500","akoscs","2023-10-26T20:40:14.3150000+08:00","So then you apreciate the open source  OPC-UA libararies. You can use those, to make a custom service which translates the free comms protocol provided by your spupplier to OPC UA. Free of charge (you do pay your programmers, but you get what I mean..)","","👍 (1)"
"1099402796320690246","thiagopvr","2023-10-28T06:14:38.4720000+08:00","https://node-opcua.github.io/

Is anyone already in this library? I believe it would help, but I am new to connectivity studies, currently I only work with software development for the factory floor, process automation.","",""
"817835202746253344","IIoT#4707","2023-10-28T06:14:38.7770000+08:00","GG @thiagopvr, you just advanced to level 1!","",""
"731220706548777072","broken_ger","2023-10-29T01:26:49.1230000+08:00","yes, active user and contributor!","",""
"1099402796320690246","thiagopvr","2023-10-29T22:11:38.2730000+08:00","Does anyone already use it? How have you been using connectivity? Do you buy OPC Server products? Do you use node-red?","",""
"731220706548777072","broken_ger","2023-10-29T22:19:00.0460000+08:00","we actually build a complete no code saas solution for edge-devices including opc ua server and client","",""
"868849728807403550","marian_ocean","2023-10-30T00:53:10.6810000+08:00","Hi @thiagopvr I would say for Node-RED, there are two very good and maintained OPC UA packages available.

I would recommend these two ""Getting Started"" articles to you:

""How to Build an OPC UA Client Dashboard"": https://flowfuse.com/blog/2023/07/how-to-build-a-opc-client-dashboard-in-node-red/
""How to Deploy a Basic OPC-UA Server"": https://flowfuse.com/blog/2023/07/how-to-deploy-a-basic-opc-ua-server-in-node-red/
I hope both articles help you with your project.","",""
"817835202746253344","IIoT#4707","2023-10-30T00:53:11.6350000+08:00","GG @Marian, you just advanced to level 1!","",""
"1099402796320690246","thiagopvr","2023-10-30T03:59:46.2090000+08:00","Cool. Thank you very much.","",""
"745009912160976977","marioishikawa","2023-11-01T05:00:11.4800000+08:00","Good point. In that case I'd say that is the cost for their OPC-UA implementation, regardless if the specification of the protocol is open or not. But in these situations they would usually charge a premium on what could have been costly for them to add to the product, which is a point to say that MQTT is easier to implement on software and devices than OPC-UA.","",""
"873009180938743828","sim_sam3","2023-11-02T23:30:10.9300000+08:00","When comparing opc ua with Mqtt one must consider payload definition, which mqtt lacks. Sparkplug vs opcua pubsub would be an apples to apples comparison including complexity of implementation for a software vendor","",""
"873009180938743828","sim_sam3","2023-11-02T23:30:42.2150000+08:00","Mqtt is easier than opcua is like saying http is easier than profinet","",""
"873009180938743828","sim_sam3","2023-11-02T23:31:00.5880000+08:00","Obviously it is easier","",""
"873009180938743828","sim_sam3","2023-11-02T23:34:44.9020000+08:00","That absolutely means that if a vendor has a choice of accommodating a use-case with vanilla mqtt or opcua, that they should take A SERIOUS LOOK at the benefit of adding UA because if it’s only a means to an end for simple data acquisition, opcua might be overkill and slow feature delivery and unnecessarily increase cost","",""
"873009180938743828","sim_sam3","2023-11-02T23:35:51.3440000+08:00","But if you’re an MES vendor and you need to control the plant floor - you won’t be using MQTT, so then you can pick between http and opcua, and unless you have vendors like kepware with rest apis on top of plant floor drivers, you’re probably stuck with an opc standars","",""
"817835202746253344","IIoT#4707","2023-11-02T23:35:51.7500000+08:00","GG @Sam.E, you just advanced to level 7!","",""
