AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2021-03-03T21:54:12.9340000+08:00","","https://cdn.discordapp.com/attachments/815945777452941313/816669796270604348/unknown.png?ex=68df2cc4&is=68dddb44&hm=56572c109859b0b584ea88277143cdfc9db8527fb60284ba7ebd2c2029b0807a&","👍 (4)"
"194289793905983489","zackscriven","2021-03-04T08:58:59.1410000+08:00","Thank you @MParris we should just bring you on next week to ask your question in person... After we have @Omar  on for the Community Spotlight 🔦","https://cdn.discordapp.com/attachments/815945777452941313/816837090876325908/unknown.png?ex=68df1fd2&is=68ddce52&hm=48f5622959b9d606e20b7174b0f17a4c0706f6fa75c4532c8399034c997754ba&",""
"767678812699361310","henning8936","2021-03-08T02:46:49.3630000+08:00","@MParris I love that list + annotations. It really helps to break down a complex topic. To point 7: I never thought about that point and want to see if I get it right. You write ""[...] After beeig normalized, standardized and contextualized in the UNS"".  Does the UNS really provide normalization and standardization? I can see that the UNS provides the context, but I would have thought that I would have a separate node or service, that loads the values from the historian, in order to normalize and standardize them and  then push them into a datalake? If that is so, would this node push the normalized/standatdized data through the UNS or just directly into thr data lake?","",""
"817835202746253344","IIoT#4707","2021-03-08T02:46:49.6620000+08:00","GG @henning, you just advanced to level 4!","",""
"794020366536146977","mparris","2021-03-08T02:52:54.2260000+08:00","@Martin Jakobsen is who summarized the UNS with annotations from @Walker Reynolds  Props to them!","",""
"767678812699361310","henning8936","2021-03-08T02:55:02.0280000+08:00","Pressed enter to early... Great job @Martin Jakobsen","",""
"794827518170497045","martinjakobsen","2021-03-08T05:05:36.6770000+08:00","Thanks Henning. It is a great question that I think @Walker Reynolds  could shed some clarification to. When I wrote point 7. it was with HighByte in mind that has those functionalities. To my understanding HighByte does not act as a broker and therefore might, as you say, push it through the actual UNS afterwards.","","👍 (2)"
"382941357699760129","walker.reynolds","2021-03-08T10:14:28.6040000+08:00","Correct... We should see HighByte broker functionality in the next couple months... Its on the road map.","","👍 (1)"
"767678812699361310","henning8936","2021-03-08T13:51:40.1310000+08:00","@Martin Jakobsen  So Highbyte is providing an additional node for normalization and standardization in order to preprocess the data do be used in AI applications?! I don't want to nit-pick, I am just trying to get a clear understanding what the UNS itself is providing (e.g. structure and events)  and what is happening on the node level.","",""
"767678812699361310","henning8936","2021-03-08T15:24:31.0520000+08:00","Addition: I will try to answer my question myself: Part of Highbyte's inteligence hub is the transformation engine, that allows to standardize and normalize data. That means if we use Highbyte as a gateway e.g. for OPC-UA machine data, Highbyte can simultaneously provide UNS structure as well as above mentioned mathematical operations.  If my data is provided via some other gateway or if my machine is natively publishing its data under the UNS structure, than I might need an additional node for standardization and normalization?","",""
"745796393855352953","thedavidschultz","2021-03-08T18:38:20.6350000+08:00","Yes that is what HighByte does. It will connect to multiple data sources to normalize the data and publish it in a UNS structure. Data can be published to multiple places as well. I did a demo publishing to an MQTT broker and Azure IoT Hub.","","👍 (3)"
"767678812699361310","henning8936","2021-03-08T19:35:47.2840000+08:00","thanks @DavidSchultz","","👍 (1)"
"766684226455207996","bright_hummingbird_31342","2021-03-09T11:57:25.8940000+08:00","In a federated multi-UNS environment, where is everyone deploying their various applications and where are they integrating them?

There has been discussion about the UNS as being omnipresent, but what about the applications that connect to it?  I bring this up because I noticed a set of historians at the local UNS's in this drawing.

When there are multiple sites and UNS's, how are things like historians or HMI/SCADA approached?  Does it become arduous maintaining local and enterprise deployed versions of applications?  Or, is it just easier to keep everything in one place at the enterprise level?

What's the user experience like?  Is there a seamless experience ""hopping"" around the enterprise?  Or, must one awkwardly open different projects or versions of apps when they need to switch context (e.g., Enterprise, Site A, Site B)?

I've also wondered about the role of applications running in the cloud.  For example, ERP and even MES can be multi-tenant cloud apps.  Cloud is not necessarily limited to analytics or AI/ML.  Is it best to integrate once at the Enterprise UNS and federate down everything to the site-level UNS?  Or, is it better to maintain a set of integrations at each site-level UNS?

I recognize there are no hard-and-fast rules here, but it would be helpful to discuss different scenarios and their pros/cons.","","🔥 (1),👍 (1)"
"194289793905983489","zackscriven","2021-03-09T14:25:59.7110000+08:00","Pinned a message.","",""
"745009912160976977","marioishikawa","2021-03-09T18:21:10.6980000+08:00","Ontology, UML and data model. This is a topic I love as much as the more I learn the more it feels I need to learn. ISA-95 solves a lot, but there is still a lot to be done. https://blog.iiconsortium.org/2021/03/understanding-the-ontology-of-iiot-information-models-can-help-you-begin-to-address-the-challenges-o.html","","👍 (3)"
"745009912160976977","marioishikawa","2021-03-09T18:21:28.4460000+08:00","full document here https://www.iiconsortium.org/pdf/Characteristics-of-IIoT-Information-Models.pdf","",""
"750468087761076244","ejmilly","2021-03-10T11:04:18.9630000+08:00","Hi David where is the demo you did?","",""
"745796393855352953","thedavidschultz","2021-03-10T19:38:01.2790000+08:00","https://youtu.be/Cu36vtvnJuw","","👌 (4),👍 (3)"
"767678812699361310","henning8936","2021-03-13T14:03:53.9220000+08:00","From the blog post: ""Traditional methods such as database schemas and XML schemas provide limited expressivity in modeling knowledge, which forces business logic that should really be part of the knowledge model to be embedded into applications.""

If that really is true, it would also be true for SpB, wouldn't it. SpB structure can be represented in JSON and JSON is not that much different from XML? So is SpB lacking modeling capability I would want or not?","",""
"373852732424978442","daniel_hirsch","2021-03-13T16:25:02.7800000+08:00","I don't quite understand why XML should have limited use for modeling onthologies when the W3C standardizes Notation3 (N3) as a XML-based representation for RDF. Or am I getting something mixed up?

https://www.w3.org/TeamSubmission/n3/","","❓ (2)"
"767678812699361310","henning8936","2021-03-13T17:03:25.2050000+08:00","I don't get it either. I modeled complete assembly processes in XML and never felt that limitation.","","ismile (1)"
"373852732424978442","daniel_hirsch","2021-03-13T17:13:32.5100000+08:00","In my opinion XML-based representation is the most open and flexible way to represent Data und Information, for both humans und machines. Data modeling is an I4.0 topic on its own and could deserve its own #thread, maybe?","",""
"194289793905983489","zackscriven","2021-03-13T21:48:02.2210000+08:00","Talking about IIoT at 2:00 AM 🤣","",""
"487658368492896257","benveenema","2021-03-13T22:31:52.7700000+08:00","I think that, in general, JSON is lighter weight than XML. XML is also less human readable than JSON and probably more effort to parse. It has just fallen out of favor. If the internet was being re-designed today, it would probably use JSON or YAML or something else instead of HTML.","",""
"794020366536146977","mparris","2021-03-13T23:08:54.5410000+08:00","Within XML, you can specify the structure of data and organize it in a way that mostly makes sense to a developer trying to interface to equipment or an application.

This article is bringing up the point that this is not sufficient for machines to understand about other machines.  The human developer is doing a lot of inference that a machine can't do. A machine needs to know how all the data is related.

For example, if you have a model that represents a valve and pump, you would typical organize these together in a hierarchy to show their true dependency/relationship in world (part of the same fluid circuit, and valve before pump) But a machine needs to be told the relationship. XML doesn't offer a standard way to express these higher-level modeling concepts. You could implement something, but that would only be your encoding scheme, and then we are back to the beginning: how can a machine understand your encoding.

OPC-UA includes a framework to create and expose relationships between objects, whereas XML doesn't.","","👍 (4)"
"767678812699361310","henning8936","2021-03-14T00:19:20.7140000+08:00","That guy models! 😀","",""
"794020366536146977","mparris","2021-03-14T01:22:07.6610000+08:00","Lol. In full transparency, I have never actually done it. I have gone so far as to look at the standard, watch a few videos, and use Beeond's UMX Pro as a GUI to define a nodeset file. The next step is to convert the nodeset file to source code classes to embed within the application. Then the source code of the application can hook into the variables and methods.

It's a very clunky process, and if you ask any developer to follow it for an agile project, you'll get a big eyeroll.

To bring it full circle, the OPC-UA nodeset file that defines the model is written using XML :laughing:","","👍 (4)"
"373852732424978442","daniel_hirsch","2021-03-14T01:50:34.9500000+08:00","For those who are interested, I found a paper on OPC UA and ontologies:
""Ontology-Based OPC UA Data Access via Custom
Property Functions"" https://publik.tuwien.ac.at/files/publik_286028.pdf","","👍 (1)"
