AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2020-09-05T01:08:21.9640000+08:00","Thank you @LMtx for the suggestion of adding a #security channel!","","👍 (7)"
"698244484302897323","lmtx","2020-09-07T12:26:01.9810000+08:00","A security quiz:

How can you remotely force disconnection between the Greengrass Core device and connected OT-IT device?

Pick all that apply:

[ ] A - revoke the OT-IT device certificate
[ ] B - deactivate the OT-IT device certificate
[ ] C - rotate the Greengrass Group Certificate Authority certificate
[ ] D - remove OT-IT from Greengrass Group definition","https://cdn.discordapp.com/attachments/751486645378875563/752384155030913106/gg_subscriptions-ggc_ggad_quiz.png?ex=68df5059&is=68ddfed9&hm=fc71298615105ed4d9ae874e03780ecb3929e19e92c1811b38ea47c1531837f5&",""
"743347439972515894","mrjain.","2020-09-07T13:33:39.6490000+08:00","D","",""
"194289793905983489","zackscriven","2020-09-08T07:57:19.4810000+08:00","Interesting quiz! I honestly haven't a clue. lol","",""
"743347439972515894","mrjain.","2020-09-08T11:30:38.0130000+08:00","Let me explain my thought process on how I got to the answer of D:
- The whole idea of a Greengrass Core Device is that it can connect securely via TLS to AWS IoT Core and the devices behind it are just sending data to the device
- Thus the OT-IT devices do not have AWS certs that can revoked or deactivated
- Rotating the Greengrass group cert won't do anything to stop OT-IT from sending data
- By removing the OT-IT device from the Greengrass Group definition then the Greengrass Core Device will disconnect and stop listening to OT-IT","",""
"698244484302897323","lmtx","2020-09-08T12:57:54.4790000+08:00","@mrjain. thank you for your answer, let me add some comments:
- ""OT-IT devices do not have AWS certs that can revoked or deactivated"" - every Greengrass Aware Device (GGAD) that communicates with Greengrass Core Device (GGC) needs to be registered in AWS IoT as a Thing; that Thing needs to have a x509 Certificate attached to it in AWS IoT; GGAD is using `device private key`, `device certificate` and `group CA certificate` to establish TLS encrypted MQTT communication with GGC; BUT GGC is not validating with AWS IoT if that certificate was revoked/deactivated during connection setup with GGAD (which is design mistake in my opinion); that is why GGAD needs to have a certificate but it can be revoked/deactivated and that would not stop GGAD from connecting to GGC
- ""Rotating the Greengrass group cert won't do anything to stop OT-IT from sending data"" - actually rotation of `Greengrass Group CA certificate` does two things: 1) disconnects all GGAD from GGC; 2) rotates Group CA certificate; as a result GGAD can not establish connection with GGC because it will have outdated certificate; the only way to re-enable communication between GGAD and GGC is to execute Greengrass Discovery in order to obtain new Group CA certificate; typically in IIoT GGAD (OT-IT) device can not access internet so will not be able to execute Discovery, as a solution you need to have other server (it can be GGC) to execute Discovery and transfer the Group CA certificate to GGAD (it can be done different ways depending on your security requirements)
- ""removing the OT-IT device from the Greengrass Group definition"" - yes, you have to remove GGAD from all Greengrass Group Subscriptions it is part of, then remove from Greengrass Group and trigger Group Deployment in order to update the Greengrass Group Definition at the GGC device

so the correct answers are C and D

let me know if you have any questions regarding this quiz or GGAD <-> GGC connectivity","","👍 (2)"
"382941357699760129","walker.reynolds","2020-09-09T20:52:30.5040000+08:00","Question of the Day: What does ""securing your data"" mean?  Is security valuable if it costs you more in lost efficiency and opportunity?  Why do IT and Security professionals have such bad reputations?","","👍 (3)"
"382941357699760129","walker.reynolds","2020-09-09T20:52:35.2230000+08:00","Pinned a message.","",""
"556602159513468951",".dhess","2020-09-09T21:17:08.7920000+08:00","For me, it just means getting my hands on the data at all. lol. I suppose I'm rightfully paranoid of cyber warfare attacks by malovent governments: being able to stop a generator in a dam, sipping my work files, breaking email servers, corrupting files. I don't like any of those destructive sabotage possibilities.","",""
"556602159513468951",".dhess","2020-09-09T21:20:24.7640000+08:00","Why do IT professionals have bad reputations. I can't say I think that way about them. I would classify most of the ones I know as having come by their paranoia honestly. The ones I know are smart, resourceful, and depending on the day, burned out on tech.","",""
"487658368492896257","benveenema","2020-09-09T21:31:27.2360000+08:00","> Question of the Day: What does ""securing your data"" mean?  Is security valuable if it costs you more in lost efficiency and opportunity?  Why do IT and Security professionals have such bad reputations?
@Walker Reynolds Securing data means protecting it from unauthorized access. For me I prefer that to mean the data is encrypted during transfer and then secured with good passwords and 2 factor authentication. I get less concerned about sharing a disk in the cloud with other users and side attacks. For a massive company who is a big target, I would probably be more concerned and either keep my data on premise or use dedicated cloud services.

Data security is 100% valuable even if it costs some efficiency and opportunity. Data is a competitive advantage for a 4.0 manufacturer. There could be some benefit in ""sharing"" your data if there is a mutual share back. Like a machine learning algorithm that uses data from multiple companies to make everyone better than they could be on their own. I'm a big fan of open source hardware and software, I have generated a lot of it myself, but data is different than source code.

IT professionals have a bad rep because they (not all of them) tend to be in a mental silo. It seems to me, the people who tend towards IT become nerds about their respective field and fail to see the forest for the trees. This is a trap a lot of engineers fall into as well. There is also a certain arrogance in engineers/IT where they tend to think everyone else is a moron and only they are competent at their jobs. Although a bit of arrogance/confidence is a good trait, when you combine that with failing to take in the whole system, you get professionals who are difficult to work with.","","👍 (1)"
"698244484302897323","lmtx","2020-09-09T22:48:24.6010000+08:00","> Question of the Day: What does ""securing your data"" mean?  Is security valuable if it costs you more in lost efficiency and opportunity?  Why do IT and Security professionals have such bad reputations?
@Walker Reynolds I would say that ""securing your data"" starts with designing and implementing proper authentication + authorization between your devices and  between devices and external systems; if you design your system in a proper way you will not sacrifice a lot of efficiency because you keep your data secure (actually there is no other option than to keep your system safe); a proper keys/certificates management and granular policies usually take you 90% the way; remote maintenance of locked-down facilities brings additional challenges but that is totally different topic

bad reputation of ""security experts"" comes from the fact that making security right is not a trivial task and many people I know cover their lack of real knowledge with arrogance and pretend that ""they know it all so you are not allowed to ask any questions""; on the other hand the best security experts I met were always open for feedback and were not afraid of admitting that they does not know some specific topic","",""
