AuthorID,Author,Date,Content,Attachments,Reactions
"1073632885153730621","vaughnturner","2024-06-11T00:57:04.4390000+08:00","Hey everyone, here is our dedicated channel for the ProveIt! 2025 Conference!","","🔥 (8),👍 (2)"
"1214242167640424619","zack.scriven","2024-06-11T00:57:15.1080000+08:00","👀","",""
"898217314741280828","hobbes1069","2024-06-11T01:03:01.1990000+08:00","My boss is in town this week. I'll see if I can get approval.","","🤘 (3)"
"1129435706285101076","ted.garrison","2024-06-11T01:04:32.2190000+08:00","Grabbed my ticket.. getting my room reserved as soon as you work out Thursday night..   getting my travel request submitted now..   I'll be there one way or the other.","",""
"426418028448710666","senlab","2024-06-11T01:05:16.4780000+08:00","@Vaughn Turner 👍","","🔥 (1)"
"686612416196640790","dezemand","2024-06-11T01:06:12.3730000+08:00","I'm gonna try to make a good case for me to go! In the mean time, are there any plans for open-sourcing the UNS setup that you will be using for the foundation of the event, after the event?","","👀 (1)"
"1214242167640424619","zack.scriven","2024-06-11T01:06:51.4460000+08:00","you will qualify for our End User Discount. 50% off for qualifying end-users to ProveIt! 2025","",""
"1214242167640424619","zack.scriven","2024-06-11T01:07:00.0450000+08:00","We would love to have you there.","","❤️ (2)"
"1214242167640424619","zack.scriven","2024-06-11T01:08:42.6300000+08:00","Anyone who works for a manufacturing end-user can apply for an ""End User"" discount here: https://www.proveitconference.com/proveit-conference-optin-1","",""
"1031940518730543106","thunt.career","2024-06-11T01:10:45.8030000+08:00","What is the registration cost? I haven't seen anything published on website or here.","",""
"1073632885153730621","vaughnturner","2024-06-11T01:14:53.5300000+08:00","The GA ticket price is $997 for the 3 day event, we are offering discounts for Mastermind and Mentorship students, and for end users","","👍 (2)"
"1073312001788477471","sparkylarks","2024-06-11T01:20:22.3940000+08:00","Room booked, ticket booked, will work on flights later
heading for a quick swim first","","💯 (4)"
"829502128191045652","joshuastover","2024-06-11T01:24:15.2920000+08:00","If you're an end-user, there is a form you can fill out to request an the end-user discount.","",""
"1214242167640424619","zack.scriven","2024-06-11T02:06:35.0340000+08:00","It’s worth noting that system integrators are encouraged to sponsor the event, and if you want to partner with a hardware/ software vendor to split the sponsorship fee, that is more than welcome. 🙏","",""
"1073632885153730621","vaughnturner","2024-06-11T02:36:50.7340000+08:00","@Ted Garrison we have gotten confirmation from the hotel, they are extending the discount until Thursday night as well.","","👍 (5)"
"898217314741280828","hobbes1069","2024-06-11T21:19:26.3870000+08:00","@Vaughn Turner is Tulip confirmed to attend?","",""
"1073632885153730621","vaughnturner","2024-06-11T22:12:20.2640000+08:00","I'm still working on that.","","👍 (2)"
"1073632885153730621","vaughnturner","2024-06-12T01:39:21.4560000+08:00","I'm really excited to see everyone at the conference. This will be a fun experience. If you haven't signed up yet, don't miss the opportunity.","","👍 (1)"
"1073632885153730621","vaughnturner","2024-06-12T01:39:53.6950000+08:00","I can't wait to meet everyone in person.","","🔥 (2)"
"898217314741280828","hobbes1069","2024-06-12T01:58:27.1390000+08:00","Got to see if I can get it covered or if I'll have to go self-pay like I did Manufacturing X.0 this year.","","🤘 (1),🤲 (1)"
"769397045579481129","donpancoe","2024-06-12T10:25:27.7570000+08:00","Booked conference and hotel! Flights will have to wait a few days. Are people planning to rent cars? I'm leaning against it because the venue seems pretty self-contained.","","💯 (3)"
"1073312001788477471","sparkylarks","2024-06-12T20:19:52.8300000+08:00","Fleet of Self Driving Tesla's surely??","","🔥 (2),😂 (1)"
"1028835038378328164","sdeggans","2024-06-13T07:51:40.5570000+08:00","There are plenty of Uber/Lyft drivers in the area.","",""
"769397045579481129","donpancoe","2024-06-13T09:52:08.8640000+08:00","Thank you, although I was hoping for the self driving Tesla taxis.","","👍 (1)"
"888818907459235920","katyot","2024-06-13T21:37:34.8140000+08:00","This","","🤘 (1),💯 (1)"
"1197952122038255637","ajcamm_88960","2024-06-14T03:26:10.3210000+08:00","as a Mastermind student, how do I get this? On the website it just takes me to a pop-up to sign up for updates when tix are avail.","",""
"1073632885153730621","vaughnturner","2024-06-14T03:27:06.2910000+08:00","AJ you should have received an email from us with the sign up link, I'll resend to you.","","👍 (1)"
"1197952122038255637","ajcamm_88960","2024-06-14T03:29:49.0010000+08:00","Thanks. I don't think there's a private message feature here...but let me know when sent, or maybe need to confirm the email it is sent to","",""
"1073632885153730621","vaughnturner","2024-06-14T04:02:42.6090000+08:00","Sent to you AJ","",""
"1197952122038255637","ajcamm_88960","2024-06-14T04:11:34.3760000+08:00","registered!","","🔥 (2)"
"1129435706285101076","ted.garrison","2024-06-14T04:27:14.8370000+08:00","Looks like we shouldn't really need to go anywhere, and the hotel has an airport shuttle.. so I'm not planning on renting.. uber if needed..","",""
"1129435706285101076","ted.garrison","2024-06-14T04:29:12.0820000+08:00","Remember - discount for Mastermind is only 1 week.. but I think the End-User discount fits you as well..","",""
"1073312001788477471","sparkylarks","2024-06-14T05:07:42.4840000+08:00","and a bit of Carpooling.

We need to be able to preorder the SWAG so we can recognise people in the Airport from the hats and Tshirts.","","💯 (2),🤠 (1)"
"693309801589112862","_dyland","2024-06-14T05:10:39.4830000+08:00","I thought we were each getting our own Self Driving Tesla's to race.","","🏎️ (4)"
"1073632885153730621","vaughnturner","2024-06-14T05:11:25.1860000+08:00","That's next year!","","⚡ (3),😂 (2)"
"401050128317808640","lopa0679","2024-06-15T23:43:48.3300000+08:00","Hi, Will there be digital tickets or a livestream available for the Conference? Is there any way to access to recorded Sessions?","",""
"867075936054149191","rickbullotta","2024-06-16T05:00:35.3370000+08:00","With Elon, it’s always “next year”","","🤣 (2)"
"829502128191045652","joshuastover","2024-06-16T08:17:27.1930000+08:00","We will post some content from the conference, but we won't be doing any livestreams or digital tickets","",""
"1214242167640424619","zack.scriven","2024-06-17T23:43:39.8610000+08:00","yes, the recorded ProveIt! Sessions will be published to the conference website afterwards.","","🦾 (1)"
"1197952122038255637","ajcamm_88960","2024-06-19T22:18:50.4460000+08:00","Before I click Book, anyone know if the Westin requires any payment upfront? ...can't find this anywhere, haven't called yet.","",""
"1073632885153730621","vaughnturner","2024-06-19T22:24:43.0650000+08:00","I'll check with our coordinator and get you that answer AJ","","👍 (1)"
"1073632885153730621","vaughnturner","2024-06-19T22:35:35.7830000+08:00","The CC you use on the reservation room link is to secure the room only, Once you arrive to check-in the card will be swiped and then charged","","👍 (1)"
"1197952122038255637","ajcamm_88960","2024-06-19T22:36:58.8490000+08:00","perfect, thanks!","","🤘 (1)"
"1073632885153730621","vaughnturner","2024-06-19T22:37:28.6580000+08:00","My pleasure, and great question too.","",""
"1214242167640424619","zack.scriven","2024-06-20T12:48:00.7570000+08:00","@MParris imagine if MRP easy is a sponsor at ProveIt!","",""
"794020366536146977","mparris","2024-06-20T16:48:06.7900000+08:00","You think your tickets are flying of the self now...

You book MRP Easy, and you'll be sold out overnight!","","🤣 (2),😆 (1)"
"1214242167640424619","zack.scriven","2024-06-22T12:16:58.3950000+08:00","“So when is the 4.0 conference?” Zack asks @Walker Reynolds challengingly 😎

https://youtube.com/shorts/xq2h1889_04?si=_FJ1O_xuS_V8jnwV","",""
"1073632885153730621","vaughnturner","2024-06-24T21:01:02.2380000+08:00","Those details will be coming out in a couple of weeks.","",""
"1214242167640424619","zack.scriven","2024-06-25T02:13:36.1910000+08:00","https://tenor.com/view/futurama-fry-hmm-squinting-gif-4973356107513966870","",""
"1214242167640424619","zack.scriven","2024-06-25T02:13:41.1790000+08:00","the what edition?","",""
"1214242167640424619","zack.scriven","2024-06-25T02:13:49.3690000+08:00","i have no clue wht you are talking about","",""
"697134502148964423","trentc","2024-06-25T19:05:41.0480000+08:00","For the vendors on the common UNS architecture, has it been said if there will be any historical data available?","",""
"697134502148964423","trentc","2024-06-26T19:56:54.3130000+08:00","@Zack Scriven","",""
"1135156107770347540","jozseftp_28384","2024-06-26T20:47:45.3340000+08:00","Achievement unlocked: message deleted by mods 😄","","😂 (2)"
"1214242167640424619","zack.scriven","2024-06-26T21:47:56.8570000+08:00","Yes, 7 days","",""
"697134502148964423","trentc","2024-06-26T21:49:04.2830000+08:00","Do we know what the source will be yet? Canary?","",""
"697134502148964423","trentc","2024-07-02T23:52:27.6170000+08:00","@Zack Scriven Do we we know if we will get the 7 days at the time we recieve the spec? or not until we arrive ""on-site""?","",""
"1214242167640424619","zack.scriven","2024-07-02T23:54:57.1280000+08:00","Functional specifications are released 16 weeks before. That should have the data architecture that will be available.","",""
"1214242167640424619","zack.scriven","2024-07-02T23:55:12.4540000+08:00","I think the data won’t be available till we do startup : testing on Monday","","👍 (1)"
"1214242167640424619","zack.scriven","2024-07-02T23:55:48.1210000+08:00","If it is going to be made available prior, that’s not something that’s been said yet","",""
"697134502148964423","trentc","2024-07-02T23:56:02.6260000+08:00","Ok thanks sir!","",""
"277515221885779970","jermuk","2024-07-03T16:26:26.5590000+08:00","Hi guys, we are thinking of going to Walkers ProveIt Conference/ Who is there as well and would want to meet up with us? If there are enough people wanting to meet up there, we will go 🙂","","👋 (2)"
"475955754788978688","jdingus","2024-07-03T20:27:20.5110000+08:00","Me and Dan Cooper are going to be there.  Think it would be a great event.  You guys not doing a booth?","","❤️ (2)"
"1073312001788477471","sparkylarks","2024-07-03T22:29:45.6070000+08:00","Booked tickets ,flights and Hotel weeks ago.","","❤️ (3)"
"1121589314409725952","ricardo_maestas","2024-07-04T01:19:05.8830000+08:00","Already bought my ticket/booked my room. Would be great to see you there!","","❤️ (2)"
"1214242167640424619","zack.scriven","2024-07-06T07:36:41.1230000+08:00","Would love to have you there!","",""
"686612416196640790","dezemand","2024-07-11T01:09:41.9470000+08:00","I’ll be there too with a colleague!","","🎉 (2)"
"1214242167640424619","zack.scriven","2024-07-11T03:58:52.1260000+08:00","","https://cdn.discordapp.com/attachments/1249769113203773552/1260686701416681562/a0445fee8f2e4c088e4228b0c9ecaf4a.mov?ex=68df823c&is=68de30bc&hm=26c629eb31a1ac14de192f71e456637142f63d7c1e231007d41752569f216f50&","😂 (4)"
"1203453953115693159","stephenbryant_89711","2024-07-11T16:17:02.7430000+08:00","How nice to see somebody dancing _without_ flip-flops! 🙂","","🤣 (2)"
