AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2021-04-28T03:28:03.7910000+08:00","!help economy","",""
"817835202746253344","IIoT#4707","2021-04-28T03:28:04.3230000+08:00","","","⬅️ (3),➡️ (5),canary (1)"
"745009912160976977","marioishikawa","2021-04-28T03:28:35.8510000+08:00","Good, we also need an audio chat then","",""
"194289793905983489","zackscriven","2021-04-28T03:28:42.9100000+08:00","Let the Economy Game begin @everyone!","",""
"194289793905983489","zackscriven","2021-04-28T03:29:59.0310000+08:00","!daily","",""
"817835202746253344","IIoT#4707","2021-04-28T03:29:59.4560000+08:00","","","😆 (1)"
"194289793905983489","zackscriven","2021-04-28T03:30:15.6090000+08:00","!economy-info","",""
"817835202746253344","IIoT#4707","2021-04-28T03:30:16.0920000+08:00","","",""
"745009912160976977","marioishikawa","2021-04-28T03:30:31.5960000+08:00","!daily","",""
"817835202746253344","IIoT#4707","2021-04-28T03:30:31.9260000+08:00","","",""
"782154101122531328","yousufzubairi","2021-04-28T03:30:41.2270000+08:00","!daily","",""
"817835202746253344","IIoT#4707","2021-04-28T03:30:41.6720000+08:00","","",""
"194289793905983489","zackscriven","2021-04-28T03:30:48.6010000+08:00","😃","",""
"745009912160976977","marioishikawa","2021-04-28T03:30:56.6250000+08:00","This is how we had a meeting today in my company","https://cdn.discordapp.com/attachments/836684948739457085/836685867774902372/unknown.png?ex=68df7baf&is=68de2a2f&hm=1ff93dc84b0f4c50698dc0fb2d3ae6f0f052ad34386bcaf4d41dc3d8680e027b&",""
"829502128191045652","joshuastover","2021-04-28T03:30:59.0770000+08:00","!daily","",""
"817835202746253344","IIoT#4707","2021-04-28T03:30:59.4420000+08:00","","",""
"194289793905983489","zackscriven","2021-04-28T03:31:14.4830000+08:00","Playing Grand Theft Auto? LOL","",""
"745009912160976977","marioishikawa","2021-04-28T03:31:21.6960000+08:00","hehehe","",""
"751405889000570962","danred1","2021-04-28T03:31:27.5960000+08:00","!daily","",""
"817835202746253344","IIoT#4707","2021-04-28T03:31:28.1020000+08:00","","",""
"745009912160976977","marioishikawa","2021-04-28T03:31:31.7490000+08:00","Engineers in Cars Getting Coffee","",""
"194289793905983489","zackscriven","2021-04-28T03:31:34.6060000+08:00","Or is that real virtual reality? I can't tell the difference anymore.","",""
"782154101122531328","yousufzubairi","2021-04-28T03:31:41.4770000+08:00","!guess 77","","👀 (1)"
"817835202746253344","IIoT#4707","2021-04-28T03:31:41.9510000+08:00",":thinking: yousufzubairi bets 77 :coin: and starts the mystery machine...","",""
