AuthorID,Author,Date,Content,Attachments,Reactions
"894527802316046366","nickn5549","2023-02-10T19:05:19.3320000+08:00","What are we cooking here?","",""
"829502128191045652","joshuastover","2023-02-10T21:39:06.4770000+08:00","lol 🤣 IoT, 3d prints.... Pi!","",""
"829502128191045652","joshuastover","2023-02-10T21:39:11.2130000+08:00","https://tenor.com/view/pi-day-gif-5173609","",""
"972180596166115328","luismiguelbp","2023-02-11T01:13:01.2990000+08:00","Ignition Maker Edition or Node-RED","",""
"829502128191045652","joshuastover","2023-02-28T22:39:02.3620000+08:00","I have a question y'all:

I'm trying to install Ubuntu Desktop onto a fresh PC (Has no OS on it currently) and I'm having issues. I've tried twice to flash the OS file from my macbook onto a flash drive and I've managed to kill 2 flashdrives. Am I an idiot and am doing something wrong?","",""
"898217314741280828","hobbes1069","2023-02-28T23:04:43.4800000+08:00","Try Fedora Media Writer, works for more than just Fedora as long as you have an ISO. M1 or x86 mac?","",""
"829502128191045652","joshuastover","2023-02-28T23:08:54.2920000+08:00","Mine is an X86... I'm still rocking the (old) i9 Intel chip. I used BalenaEtcher on the first 2 trys. Literally killed my Flashdrives. Both Flash attempts failed, and then the flashdrives stopped be discoverable for any device I plugged it into.","",""
"898217314741280828","hobbes1069","2023-02-28T23:09:34.5730000+08:00","That's supposed to be a good product but doesn't work for everyone.","","👍 (1)"
"898217314741280828","hobbes1069","2023-02-28T23:11:54.1490000+08:00","https://getfedora.org/fmw/FedoraMediaWriter-osx-latest.dmg","",""
"829502128191045652","joshuastover","2023-02-28T23:16:36.9620000+08:00","I'll try it and report back.... after I get more flash drives :feelssighman:","",""
"894527802316046366","nickn5549","2023-03-01T14:54:46.0150000+08:00","Balena Etcher is solid. Don't think the SD of flash drives are dead, try them on a Linux box (or RPI).","",""
"829502128191045652","joshuastover","2023-03-01T21:18:44.8830000+08:00","The 2 flash drives both stop showing up on any device, and one of them had the red flashing light of death. My 3rd attempt with a fresh download of Ubunutu 22.10 worked out","","👍🏻 (1)"
"544957609137012746","mkult1a","2023-04-05T00:29:13.8850000+08:00","https://github.com/mkeras/Arduino-PMC-Clock

I made a simple class (with help from chatGPT) for the Arduino Portenta Machine Control. I plan to modify/test it to work on the Opta as well, but I am focused on building a complete sparkplug 3 node first. It's a simple way to get unix timestamps in milliseconds, automatically synchronized with an NTP server and the RTC of the PMC.","",""
"833941249362493450","sammysevens777","2023-04-07T12:36:54.1960000+08:00","Apologies if this isn't the best place for this question - but for my automation / electrical junkies, I've been assigned a task to DfM our electronic board's wiring. We have about 50 discrete wires that are just cumbersome to wire individually, error-prone, consumes space, and actually makes our product look kinda cheap (think like a board with about 50 wires coming out of it, with no duct etc.). I've got some ideas....but my mgmt. also wants to evaluate board re-designs, daughter boards, M-F connectors etc.","",""
"833941249362493450","sammysevens777","2023-04-07T12:42:28.3880000+08:00","The process goal is to connectorize the board - so the assembler just connects pre-terminated cables. With this in mind, does anyone have resources on how to systematically approach this kind of a problem? Thank you","",""
"890244048739270656","brianpribe","2023-04-08T03:04:59.2070000+08:00","I do a lot of wiring for industrial panels. I would look at Phoenix Contact for all of the various products they have for PCBs. 

Consolidate, Integrate, Eliminate.","","💯 (1)"
"833941249362493450","sammysevens777","2023-04-08T04:58:57.1790000+08:00","Thats a great way to put it....our base connectors are 1952801","",""
"833941249362493450","sammysevens777","2023-04-08T05:01:45.8350000+08:00","And right now we have 50 sets of them with a 1952283. The thought is unless we redesign the PCB...we remove the 1952283 and then use some kind of pass through connector to a daughter board....and connectorize from there....","",""
"833941249362493450","sammysevens777","2023-04-08T05:02:44.7560000+08:00","Not a single connector, we have mix of DI/DO, AI/AO, safety I/O, 24V/12V, and some serial too","",""
"890244048739270656","brianpribe","2023-04-08T06:02:27.4690000+08:00","So for this product, where is it supposed to live? In a control enclosure? In an office? On the plant floor?","",""
"833941249362493450","sammysevens777","2023-04-08T06:13:27.6050000+08:00","Inside of a stationary cabinet (inspection machine).","",""
"890244048739270656","brianpribe","2023-04-08T07:32:55.8380000+08:00","So IP20. Aside from having the CAN and serial terminals be ports instead, I don’t think there’s a good way to make it more plug n play","",""
"833941249362493450","sammysevens777","2023-04-08T07:36:41.7120000+08:00","Yeah the cabinet is sealed and washdown (IP69K). 

Right now they are all individual wires...wouldnt converting end into poke yoke connectors be a good idea? At least for us....we have a lot of wiring isues....","",""
"890244048739270656","brianpribe","2023-04-08T07:58:53.6810000+08:00","I’m still not 100% on how the PCB is being used. Are you connecting multiple PCBs together? Or is the PCB a final product and you are having to wire a bunch of devices to it?","",""
"833941249362493450","sammysevens777","2023-04-08T08:22:31.5090000+08:00","Yes exactly (the latter). The board uses a PIC microcontroller and has electronics to control signals interfaced by 1952801","",""
"890244048739270656","brianpribe","2023-04-08T08:24:47.9910000+08:00","Your PCB isn’t the problem, it’s your wiring process and documentation.","",""
"890244048739270656","brianpribe","2023-04-08T08:26:16.0580000+08:00","You can wire panels like this in one go with the right processes and documentation (practice too).","https://cdn.discordapp.com/attachments/1037154861067817061/1094055576398471258/IMG_1475.jpg?ex=68df1827&is=68ddc6a7&hm=5760b77f8564ea36391cbdc4f06d55d92d2575468ba3ebb8fc723fb39b95fc4c&",""
"894527802316046366","nickn5549","2023-04-08T08:50:22.5890000+08:00","Yes, but the PCBs are making your life much, much easier when complexity grows - I'll send some pics from some of our machines - once I'm back to work","",""
"890244048739270656","brianpribe","2023-04-08T08:57:29.7530000+08:00","100%. Wiring is expensive. Each wire installed is $2.00 (in the panel only). You can imagine how pricey it gets for large projects. M12 cables, IO blocks, Ethernet, and terminal systems are a godsend for large systems.","",""
"894527802316046366","nickn5549","2023-04-08T09:00:26.7580000+08:00","We are more in PCBA manufacturing, but any time when we have cabinets to build we do DFA ( Design for Assembly) and normally we suggest to 'connectorize' and approach it something like this -- identify the wires that need to be replaced, determine the type an numer of connectors needed, design the PCB(s) to accomodate these connectors, build the 'standardised' cables, test your design, refine the design, document the design, get approval if needed. For each PCB we do DFM (Design for Manufacturability) to make sure that are easy to build - PCB Fab and PCB Assy.","","💯 (1)"
"890244048739270656","brianpribe","2023-04-08T09:23:44.9280000+08:00","I do my best to stay away from making custom cables. They f*cking suck. For one-off machines (which I mostly do), I really try to keep my schematics utilizing standard cables (M12). Not just that, but if you have to replace that cable it's even more of a headache. Had a customer once request a custom cable, I asked 10 questions to get all of the information I need. They just sent over a 3 different documents that ""should answer all of my questions"". I ended up with 3 different part numbers for one end of the cable....","",""
"890244048739270656","brianpribe","2023-04-08T09:24:13.0550000+08:00","Oh and no part numbers for the other end.","","😆 (1)"
