AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2021-10-28T11:06:41.5480000+08:00","","https://cdn.discordapp.com/attachments/902920455168602142/903117540925005844/IMG_1776.png?ex=68df3dc0&is=68ddec40&hm=d15988ccb9aefac9fedeb1c70acbe796d320d5bf833f2c75943e67a1414bc316&",""
"890244048739270656","brianpribe","2021-10-28T21:06:18.6540000+08:00","Zack imma get you one of these

https://youtooz.com/products/stonks","","🔥 (1),😜 (1),😂 (1)"
"194289793905983489","zackscriven","2021-10-29T01:41:03.5710000+08:00","Question: Can SHIB hit $.01?

**That would be a 5,490,955,097,383 or $5.5T market cap.**

Bitcoins market cap is $1.15T so if it goes to $10T and SHIB hits #2 market cap coin.... then yes I can see that. If it replaced Ethereum's position which is currently #2 at $.5T or 50% of bitcoins market cap.","",""
"870069549859504199","jacobl8691","2021-10-29T01:52:56.5250000+08:00","Oh I see! I just can’t see a meme coin ever having true value.","","😆 (1)"
"870069549859504199","jacobl8691","2021-10-29T01:53:45.9990000+08:00","This from the guy who held doge since 2015","",""
"806945171031719966","isharp2080","2021-10-29T03:20:50.7770000+08:00","Not on the topic of Shib or BTC... but you may find this interesting:
https://www.linkedin.com/posts/irasharpjr_aws-chainlink-blockchain-activity-6859454873453297665-X405","","🔥 (1)"
"806945171031719966","isharp2080","2021-10-29T03:22:32.5350000+08:00","NFT/ Smart Contract - could be interesting tech for industry/ supply chain/ logistics/ etc. (all investments aside)","",""
"194289793905983489","zackscriven","2021-10-29T10:04:38.4660000+08:00","I came across this post today! Interesting","",""
"870069549859504199","jacobl8691","2021-10-31T05:09:44.9680000+08:00","Anyone else enjoying kucoins bot trading?","","🤔 (1)"
"194289793905983489","zackscriven","2021-10-31T08:17:01.6230000+08:00","I’ve not heard of it","",""
"194289793905983489","zackscriven","2021-10-31T14:11:09.1940000+08:00","I’m up 33% on the Tesla shares I bought two weeks ago.","","🔥 (2)"
"725453700990238821","blackstar864318","2021-10-31T20:51:35.0420000+08:00","Which app are you using @zackscriven ?","",""
"194289793905983489","zackscriven","2021-11-01T04:14:56.6730000+08:00","For investing? I’m old school, E*TRADE","",""
"194289793905983489","zackscriven","2021-11-01T04:15:27.4540000+08:00","I should get with Public, start levering the social aspect and get some affiliate income for recommending it.","",""
"870069549859504199","jacobl8691","2021-11-01T04:42:41.4770000+08:00","Kucoin","",""
"194289793905983489","zackscriven","2021-11-01T11:29:56.8840000+08:00","Analyst said, “This is the fourth industrial revolution playing out before our eyes.” https://youtu.be/NFSJ6YzJbyI","",""
"725453700990238821","blackstar864318","2021-11-02T04:41:02.4300000+08:00","Ahaha do they have affiliate plans?","","💯 (1),😎 (1)"
"194289793905983489","zackscriven","2021-11-02T10:37:50.7840000+08:00","🚀","https://cdn.discordapp.com/attachments/902920455168602142/904922221502423050/IMG_1830.png?ex=68df36fe&is=68dde57e&hm=b8f3666f17706e1d71c4f2b8710937fe29d28a5c9ad92b072c6487d9a794b5e8&",""
"814866933978890280","troy.lenz","2021-11-03T19:58:58.6500000+08:00","If you want to switch to Webull please use my referral link https://a.webull.com/fcluxknQoCaewozONm","",""
"817835202746253344","IIoT#4707","2021-11-03T19:58:59.0120000+08:00","GG @Troy.Lenz, you just advanced to level 1!","","👀 (1)"
