AuthorID,Author,Date,Content,Attachments,Reactions
"448323303598325812",".killnine","2025-08-30T03:20:01.0720000+08:00","SIMD vs. MIMD","",""
"754022474617978971","jessedahirkanehl","2025-08-30T03:27:17.4110000+08:00","curious if anyone has used AMD with ROCm and llama.cpp which now supports AMD? especially multiple GPUs","",""
"448323303598325812",".killnine","2025-08-30T03:46:02.5910000+08:00","I just bought the bullet and went Nvidia instead 🤣","",""
"745476105221308547","markyfreeds","2025-08-30T03:51:07.4950000+08:00","can i beg a favor @Richard Meyer ? (thank you for hosting this by the way!)","",""
"754022474617978971","jessedahirkanehl","2025-08-30T03:57:40.4180000+08:00","good stuff! thanks for showing stuff off!","",""
"448323303598325812",".killnine","2025-08-30T04:06:42.1580000+08:00","""Free""","",""
"448323303598325812",".killnine","2025-08-30T04:06:44.9730000+08:00","😄","",""
"448323303598325812",".killnine","2025-08-30T04:07:05.1050000+08:00","And the power consumption, too. Not as much a renting GPUs but these eat a lot of power","",""
"448323303598325812",".killnine","2025-08-30T04:07:48.1550000+08:00","#aigirlmath","",""
"1214242167640424619","zack.scriven","2025-08-30T04:13:39.3600000+08:00","Good idea mark","",""
"934812203444486234","eiseng","2025-08-30T04:21:18.0000000+08:00","Thanks Richard!  This was a really cool share!","",""
"745476105221308547","markyfreeds","2025-08-30T04:21:32.0070000+08:00","going to jump as well, thanks richard","",""
"934812203444486234","eiseng","2025-08-30T04:21:38.9410000+08:00","I've got to jump off.","",""
"931834730872176660",".netcoredeveloper","2025-08-30T04:23:04.6980000+08:00","Thanks informative session","",""
"1214242167640424619","zack.scriven","2025-08-30T04:23:09.7790000+08:00","🙏","",""
"448323303598325812",".killnine","2025-08-30T04:24:41.6980000+08:00","Cheers, dude. Very nice presentation and discussion around this. My topics aren't around AI, but hoping to give a few 20min talks over the next few weeks.","",""
"448323303598325812",".killnine","2025-08-30T04:25:53.2610000+08:00","Plain ole UNS, DT stuff 😄","",""
"931834730872176660",".netcoredeveloper","2025-08-30T04:27:34.6190000+08:00","Can you please send me documents i can read what you have done so far","",""
"537493750621143041","hisma","2025-08-30T04:34:04.2350000+08:00","sure I can try to prepare a how-to on how to set up llama.cpp to serve up models. It's on my to-do list.","","👍 (1)"
"931834730872176660",".netcoredeveloper","2025-08-30T04:34:40.6580000+08:00","Perfect then i will try to setup one of my project.","",""
