AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2021-05-06T20:28:07.3150000+08:00","HiveMQ Secures seed round! 🌱
https://www.linkedin.com/posts/hivemq-gmbh_hivemq-closes-93-million-seed-funding-from-activity-6795969566599106560-SYcK","https://cdn.discordapp.com/attachments/839840850132598794/839840956026454046/Screenshot_20210506-052050.png?ex=68df1897&is=68ddc717&hm=b68ec4370cfab8deb72b17dc3d7561ba7ae5525a7e080ba075a9a9d348d6dc23&","hivemq (2),🚀 (2),1️⃣ (1)"
"821044538709114900","ianskerrett.","2021-05-06T20:30:10.5590000+08:00","We are pretty pumped to have these investors on board. The interest we are seeing in our MQTT solution in manufacturing and industrial automation is an important part of our vision going forward.","","🤜 (1),🤛 (1),hivemq (2)"
"740365995419631736","omarazizahmed","2021-05-06T21:35:28.7090000+08:00","I heard the buzz!","","hivemq (1),😄 (1)"
"194289793905983489","zackscriven","2021-05-07T02:42:37.5420000+08:00","Tesla and Toyota Are Considering Jointly Developing a Small Electric SUV Platform https://www.torquenews.com/1/tesla-and-toyota-are-considering-jointly-developing-small-electric-suv-platform","","uns (1),2️⃣ (1)"
"194289793905983489","zackscriven","2021-05-07T02:51:06.8930000+08:00","Bringing data modeling into focus https://www.smartindustry.com/articles/2021/bringing-data-modeling-into-focus/","https://cdn.discordapp.com/attachments/839840850132598794/839937339304181800/dataops.gif?ex=68df725a&is=68de20da&hm=cce9be71d7aa12724d46205def6500ebcd8b57b3b0d2a98c5c844112e76506be&","3️⃣ (2),👍 (1)"
"740365995419631736","omarazizahmed","2021-05-07T03:13:58.2760000+08:00","Great article, but I’m biased 😁","","😆 (1)"
"194289793905983489","zackscriven","2021-05-07T04:29:42.7310000+08:00","Phoenix Contact releases PLCnext Edge Device.
https://www.linkedin.com/posts/louis-parent-94aa6925_industrie40-opensource-linux-activity-6796128537834262528-W0wu","","plcnext (3),4️⃣ (1),👍 (2)"
"194289793905983489","zackscriven","2021-05-07T05:16:55.9670000+08:00","Opto-22 Introduces new Groove EPIC and Groove RIO Models with Ignition 8 Onboard.
https://www.linkedin.com/posts/opto-22_todays-press-release-opto-22-introduces-activity-6796142791954194432-cvCQ","","opto22 (3),5️⃣ (2)"
"794020366536146977","mparris","2021-05-07T20:17:57.0180000+08:00","Is there a product page for this?","",""
"194289793905983489","zackscriven","2021-05-08T02:33:58.0900000+08:00","Not yet I don't think. @isharp hadn't even told me about this yet! I came across the french post.","",""
"194289793905983489","zackscriven","2021-05-08T02:33:59.2970000+08:00","LOL","",""
"794020366536146977","mparris","2021-05-08T02:36:48.2330000+08:00","No hablo francés ☹️","","🇫🇷 (1)"
