AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2020-08-05T07:55:51.0930000+08:00","This channel will serve as a place to be notified of all of our new YouTube Videos.","","👍 (2)"
"194289793905983489","zackscriven","2020-08-05T07:55:54.7130000+08:00","Pinned a message.","",""
"159985870458322944","MEE6#4876","2020-08-07T05:13:15.3850000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=jxuSmop4OaE","","👍 (7)"
"159985870458322944","MEE6#4876","2020-08-11T02:32:59.7400000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=FnfmpvQOccM","","👍 (8)"
"159985870458322944","MEE6#4876","2020-08-14T10:49:26.8020000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=n6RjsthbPf0","","👍 (5)"
"159985870458322944","MEE6#4876","2020-08-17T23:08:04.4080000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=gOsWnfdw3Yg","","👍 (2)"
"159985870458322944","MEE6#4876","2020-08-19T01:41:07.3450000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=sZ2xdrV8k2U","","👍 (8)"
"159985870458322944","MEE6#4876","2020-08-27T07:52:07.4980000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=AMM3_br3418","","👍 (5)"
"159985870458322944","MEE6#4876","2020-08-31T23:51:47.8060000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=znE7yBFkpy8","","👍 (3)"
"159985870458322944","MEE6#4876","2020-09-03T05:08:16.5240000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=ZKtjPyXBAxc","",""
"159985870458322944","MEE6#4876","2020-09-08T22:52:01.1240000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=qX8NUY18580","","👍 (3),ishocked (1)"
"159985870458322944","MEE6#4876","2020-09-15T10:36:35.7030000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=kQDDGA-wKU0","","ishocked (1)"
"159985870458322944","MEE6#4876","2020-09-24T01:39:06.3620000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=s5iLitJgois","",""
"194289793905983489","zackscriven","2020-10-08T11:26:55.1460000+08:00","Hey @everyone Check out this week's Whiteboard Wednesday video. A sneak peek of the Digital Factory Mastermind online course. (Tickets on sale Nov 1st!) https://youtu.be/tOhP5Cdfves","","👍 (5),ismile (4)"
"194289793905983489","zackscriven","2020-10-16T02:56:08.4940000+08:00","Hey @everyone, Intellic Integration just posted a video! Go check it out! https://youtu.be/CS963Ba_KBc","","👍 (2)"
"159985870458322944","MEE6#4876","2020-10-16T02:57:49.8050000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=CS963Ba_KBc","",""
"159985870458322944","MEE6#4876","2020-10-21T07:31:09.8480000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=FVamBOPxSSw","","👍 (6)"
"194289793905983489","zackscriven","2020-10-27T04:15:17.4380000+08:00","Video is premiering now! https://www.youtube.com/watch?v=qupbWHekLWs","",""
"159985870458322944","MEE6#4876","2020-10-29T00:29:07.7870000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=lnWINW3DK_U","","😆 (1)"
"159985870458322944","MEE6#4876","2020-11-05T03:16:38.9310000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=80JEizArZds","","👍 (3)"
"194289793905983489","zackscriven","2020-11-06T03:15:40.7160000+08:00","@Walker Reynolds  comment on the most recent video linked above","https://cdn.discordapp.com/attachments/740291928746229852/773988925764796506/Screenshot_20201105-121443.png?ex=68df781b&is=68de269b&hm=1495367be6f0ca878b218fb8c0593e887e5c28ed3a97619fd1587e142361a24b&",""
"382941357699760129","walker.reynolds","2020-11-06T03:24:28.5840000+08:00","My response:","https://cdn.discordapp.com/attachments/740291928746229852/773991141015420958/unknown.png?ex=68df7a2c&is=68de28ac&hm=6f9b5d01f1228d8d8063af177645f7280205dcc856b11f3c02181f398fdd64c2&","🔥 (1)"
"159985870458322944","MEE6#4876","2020-11-06T23:55:36.5970000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=8psBOqInulc","",""
"159985870458322944","MEE6#4876","2020-11-10T01:10:41.7660000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=-_WVFJpKUzs","","🔥 (2),🥊 (2),🆒 (2),🔔 (1)"
"159985870458322944","MEE6#4876","2020-11-18T23:58:09.3110000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=ragOnNHmjS0","","👍 (3),💯 (2),🧬 (1)"
"194289793905983489","zackscriven","2020-12-08T09:17:16.1820000+08:00","Hey @everyone, Intellic Integration just posted a video! Go check it out! https://youtu.be/D9k5kslMEFM","","👍 (4)"
"194289793905983489","zackscriven","2020-12-10T02:23:26.7750000+08:00","Hey @everyone! We just posted a new video, go check it out! https://youtu.be/xeOcvdhGAqk","","👍 (9)"
"159985870458322944","MEE6#4876","2020-12-17T07:01:23.4600000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=qXTPVNg3btw","","💯 (2),🍻 (2),👍 (2),ishocked (1)"
"194289793905983489","zackscriven","2020-12-22T06:13:17.9000000+08:00","@Walker Reynolds interview with Mike Fahrion on the IoT at the Edge Podcast!!! Premiering now! @everyone come join the watch party! 🎉  https://youtu.be/CksSfAKs3ZE","","👍 (9)"
"194289793905983489","zackscriven","2020-12-24T02:55:22.7590000+08:00","Hey @everyone join us to watch our new YouTube video! Join the live watch party now! 🎉 Video is premiering in 5 minutes. 🙂 (It's going to be a good one)

https://youtu.be/LZIBOHK4aNc","","🔥 (3),ishocked (1),👍 (5)"
"194289793905983489","zackscriven","2020-12-31T02:57:15.0240000+08:00","Hey @everyone! Join us now where @Walker Reynolds answers your questions on the Unified Namespace in today's LIVE Premiere! 🎉  https://youtu.be/9M7IkVgZQ0Y","",""
"159985870458322944","MEE6#4876","2021-01-02T02:40:23.8500000+08:00","Hey @everyone, **Intellic Integration** just posted a video! Go check it out!
https://www.youtube.com/watch?v=PhRpTBwSqqE","","😯 (3),🆒 (3)"
"194289793905983489","zackscriven","2021-01-06T00:20:17.5420000+08:00","Hey @everyone  we are live now! https://youtu.be/pPVomEYWgco","","👍 (4)"
