AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2020-08-11T05:03:29.2240000+08:00","Hey @everyone the Intellic Online Mentorship Program is available for signup today! https://intellic-online.mykajabi.com/mentorship-program","","👍 (5)"
"194289793905983489","zackscriven","2020-08-11T05:13:05.3580000+08:00","Also... We are hosting the first ever Digital Factory Mastermind. Anyone who purchases a seat to Digital Factory Mastermind will receive a 1-year subscription to our mentorship program.","https://cdn.discordapp.com/attachments/740317577900851240/742490731767398460/Digital_Factory_Mastermind-1.png?ex=68deeae1&is=68dd9961&hm=7addb03f4e97f85b9391a4ada9f246a99434954ac9f171a78b9a7e7c06e6727b&","👍 (6)"
"194289793905983489","zackscriven","2020-08-11T05:14:26.8360000+08:00","Learn more about @Walker Reynolds Digital Factory Mastermind here https://intellic-online.mykajabi.com/digital-factory-mastermind","","👍 (5)"
"194289793905983489","zackscriven","2020-09-01T11:14:51.8210000+08:00","Hey @everyone! We are hosting a 1-Hour Free Live training this Friday and hope you all can make it! https://bit.ly/digital-factory-webinar","","👍 (12)"
"194289793905983489","zackscriven","2020-09-01T11:16:52.4630000+08:00","It is basically going to be the first 1-Hour of the Digital Factory Mastermind (Our 4-hour paid program) completely free. Will not be on YouTube so you must register for this training.","","👍 (6)"
"740317294584004680","vaughnturner8478","2020-09-02T00:45:48.2670000+08:00","This is going to be exciting and informative!","",""
"194289793905983489","zackscriven","2020-09-11T06:00:45.6450000+08:00","@everyone if you have purchased tickets for the Digital Factory Mastermind and missed our emails. we are having a orientation meeting right now.","","👍 (1)"
"194289793905983489","zackscriven","2020-09-11T20:55:45.8130000+08:00","@everyone the first-ever Digital Factory Mastermind is about to begin! Thank you all for helping make this a reality.","","👍 (5)"
"740317294584004680","vaughnturner8478","2020-09-11T20:56:15.4660000+08:00","I'm so stoked for this!¡!","",""
"194289793905983489","zackscriven","2020-09-18T21:01:06.3630000+08:00","Signup Period has come to a close for the Mentorship Program! 60 Students will be in this @Mentorship class!","","👍 (7)"
"194289793905983489","zackscriven","2020-09-18T21:01:40.6380000+08:00","You can signup to be notified when we open up signup period again here... https://www.intellic.online/mentorship-program","",""
"194289793905983489","zackscriven","2020-10-29T00:58:11.8350000+08:00","Hey @everyone  we have a 2 special announcements in today's Whiteboard Wednesday Video! (One we haven't even talked about at all yet) It's going live now! https://youtu.be/lnWINW3DK_U","","👍 (4)"
"194289793905983489","zackscriven","2020-10-29T00:58:29.5890000+08:00","We really appreciate your support and helping us #makeadifference","",""
"194289793905983489","zackscriven","2020-11-01T01:15:07.3980000+08:00","Hey @everyone! Today's the last day to get your Early Bird Tickets for Digital Factory Mastermind Step 2 | ERP Secrets Revealed.

Questions:

**What is Digital Factory Mastermind Step 2?** 
Step 2 is a brand new class. It builds on the foundation that we all built in Step 1, But you do not need to Purchase Step 1 to get value from Step 2.

**If I purchased Step 1 do I need to purchase Step 2?**
If you want the content from Step 2 then **yes**. If you don't ever plan on integrating ERP into an IIoT infrastructure... or you don't have a pressing need for it right now, then save your money. You can always purchase the record later when  you do need it.

**What is the difference between Mastermind LIVE and Recording?**
Anyone who attends the LIVE Mastermind, will get the recording. We only do each LIVE training once, so it makes sense to attend for the LIVE Q&A portion. Especially if you are working on a project right now.

**What is the cost?**
The cost for Digital Mastermind Step 2 LIVE is $1997.
The cost if you want to wait and buy the recording is $997

**What is the Early Bird Discount?**
Purchase your Digital Factory Mastermind Step 2 LIVE tickets before 10/31 and save $1000. (Think of it like pre-order the recording and attend LIVE for free)

**How many seats will the LIVE Mastermind be limited to?
**In order to keep the LIVE Mastermind productive we are limiting down the number of LIVE attendees to just 15. 

**How many seats are sold already?
**5 of you guys & gals have already signed up! We are blown away!

**When is the training?**
The Step 2 Mastermind LIVE is on **Friday December, 4th 8:00 AM CST
**","https://cdn.discordapp.com/attachments/740317577900851240/772146648650219580/INTEG.png?ex=68df5bda&is=68de0a5a&hm=8d3f111226ce314b1aa3ffb25335d9b94f7ccb88028db74d3f9bf2383115dfed&","👍 (1)"
"194289793905983489","zackscriven","2020-11-01T02:13:30.1610000+08:00","Good question came up:

**Is there a FREE 1-Year subscription to the Mentorship Program with Step 2?**
No. That was a bonus we only offered to the original group in Step 1. 

**Will I get a 30 Minute 1on1 call with Walker Reynolds if I purchase Step 2? Like was offered with Step 1?**
Again no. That was a exclusive bonus just for the original people to purchase Mastermind Step 1. We are no longer offering this. If you have not yet booked this! Please reach out to myself or Vaughn Turner and we will get you a link to schedule your call. We did not forget about that. (Many of you have done this already)","",""
"194289793905983489","zackscriven","2020-11-03T01:36:40.6200000+08:00","Hey @everyone all of your purchases on Intellic Online will automatically come with a Stripe Invoice. If you need a receipt for a previous charge, please reach out to me. Thank you! (It will look like this)","https://cdn.discordapp.com/attachments/740317577900851240/772876848177610793/Screen_Shot_2020-11-02_at_10.36.13_AM.png?ex=68df60e7&is=68de0f67&hm=96a360a5868451d9711f754c9a38d248005b4443a3b47cd1bfa8b0899d1bff69&","👍 (3)"
"194289793905983489","zackscriven","2020-11-07T07:44:15.8900000+08:00","Hey everyone! Quick announcement!

Digital Factory Mastermind Step 1 is available for purchase at Intellic Online today!

We are looking for 1-2 people here on discord to join our @Mastermind Community by purchasing Mastermind Step 1 for 50% off today.

PM me or @Vaughn Turner for the link. And thank you all for helping make the Mastermind series and Intellic Online a reality for the community.","https://cdn.discordapp.com/attachments/740317577900851240/774418905418432552/20201106_163405_0001.png?ex=68df0e4f&is=68ddbccf&hm=84e31980ab0059a566a675921ad21057488b7fdf68f9c037ed557cb7f34b2221&",""
"194289793905983489","zackscriven","2020-11-11T00:15:01.7940000+08:00","Hey @everyone!  Set your calendars for 12/2/20 to join us for our last Mentorship Group Call of 2020.

We do these every month to:

🔹 Check-in with all of our mentees

🔹 Go over Training Updates

🔹 Hear @Walker Reynolds Chat and Objectives

🔹 Go over a new Industry 4.0 Topic Discussion","https://cdn.discordapp.com/attachments/740317577900851240/775755403186274355/INTEG_5.png?ex=68df4dc4&is=68ddfc44&hm=d09025176f928b9ad2c4a04c1a0779ada045fbfd9c10ec57f1e1d247f6e9d01f&","👍 (3)"
"740317294584004680","vaughnturner8478","2020-11-11T00:25:27.3250000+08:00","I’ll be there","","💯 (2)"
"756277491433341030","dewayne_warden","2020-11-11T02:08:30.0560000+08:00","Ditto. Seeking wisdom from the Walker.","","👍 (1)"
"194289793905983489","zackscriven","2020-12-01T00:00:04.9710000+08:00","Hey @everyone! We are coming down to the wire for **Digital Mastermind Step 2 this Friday**!  We are offering 50% off Digital Mastermind Step 2 tickets today only for Cyber Monday. Send a PM to @Vaughn Turner  or myself for a link.","https://cdn.discordapp.com/attachments/740317577900851240/782999396526587993/Intellic_Social_Media_1.png?ex=68df4a43&is=68ddf8c3&hm=d628e9e5a8d1147c24fa869b336bcac2ecdfe7d3b35499c023600d4a7cffe5ad&","ismile (2)"
"194289793905983489","zackscriven","2020-12-01T01:01:30.3230000+08:00","P.S. The Coupon Code CYBER50 will work for ALL of these products.

Get 50% off your first month of our Mentorship Program
Get 50% off the Life Sciences Mini-Course
Get 50% off the Enterprise Solutions Mini-Course
Get 50% off Walker Reynolds Private Coaching / Consulting
Get 50% off Digital Factory Mastermind Step 1
Get 50% off Digital Factory Mastermind Step 2","",""
"382941357699760129","walker.reynolds","2020-12-01T01:42:29.7710000+08:00","Is this the Cyber Monday thing y'all were talking about this morning?","","💯 (1)"
"382941357699760129","walker.reynolds","2020-12-01T01:42:38.9990000+08:00","Sweet","",""
"194289793905983489","zackscriven","2020-12-27T05:27:50.7380000+08:00","@everyone registration is now open for the **Industry 4.0 Mentorship Program** 🎉  Looking forward to welcoming a new group to the program and introducing Step 2 training to our existing @Mentorship group on January 14th! The link to signup is here. https://www.intellic.online/mentorship-program","","👍 (4)"
"194289793905983489","zackscriven","2021-01-03T01:38:05.7560000+08:00","@everyone you can now register for FrameworX University Launch Event! https://www.intellic.online/registration-page","","✅ (7),👍 (4)"
"740531920907010118","jmckeon","2021-01-03T01:39:48.9350000+08:00","👍","","🔥 (4)"
"194289793905983489","zackscriven","2021-01-19T00:21:56.7580000+08:00","Hey @everyone our weekly Live Q&A has been moved to Tuesdays! 📅  
**What is our Weekly Live Q&A?**
Every week we answer 4-6  new Industry questions that come up here in Discord live on our YouTube with myself, @Vaughn Turner and @Walker Reynolds 

**Why did we move it to Tuesday?**
After having it on Monday and Tuesday, we found that Tuesday seems to work better for you all.

See you on the live tomorrow!","","👍 (9)"
"194289793905983489","zackscriven","2021-01-20T01:14:05.8850000+08:00","Here is the link for the Weekly Live Q&A* (This will stay the same each week... there will be a different link for events such as FXU Launch)* https://youtu.be/VYG048gq6p0","","ismile (1)"
"740975015247478946","chrisgele","2021-01-20T01:39:09.4780000+08:00","@zackscriven What time does the Q&A start?","",""
"194289793905983489","zackscriven","2021-01-20T01:39:25.1920000+08:00","12:00 CST","","👍 (1)"
"194289793905983489","zackscriven","2021-01-20T01:39:30.5790000+08:00","in 20 mins","",""
"194289793905983489","zackscriven","2021-01-22T01:17:22.8090000+08:00","@everyone FrameworX University is live! 🚀  Signup today https://fxu.mykajabi.com","","👍 (7)"
"740317294584004680","vaughnturner8478","2021-01-22T01:22:57.6800000+08:00","This is fantastic guys!","","💯 (3)"
"751492163233382430","andyott33","2021-01-22T01:23:47.8510000+08:00","@zackscriven signed up and excited for this!","",""
"756269139097550861","kevinjones8441","2021-01-25T04:00:15.6410000+08:00","@DavidSchultz does all the heavy lifting in this demonstration of his skillz, using what he's learned here, I'm simply the color analyst. He'll soon get this also on his channel with his own branding. https://www.youtube.com/watch?v=0kbMGUJ6n-g&t=183s","","ismile (3),💯 (2)"
"194289793905983489","zackscriven","2021-01-30T03:57:45.6530000+08:00","Hey @everyone! We are answering the questions on the new Digital Factory Mastermind Program on our 30-Minute Clarity Call right now! https://us02web.zoom.us/j/84044202313?pwd=REtleW5kRmw1VGd6WGJPWCtRSmdGdz09","","👍 (3)"
"194289793905983489","zackscriven","2021-02-01T00:14:55.7580000+08:00","Hey @everyone today's the last day to sign up for @Mentorship for 6 months! 

Enroll here https://www.intellic.online/mentorship-program

When you sign up, you'll receive a little shout out in the #👋-welcome channel!!! 🎉","https://cdn.discordapp.com/attachments/740317577900851240/805471186267799562/Screenshot_20210131-091307.png?ex=68df4dbf&is=68ddfc3f&hm=2403ac3c90dc28f0bae45a618254471533c49b5e0a22bfd0ecf57339cccb8d32&","🔥 (2)"
"194289793905983489","zackscriven","2021-02-02T22:16:04.4170000+08:00","Good morning @everyone! Today's LIVE Q&A (12 CST) will be hosted by myself and @Vaughn Turner today. @Walker Reynolds will be back on the Live Q&A next week!","",""
"744671252605829181","jeff.rankinen","2021-02-03T00:08:55.0060000+08:00","👍","",""
"194289793905983489","zackscriven","2021-02-03T01:34:43.9640000+08:00","Hey @everyone join us in 30 Minutes for the LIVE Q&A bring your questions for myself, and @Vaughn Turner today! We also have a guest for today's Live show... a member from our Mentorship Community. See you soon! https://youtu.be/8R-znpjtRC4","","👍 (7)"
"805482126170259498","mazensalhi","2021-02-03T02:08:59.5340000+08:00","Thanks to Zack and Andrew (from Canada)","","💯 (2)"
"194289793905983489","zackscriven","2021-02-03T02:10:40.8420000+08:00","Thank you Mazen!","","💯 (1)"
"159985870458322944","MEE6#4876","2021-02-03T02:10:41.1800000+08:00","GG @zackscriven, you just advanced to level 3!","",""
"801821739339612161","dstaifer9556","2021-02-03T03:06:46.4320000+08:00","👍","",""
"751492163233382430","andyott33","2021-02-03T12:37:54.1280000+08:00","Thanks. Where do you work? Where in Canada?","",""
"805482126170259498","mazensalhi","2021-02-04T00:37:26.9350000+08:00","Hi Andrew .. sorry I just saw your message. Calgary is home.","",""
"751492163233382430","andyott33","2021-02-04T01:04:14.3930000+08:00","Cool, I am near Vancouver","",""
"194289793905983489","zackscriven","2021-02-05T07:56:02.7430000+08:00","Hey Everyone! We have an informal @Mentorship Catch-up call tomorrow morning! 10:00 AM CST  Looking forward to seeing all of your beautiful faces tomorrow 🙂","","👍 (3)"
"166656125276520449","trystonemartian","2021-02-05T23:47:24.6190000+08:00","What is the meeting link? Is it the same as the Kick off meeting?","",""
"159985870458322944","MEE6#4876","2021-02-10T04:56:17.6980000+08:00","","https://cdn.discordapp.com/attachments/740317577900851240/808803484891480104/card.png?ex=68dee6f1&is=68dd9571&hm=548c6caf1f7cfc157484ab3200045ba561db66d9f0a191958d6792d4c37758e8&","🎉 (1),👍 (1)"
"194289793905983489","zackscriven","2021-02-10T10:51:43.1600000+08:00","I'll send in #mentorship-program","",""
"194289793905983489","zackscriven","2021-02-12T22:00:46.4460000+08:00","Mastermind Session is today!!!","https://cdn.discordapp.com/attachments/740317577900851240/809786076734160896/Leveraging_Historian_Node__the_Unified_Namespace.png?ex=68df2e4d&is=68dddccd&hm=7ccc886f9a9888b93259e9700fb0453f3c0b32ab4d6559172648d876c8512b91&",""
"751903973123948655","paul_kopcak","2021-02-13T08:10:16.6890000+08:00","","https://cdn.discordapp.com/attachments/740317577900851240/809939462825050112/Screenshot_20200924-205313.jpg?ex=68df1467&is=68ddc2e7&hm=df6c9d7a27538171494be59875c33da66c1e136f8d9685b95d7605c11c3cfaef&","👍 (1)"
"751903973123948655","paul_kopcak","2021-02-13T08:30:24.8150000+08:00","This is for anyone looking to expand their mobile platform.  I finally received the Trio Max portable monitors for my 15"" laptop.  Now I can program on the fly with more display space.  Better than a 17"" laptop.  Recommend one of these when working on the road.","","ismile (3),ishocked (2)"
"794020366536146977","mparris","2021-02-15T05:51:03.1510000+08:00","Looks nice! I recently got the ASUS ZenScreen Touch MB16AMT  to connect to headless Raspberry Pis if low-level troubleshooting is required","",""
"194289793905983489","zackscriven","2021-02-16T06:03:20.7990000+08:00","Hey @everyone! The storm that hit Dallas left some damage to the Power Infrastructure. Today there was rolling blackouts and @Walker Reynolds was unable to get access to data. There may be a chance Walker is unable to join tomorrow's Q&A. In any event, @Vaughn Turner and I will still host the live Q&A tomorrow at 12:00 CST where we will be chatting with @Mario Ishikawa during the Community Spotlight Segment! Thank you all!","","👍 (5)"
"751405889000570962","danred1","2021-02-16T06:04:11.1110000+08:00","@Mario Ishikawa Rocks!!!!     Absolutely, I will be there!","","💯 (1)"
"740975015247478946","chrisgele","2021-02-16T06:05:04.1310000+08:00","@zackscriven No rolling blackouts, but lots of snow for us (6-8"").    Mario is the man!!!","","💯 (1)"
"756277491433341030","dewayne_warden","2021-02-16T06:05:35.1340000+08:00","Thanks for the update.  Stay warm and safe.  Best wishes for those still under the gun.  Looking forward to South America ruling the screen tomorrow!","","ishocked (1),🙏 (1),🔥 (1),👍 (1)"
"159985870458322944","MEE6#4876","2021-02-16T06:05:35.3950000+08:00","GG @dewayne_warden, you just advanced to level 1!","",""
"745009912160976977","marioishikawa","2021-02-16T07:05:35.5860000+08:00","I hope things get back to normal soon in Dallas. Excited for tomorrow!","",""
"382941357699760129","walker.reynolds","2021-02-17T00:57:57.2740000+08:00","Quick update — rolling blackouts are now 1 hour on, 9 hours off.  There are still 3M or so Texans without power at any given time, about 1.2M of those in Dallas.  Our power infrastructure isn’t designed for a really cold temps — so our turbines are all frozen and our NG plants have frozen valves.  We are operating with peak demand and about 30% less generation than normal.  We’ve had single digit temps for 3 straight days, which has never happened before in DFW (last time we were in single digits was 1989, for 1 day).  Up until this week, we had only hit single digits 8 times in recorded history... the last 3 days its been continuous single digits and record breaking cold each day.  My power just came back on and I wanted to touch base with the community.  We still have teammates in DFW who have been without power for a day or two, continuous.  The cell networks are affected too, so most people don’t have any data access during the outages, which makes it impossible to do work or check messages until its your turn to have power.  Right now, its all about keeping our families warm and trying to get to Wednesday, when things should turn around.  I appreciate the well wishes and prayers for our team and for all Texans.","","👍 (3),🙏 (3)"
"693505873775165530","aadil687","2021-02-17T01:06:35.5060000+08:00","Tough times😢 , wish you guys all the best! Stay safe!","","ismile (1)"
"382941357699760129","walker.reynolds","2021-02-17T01:13:14.9980000+08:00","","https://cdn.discordapp.com/attachments/740317577900851240/811284065394098238/unknown.png?ex=68df5b6a&is=68de09ea&hm=6130a3d51aecf19049ed768d7ac8ee71b5eda402bc7591be71308ae09c8a0832&",""
"745009912160976977","marioishikawa","2021-02-17T01:13:32.2780000+08:00","Hey Walker, stay safe and keep you family protected. Best wishes.","","ismile (1)"
"382941357699760129","walker.reynolds","2021-02-18T21:58:03.2940000+08:00","Quick update -- rolling blackouts are finally over.  We have had power for about 12 ours now, continuously.  2 members of our team are still dealing with outages but it is looking like we are on the road to normalcy.  I appreciate everyone's prayers.  I'm going to spend the day getting caught up... my apologies for being out of pocket.  Thank you again to everyone.","","🙏 (2),👍 (1)"
"456226577798135808","Deleted User","2021-02-19T00:01:13.9930000+08:00","Family first buddy. The rest can wait 👍","","🙏🏽 (2)"
"194289793905983489","zackscriven","2021-02-19T04:50:06.5220000+08:00","@everyone Register here for the **Digital Transformation Maturity Assessment Webinar**!

**What: **What is a Digital Transformation Maturity Assessment? How does it work?

**When:** Friday, February 26, 2021 at 10:00 AM CST 

**Where:** Live Stream... Register and attend live! *Video will be  unlisted afterwords*

https://www.intellic.online/registration-page","https://cdn.discordapp.com/attachments/740317577900851240/812063418496057395/DTMA_1.png?ex=68df8e3e&is=68de3cbe&hm=e62443fa9ca4d31e844a3830dff2c4cea553faa4d2e8ef6e421f0e95afb8a658&","👍 (3)"
"194289793905983489","zackscriven","2021-02-20T04:59:45.9350000+08:00","Something showed up in the mail today! 📦 Thank you @isharp  & @Joel Messina for shipping @Walker Reynolds and I BOTH an IIoT care package.  😁","https://cdn.discordapp.com/attachments/740317577900851240/812428232237776966/PXL_20210219_205340375.PORTRAIT2.jpg?ex=68dee7c0&is=68dd9640&hm=420146794a4a93267deec92a9e7e0c06a775b62590c1f5b9cd29e887d9725479&","💯 (5),👍 (8)"
"751903973123948655","paul_kopcak","2021-03-01T23:11:51.2640000+08:00","Zack, is that a lump of coal from Phoenix Contact or did you receive a new toy!?","",""
"194289793905983489","zackscriven","2021-03-02T02:25:54.0650000+08:00","Working on getting a video out for you guys. 👍 check this out in the meanwhile https://youtu.be/sbE0huVLb9Y","","💯 (1)"
"751903973123948655","paul_kopcak","2021-03-02T07:03:38.7240000+08:00","This PLCnext starter provides a lot of components to integrate Digital Factory Mastermind lessons into a live device.  Worth the investment for under $500.00 right now.  Having programming for Python, C++, ladder, and FBD together in one platform.  I can't forget the advantages of structured text with it is a Plus.  The key is figuring out what kind of project is best suited for it concerning legacy equipment and OEE edge computing for me.","","💯 (1),👍 (3)"
"751903973123948655","paul_kopcak","2021-03-02T09:07:49.3650000+08:00","Has anyone  thought of a direction to take with such a device?  I work for a billion dollar mom and pop shop that thinks they are world class.  Looking to take these lessons and implement them in an affordable manner that gives the right context for using production data against an oversized SAP system.  Any assistance would be greatly appreciated.","",""
"194289793905983489","zackscriven","2021-03-02T09:41:30.6220000+08:00","Paul let's chat in the War-Room on Friday.","",""
"751903973123948655","paul_kopcak","2021-03-02T09:44:53.4590000+08:00","Sounds good, let me know what time to schedule in my calendar.  Thanks Zack.","",""
"194289793905983489","zackscriven","2021-03-02T10:16:07.3690000+08:00","How is 7 AM PST?","",""
