AuthorID,Author,Date,Content,Attachments,Reactions
"352642563255042059","takko_the_boss","2020-08-05T22:14:09.9260000+08:00","This is also where I need to be.","",""
"737819173631033454","faction2.0","2020-08-05T22:16:20.4410000+08:00","Does anyone have any good resources on cybersecurity best practices when using the cloud for ics applications? Ideally something a little more detailed than just saying “defense in depth.”","",""
"352642563255042059","takko_the_boss","2020-08-05T22:17:02.2360000+08:00","That's a good question.","",""
"352642563255042059","takko_the_boss","2020-08-05T22:18:51.7210000+08:00","Which solution are you entertaining @David Hoysan ?","",""
"352642563255042059","takko_the_boss","2020-08-05T22:20:29.8010000+08:00","You're talking like some sort of ""SCADA In the Cloud"" or ""HMI in the Cloud"" or something like that?","",""
"352642563255042059","takko_the_boss","2020-08-05T22:30:58.0980000+08:00","@David Hoysan 

So I spent a year and half researching, presenting at conferences and giving talks on how to conduct ""IT/OT Convergence"" in a secure manner.

During one of my talks I cover this topic at more length. At 26:37 of this video, I explain some solutions you can employ to enact a secure transmission.

https://www.youtube.com/watch?v=bUo3fj3HyZk&t=2631s","","👍 (1)"
"737819173631033454","faction2.0","2020-08-05T22:33:44.6950000+08:00","@MikeCurnow.com thanks! I’ll check it out","",""
"352642563255042059","takko_the_boss","2020-08-05T22:34:52.6370000+08:00","Full disclosure, this is me talking about the usefulness of a specific product/solution. But I besides the vendor-ey stuff, I think it'll be of value to you.

It's also presented to a group of listeners that wasn't ICS-Specific. So I tend to talk-high level here.","",""
"740395452842639441","sreni3799","2020-08-06T00:15:54.2070000+08:00","I just thought of bringing the topic which is not relevant to above topic
Digitization means .. equipments should be in the factory followed by io marshalling panels plus Gateways and rest all to be on cloud..
Like what all executions done by plc to be done at cloud except critical computing rest all to be moved to Cloud..
Hope Tesla one factory have such implementation","",""
"740395452842639441","sreni3799","2020-08-06T00:16:14.2020000+08:00","Please share your comments","",""
"194289793905983489","zackscriven","2020-08-06T00:43:47.6070000+08:00","thank you for adding value here @MikeCurnow.com","",""
"741044056154439750","heshr_","2020-08-07T06:20:00.8770000+08:00","Hi @MikeCurnow.com  would the topology you are describing on your webinar be similar to how Tosibox would work through their hardware offers.?","",""
"382941357699760129","walker.reynolds","2020-08-07T06:22:39.0100000+08:00","> Hi @MikeCurnow.com  would the topology you are describing on your webinar be similar to how Tosibox would work through their hardware offers.?
@HeshR  could you link the webinar here?","",""
