AuthorID,Author,Date,Content,Attachments,Reactions
"867075936054149191","rickbullotta","2023-04-11T01:56:04.8110000+08:00","General question for control types: has anyone done much with IEC 61499?  It's basically a distributed version of IEC 61131.  I'm looking at it in the context of robotics to industrial automation integration.

https://www.se.com/ww/en/download/document/998-21041914/","",""
"890244048739270656","brianpribe","2023-04-11T02:00:22.7250000+08:00","I think I remember watching a video by Schneider about the concept. Haven’t delved into cuz there wasn’t much else out there.","",""
"777582396237283338","richard44160","2023-04-11T03:26:27.4340000+08:00","Actually doing PoC projects to test the Schneider solution as member of https://universalautomation.org/ !","","👍🏼 (1)"
"833941249362493450","sammysevens777","2023-04-11T03:55:11.3380000+08:00","Spent a lot of time on 61131...first i hear of 61499....what do you think Rick? Outside of inter-vendor operability (which as we know is a battle all in of itself) - what about 61499 can't be done without proper integration today? A FB can trigger a process that can run other tasks in parallel.....the doc. reads like a wish list, but more vapor than anything :S","",""
"833941249362493450","sammysevens777","2023-04-11T04:51:43.2360000+08:00","I read through some of the projects/papers etc. linked on IEC61499....academics really need to stop stuffing their pipes.....the crap these guys talk about is nauseating.....Take the attached for example. Outside of the 1 node about IEC61499...what has changed here? I tire of these new paradigm shifts that (IMO) only complicate our objectives to drive industry forward.....vendor lock in is an issue, but it's solvable with a middle man / broker. Getting the industry to adopt standards to ""containerize"" their processes so they can be read in by other manufacturers agnostically.....sounds like a lot of liability for vendors to take.","https://cdn.discordapp.com/attachments/1095026951804170291/1095088747571322880/image.png?ex=68dee5df&is=68dd945f&hm=8edaabd3d92de653ac8005c2c7a1ce14def8fc842763655d51fec07e1ac9ae47&",""
"833941249362493450","sammysevens777","2023-04-11T04:52:15.0950000+08:00","How is Universalautomation different @Richard44 ? As a non-profit, I'm sure you won't be making much money, so is .....the main hold-up to all of this vendor lock in is business ($$$$$$).....and I see UAO's one ""quote"" is from someoen that went to the same institution (Lulea) in Sweden, where IEC61499 academics were working....bit incestuous of a concept at this point...","",""
"833941249362493450","sammysevens777","2023-04-11T04:55:33.4810000+08:00","I think it's a matter of protocols + modular controls automation design. We did this with robotic controls many years ago.....instead of having to learn the Cognex camera, robot programming, sensor I/O, conveyor start/stop....just learn our in-house design UI and master all components of the system....well problem was none of our abstractions was anywhere near as good as the real thing....","",""
"867075936054149191","rickbullotta","2023-04-11T04:55:52.7300000+08:00","The main thing is that those events and tasks can be across multiple controllers.","",""
"867075936054149191","rickbullotta","2023-04-11T04:56:25.5090000+08:00","Also, a broker does introduce a single point of failure...","",""
"833941249362493450","sammysevens777","2023-04-11T04:57:01.1910000+08:00","Yeah I remmeber @Mark O'Donovan made mention of how devices will be self sufficient, and dynamic etc....but honestly Rick...I'm not buying distributed control for automation.....unless the hardware is the same and provides all the I/O needed + plethora of other thigns....it's hard to dsitrbitue.","",""
"833941249362493450","sammysevens777","2023-04-11T04:57:44.2220000+08:00","Distributed computing from Software world works  differently....every computer can parse documents and split them up (e.g. map reduce), but how do you split a controls stack where things are discrete and need to happen synchronously? All the dependencies?","",""
"867075936054149191","rickbullotta","2023-04-11T05:25:22.6690000+08:00","Well, distributed control systems (DCSs) handle some of the most mission critical processes on the planet?","",""
"833941249362493450","sammysevens777","2023-04-11T06:04:35.9290000+08:00","My bad.....should clarify, IEC61149 is about distributed software control for PLCs right? DCS are basically connected PLCs, but that still each handle their own unique set of discrete tasks...is that a fair statement?","",""
"794542235676180500","akoscs","2023-04-12T04:23:34.2710000+08:00","I was just researching exactly this topic. Any Open Source High Availability brokers out there?","",""
"777582396237283338","richard44160","2023-04-12T04:46:41.0140000+08:00","@SamSon The way i see it, is also attached to OPAF(Open Process Automation Forum) and the O-PAS(Open Automation Standard). Distributed control is embedded in IEC61499 concept. You don't need to even think about it. With IEC61131, you will need to sync and define communication between controllers. And also, this distribution could be modified on the fly without disruption in the control execution. Actual runtime engine are still basic but they are now taking another step. Customers by Universal Automation organisation and OPAF are leading the evolution of those engine runtimes to become even more flexible, more reliable, including high availability capability. One of my concerns though is that they rely a little bit too much on OPC-UA as communication backbone for interoperability with orchestration systems and SCADA.","","👍🏼 (1),🙏🏼 (1)"
"917925131261718558","jpmoniz","2023-04-12T05:59:40.0130000+08:00","I sat in on a eclipse presentation on 4diac. Idea seems sound but reality is there are lots of hurdles to overcome.  Mainly vendor adoption. No different than codesys claiming they can be everything to everyone. I’ve pretty much give up on these utopian type of ideas. From my view when we are building automation. You need what you need and are not waiting for vendors to adopt a standard or platform. Seems like most of the traction is more process industry related with not much uptake with discrete industry players.","","👍🏼 (2),🙏🏼 (1)"
"833941249362493450","sammysevens777","2023-04-12T09:10:31.0170000+08:00","I always applaud push for open standards, interoperability etc. This is wonderful, and needs to happen at a certain level. I understand sync comm /define comm. between controllers.....but from IO link, to Fieldbus, to REST....there are so many means to exchange data between controllers....is this a bottleneck?

61131 recently adopted section 10 on PLCOpen with a similar objective (albeit different approach technically for sure than 61499).....what are pros and cons (if they are competing for interoperability). 

And if i understand correctly, would the vendors of the control systems need to develop specialized FB to be 61499 compliant? 

This is a brilliant initiative, there is a bjg problem of standardizing entire systems based around a single vendors platform. It really changes everything...lock in sucks (although we used beckhoff - and they're awesome)😆","",""
"777582396237283338","richard44160","2023-04-12T14:50:39.2200000+08:00","Agree @SamSon ! But it's time to reverse power ! Vendors needs to embrace standards made by customers compare to customers locked-in to vendors standards ! It's the objective of OPAF, PLCopen, Namur, Universal Automation organisations. We already do it for hardware standards ! And PLCopen on IEC61131 is also a good option. These initiatives should be aligned. You can use PLCopen for some machines and IEC61499 for others and all could be managed by a common orchestration toolset (OPAS based). IEC61499 UAO runtime engine is not linked to a vendor. Only, today on the market, there is really only one development software. But the offer will grow pushed by customer demand.","","💯 (1)"
"833941249362493450","sammysevens777","2023-04-13T07:06:17.8550000+08:00","but do we do it for hardware standards? I am only being devils adovcate here....I can not use an IO card from one vendor, with another (I believe....). Maybe the signals can be interfaced with, but the vendor's hardware is usually locked in as well isn't it?","",""
"474394678750609408","douga.7429","2023-04-19T00:29:26.5780000+08:00","I have been kicking around this idea of aggerating data on edge devices to something like a one minute granularity.  Wouldn't it be possible to use something like OpenPLC and make a failover MQTT server, considering that the edge devices would have some of the transactional concerns mitigated?","",""
"867075936054149191","rickbullotta","2023-04-19T01:09:25.5340000+08:00","One minute is an eternity if you're using this data for your operational HMI","",""
"474394678750609408","douga.7429","2023-04-19T02:23:08.4770000+08:00","No, this is for MES and possibly SCADA. It is a store and forward concept to reduce the latency/scalability issues with MES.  The idea is that the OT tools and Realtime processing stay on the OT side where solutions can be diagnosed.  The issue I am trying to solve is that when MES systems start to have scaling issues there is often no good way to see what when wrong when.  If we have a register 1440 logged daily values we should be able to find the minute of the day on the work center where counts or duration where missing or late.","",""
"917925131261718558","jpmoniz","2023-04-19T08:52:22.1700000+08:00","Still have to deal with scalability issues though. We use MES too much as a generic term sometimes. For  OEE and production  tracking not so much an issue, but when genealogy and things like serialization are implemented at scale then scalability and transactional issues need to perform. Sometimes in the seconds range. While being bound to OT. Depending on the application OT and MES are locked at the hip.","",""
"474394678750609408","douga.7429","2023-04-19T20:08:17.8960000+08:00","Indeed, scalability is a key concern in defining Industry 4.0 MES systems, particularly when dealing with genealogy, serialization, and the tight relationship between OT and MES. To address this, my proposed concept of a one-minute granularity for edge PLC devices aims to balance the need for real-time data from devices like PLCs with the requirements of MES, ERP, and potentially SCADA systems.

With this one-minute granularity, MES ""real-time"" functions more like a frame rate, offering aggregated data for rapidly changing events, such as start and end states, state counts, runtime vs. downtime duration, and total part counts. When discrepancies arise between daily part counts and work order allocations, OT tools can function like high-speed cameras, examining these events in detail. This approach allows for improved scalability and performance, even for applications that demand response times in the seconds range.

Debouncing is an important concept too when discussing real-time controllers in Industry 4.0 MES systems. Implementing a one-minute granularity for edge PLC devices serves as a debounce mechanism, balancing real-time data requirements with system performance. This approach filters out rapid fluctuations, such as operators starting and stopping production orders, that hold little value for MES analysis.","",""
"867075936054149191","rickbullotta","2023-04-19T21:11:18.1580000+08:00","Actually, some of the largest CPG companies discovered that it's the microstops that were some of the primary issues leading to poor performance.  Losing granulariity is a double edged sword.","",""
"474394678750609408","douga.7429","2023-04-19T21:53:39.9570000+08:00","Thank you this is kind of feedback I am looking for to challenge my thinking on this.  The idea wouldn't be to loss site of the micro stops is would be to capture them at the edge Realtime device and and use a statistical approach to analyze them in MES.  Then extra measures would  be taken at the edge to capture higher frequency data that would be changing too quickly at the edge.

The issue that I have seen with MES systems in general is that they are often not seen as reliable enough on for item counting for final FG item counts against WOs.  Making PCs accountable for Realtime data better suited for PLCs or other Realtime devices is the other reason I am considering this.  I am sure your are well acquainted with these issues.  With overload systems latency/scalability issues worsen, and virtualized system can be stunned and worsen these issues too.

The minute granularity is a somewhat arbitrary too, in my case I was thinking this was a good fit considering hardware capabilities and MQTT being good for about a 500ms SLA.  My experience with CPG bottling lines is the fast ones are about 17 bottles a second.","",""
"867075936054149191","rickbullotta","2023-04-19T21:59:36.0640000+08:00","Let's not forget that humans are still the sensors for a lot of this data...downtime reasons, scrap, etc...","",""
"474394678750609408","douga.7429","2023-04-19T22:06:54.9210000+08:00","Yes, I am thinking that these measures to count like this would be reserved for things like a higher speed filler.  Like case packers and palletizers move slower and may not have these advanced needs.  Or be seen as secondary work cells where item counts are not as critical in assessing line OEE.

Here is a condensed statement for clarity.  

""Incorporating real-time devices for data collection and using a statistical approach in MES for analysis can enhance system performance and reliability, particularly in fast-paced environments like CPG bottling lines. By choosing the appropriate granularity, considering hardware capabilities and MQTT's 500ms SLA, and addressing latency and scalability issues, we can improve the overall effectiveness of MES systems in capturing accurate final FG item counts against WOs.""","",""
"474394678750609408","douga.7429","2023-04-19T22:19:39.3940000+08:00","The design requirements I am drafting would maintain the automated counting in a immutable event-sourced history.  This would be something like MQTT to a schemeless store  using Kafka. Then an exception reporting application data base would allow for amending corrections to the event sourced ledger so there would be a full audit history of changes.

My other hope in doing this is that the universal concerns that are not yet complicated be assessing if activities fir to a plan or not could be made in to a generic implementation on an IoT device. This would allow for the ideals associated with IoT devices, like buying a IoT home device, you drop it in and it works and you have data analytics too. 

Did you watch Walker's video yesterday, my take away was that they both agreed ideal systems would establish this immutable log and allow the complexities to be established there after.  I believe my ideas are in line with this.","",""
"917925131261718558","jpmoniz","2023-04-20T01:35:43.1720000+08:00","Logging the underlying raw data has a lot of practicality to it. If it’s immutable or not is a design choice for the specific implementation. There is benefit to be able to fix data after the fact.","",""
"794542235676180500","akoscs","2023-04-20T02:21:12.0810000+08:00","Can your version of a UNS be ported to run on humans?","","😂 (1)"
"474394678750609408","douga.7429","2023-04-20T03:40:07.6330000+08:00","Yes, I agree that correction need to be made.  I think a system that doesn't allow for corrections is incomplete.  Making data imputable is done by posting reversing entries against a ledger.   This is an old idea that is now a big talking point with system architects.  From a data maturity model it is an important step. Knowing what needed to be corrected is important, it can tell us a lot about what needs to be improved or other points of interest about data modification.","",""
"917925131261718558","jpmoniz","2023-04-20T08:07:30.7930000+08:00","Agree but also a question of how much complexity you build into the system per the target audience. Most companies are not going to have people solely focused on cleaning up stuff in the past. So to me I ask how much time do you invest in building a system that nobody ends up using. Not everyone is a Fortune 500.","",""
"474394678750609408","douga.7429","2023-04-20T20:10:33.5300000+08:00","True, my hope is that we can make a reference architecture using opensource products.  With the advent of LLMs and code generation we should be able to move at a fast pace.  My prediction regarding LLMs is that all companies will embrace building over buying not only because of the speed.  The fact that an LLMs can be an expert of that systems assures that you can always have the talent without having to struggle to reattain an expert.","",""
"917925131261718558","jpmoniz","2023-04-20T20:16:21.3220000+08:00","Would add LLM backed by the requisite taxonomies and ontologies is even better just leaving it to LLMs solely is a design problem I see. But agree with your line of thinking.","",""
"867075936054149191","rickbullotta","2023-04-20T20:41:59.2290000+08:00","The current version of the WetWare OS does not support TLS 1.2 yet.","",""
"603301251177775104","asthomas","2023-04-20T20:49:00.6930000+08:00","... and most of our implementations demonstrate unpredictable latencies and frequent data corruption.  I'd like to have a word with the vendor.","","🤣 (1)"
"898217314741280828","hobbes1069","2023-04-21T11:37:14.4680000+08:00","https://www.youtube.com/watch?v=6KtlmZKx85Q","",""
"833941249362493450","sammysevens777","2023-04-26T13:24:41.6820000+08:00","The best IDE for controls development (IMO) - just got LLM integration
https://www.beckhoff.com/en-en/products/automation/twincat-projects-with-ai-supported-engineering/","",""
"833941249362493450","sammysevens777","2023-05-01T05:03:14.9120000+08:00","Any suggestions for a Linux based PLC? I see Opto is linux based, beckhoff has TwinBDS, Wago has a native linux PLC....cost effective will likely win here (simple IoT application - in an controlled environment)","",""
"794542235676180500","akoscs","2023-05-01T14:00:24.7850000+08:00","Bosch ctrlX also linux based","","👍 (2)"
"477355192375967747","kiwimalice","2023-05-01T14:54:25.1900000+08:00","PLCNext","","👍 (1)"
"794542235676180500","akoscs","2023-05-01T15:00:24.0450000+08:00","There is a codesys runtime for linux (rasPi also) but I do not know if that is meant for production or just for testing","","👍 (1)"
