AuthorID,Author,Date,Content,Attachments,Reactions
"740395452842639441","sreni3799","2020-08-05T12:45:12.4500000+08:00","Shall we have a discussion on the selection of edge gateways .like blueprint gateway?","","👍 (1)"
"194289793905983489","zackscriven","2020-08-05T21:38:14.5260000+08:00","@sreni yes!!!","",""
"352642563255042059","takko_the_boss","2020-08-05T22:07:17.6690000+08:00","This is where I need to be.","",""
"352642563255042059","takko_the_boss","2020-08-05T22:11:59.9750000+08:00","@sreni does that have anything to do with ELIOT?

https://wiki.akraino.org/display/AK/ELIOT%3A+Edge+Lightweight+and+IoT+Blueprint+Family","",""
"740395452842639441","sreni3799","2020-08-05T22:28:03.9610000+08:00","Good to see this link..

Whether it supports various industrial protocols?
Happy to see these gateways supports IoT platform readiness
And also need to check about its processir specs, storage - incase of storing the process data while network outage","",""
"352642563255042059","takko_the_boss","2020-08-05T22:32:35.2080000+08:00","That last sentence gives me good ideas @sreni lol.","",""
"382941357699760129","walker.reynolds","2020-08-05T22:33:20.2470000+08:00","This is why DNP3 and MQTT Sparkplug B are the best edge protocols IMO -- must have Store and Forward capabilities","",""
"352642563255042059","takko_the_boss","2020-08-05T22:35:38.0110000+08:00","So @Walker Reynolds store and forward are inherent to these protocols you're saying? That's pretty sick.","",""
"740395452842639441","sreni3799","2020-08-06T00:20:22.7030000+08:00","@Mike Curnow.. @ Walker..Do we have suggestions gor the gateway apart from the above specs","",""
"352642563255042059","takko_the_boss","2020-08-06T00:27:41.2690000+08:00","My concentration and area of expertise is specifically in the ""*Cyberphysical System Integration Transmission Security*"" field, so I will prob have some different (though complimentary) suggestions compared to the operational genius you'll get from the man himself.","",""
"382941357699760129","walker.reynolds","2020-08-06T00:29:54.4550000+08:00","> @Mike Curnow.. @ Walker..Do we have suggestions gor the gateway apart from the above specs
@sreni There are many options and the solution generally needs to fit the problem -- however, the most common gateway we are using is an Advantech Uno running Ignition Edge and our 4.0 Solutions MQTT transmitter.","","👍 (2)"
"352642563255042059","takko_the_boss","2020-08-06T00:30:29.0140000+08:00","Definitely not a one-sized-fits-all solution.","","👍 (1)"
"740395452842639441","sreni3799","2020-08-06T00:30:39.6060000+08:00","Good to know and thanks gor that..
We prefer Both Advantech and ewon..","",""
"740617923995107471","demetri3524","2020-08-06T02:28:49.0150000+08:00","@Walker Reynolds, so if we are running an edge driven OEM product (operated by PLC), would you put a CPU (advantech uno, OnLogics) at the edge with each system?  Assuming that this system has mission critical data that needs to be buffered should you have a network issue between an operator CPU that has Canary Historian.  Our products typically live in a pretty segmented world, meaning one system is tied to one test cell and one operator is typically testing a piece of equipment in that specific test cell.  I’m open for other topology that may reduce licensing costs but still provide a robust system that doesn’t drop data from the edge!","",""
"382941357699760129","walker.reynolds","2020-08-06T02:31:27.2120000+08:00","> @Walker Reynolds, so if we are running an edge driven OEM product (operated by PLC), would you put a CPU (advantech uno, OnLogics) at the edge with each system?  Assuming that this system has mission critical data that needs to be buffered should you have a network issue between an operator CPU that has Canary Historian.  Our products typically live in a pretty segmented world, meaning one system is tied to one test cell and one operator is typically testing a piece of equipment in that specific test cell.  I’m open for other topology that may reduce licensing costs but still provide a robust system that doesn’t drop data from the edge!
@demetri3524 yes sir, I would -- unless the PLC supports store and forward over MQTT or DNP3 out of the box (think Opto 22 or Wago, for example).  The final architecture would depend on several variables but for any mission critical data, buffering and S&F is required in the architecture.  The beauty of edge driven and report by exception with S&F is that we  have a lot of options available.","","👍 (1)"
"740617923995107471","demetri3524","2020-08-06T02:41:51.1590000+08:00","Can your 4.0 Solutions MQTT transmitter take a non-sparkplug B compliant device, but it does support MQTT, be setup to transmit a Sparkplug B payload? 🤞🏻","","👍 (2)"
"382941357699760129","walker.reynolds","2020-08-06T02:43:00.5810000+08:00","@demetri3524  Yes, it can -- no different than taking an OPC namespace and converting to Sparkplug","",""
"685857538096234546","plcmercenary","2020-08-07T02:15:28.2730000+08:00","has anyone looked at or implemented mqtt with a protocol like homie vs using sparkplug and aliased data?? I am finding that handling sparkplug works but having the metadata in the topic is easier than having to parse and cache a birth.","","👍 (2)"
"230441548653789184","r.pop","2020-08-07T21:34:36.4050000+08:00","Someone should invite Arlen to the server...he can answer all things MQTT","",""
"382941357699760129","walker.reynolds","2020-08-07T22:20:55.6710000+08:00","> Someone should invite Arlen to the server...he can answer all things MQTT
@RemusPop he is already a member","",""
"740617923995107471","demetri3524","2020-08-09T10:29:04.1360000+08:00","@Benson Hougland, is Opto launching any new I/O cards for the Epic before years end?","",""
"685857538096234546","plcmercenary","2020-08-14T02:26:55.6800000+08:00","> @Benson Hougland, is Opto launching any new I/O cards for the Epic before years end?
@demetri3524 what new IO cards? the only thing you need is a RIO. 1 RIO does all the things. What does it not do? good question.. Freeking wizzards are at work at opto","","opto22 (1)"
"194289793905983489","zackscriven","2020-08-14T12:34:32.6650000+08:00","Edge is the most interesting part of the business.","",""
"194289793905983489","zackscriven","2020-08-14T12:34:59.0890000+08:00","Well so is the Unified Namespace. In it's own right. But Edge is where the rubber meets the road for the business.","","👍 (3)"
"382941357699760129","walker.reynolds","2020-08-14T22:17:42.0650000+08:00","Question of the day: Have you worked with edge gateways that turn Automation data into IIoT data?  If so, which is your preferred gateway?  Have you worked with PLCs or controllers that support IIoT protocols like DNP3 or MQTT?  If so, which is your preferred hardware?","","🤔 (2)"
"382941357699760129","walker.reynolds","2020-08-14T22:17:52.3480000+08:00","Pinned a message.","",""
"194289793905983489","zackscriven","2020-08-14T22:25:20.9960000+08:00","Maple Systems CMT-SVR","",""
"382941357699760129","walker.reynolds","2020-08-14T22:25:52.7940000+08:00","I'll hold off on answering until the end of the day -- to see what everyone else says.","",""
"688675337785311245",".muhammadatif","2020-08-14T22:30:05.6980000+08:00","> Question of the day: Have you worked with edge gateways that turn Automation data into IIoT data?  If so, which is your preferred gateway?  Have you worked with PLCs or controllers that support IIoT protocols like DNP3 or MQTT?  If so, which is your preferred hardware?
@Walker Reynolds  Wientek IIoT CMT G01","","👍 (1)"
"740940757833089164","boyang6559","2020-08-14T22:33:18.4770000+08:00","Siemens simatic iot2040,  I am waiting to unbox iot2050,  I have enough 'good' time with intel mobile chips","","👍 (2)"
"194289793905983489","zackscriven","2020-08-14T23:24:37.5970000+08:00","Oh I have one of those! IoT 2020 though","","👍 (1)"
"230441548653789184","r.pop","2020-08-15T01:07:42.2370000+08:00","> Question of the day: Have you worked with edge gateways that turn Automation data into IIoT data?  If so, which is your preferred gateway?  Have you worked with PLCs or controllers that support IIoT protocols like DNP3 or MQTT?  If so, which is your preferred hardware?
@Walker Reynolds  I heard a rumor that Ford is pushing Rockwell to embed MQTT in their new PLC’s, or Ford will take them off the approved components list. Outside of that, worked quite a bit with edge technology, from Smart switches, to advantech, to small mom&pop variety devices. Had a lot of success with DeviceWISE as well when not dealing with your run of the mill PLC.","",""
"711109466761986078","dostiharise","2020-08-15T01:14:06.1880000+08:00","> Question of the day: Have you worked with edge gateways that turn Automation data into IIoT data?  If so, which is your preferred gateway?  Have you worked with PLCs or controllers that support IIoT protocols like DNP3 or MQTT?  If so, which is your preferred hardware?
@Walker Reynolds 

We have started with Linux based  ARM single board computers like Raspberry Pi, Balena Fin, and a few others.

Also experimented with microcontroller based alternatives like Audrino, Particle Mesh Networking boards. 

Our primary interfacing was HTTP + OPC-UA, with Saia Burgers PLC line. 

Once our product recieves traction we will implement Machine protocols.","","👍 (2)"
"711109466761986078","dostiharise","2020-08-15T01:15:34.3520000+08:00","We are able to achieve our goals at quite a cheap price point, using commodity hardware.","",""
"711109466761986078","dostiharise","2020-08-15T01:18:03.8110000+08:00","We use AWS GreenGrass + MQTT. + 

And invested quite a bit of time perfecting Reverse SSH tunnelling for Maintenance with Zero Network ports open policy to avoid any attack vectors.","",""
"711109466761986078","dostiharise","2020-08-15T01:18:45.4080000+08:00","We are exploring Kubernetes on Edge for our future models.","",""
"711109466761986078","dostiharise","2020-08-15T01:21:42.8760000+08:00","With have experimented with Computer Vision for Human Personel, Print detection on the machines, but is currently bandwidth heavy. 

But plan on deploying those models on Edge in future.","",""
"711109466761986078","dostiharise","2020-08-15T01:25:15.9300000+08:00","A little unconventional with edge hardware that way. 🙂","",""
"741008768078315600","bensonhougland","2020-08-15T07:01:08.9920000+08:00","> @demetri3524 what new IO cards? the only thing you need is a RIO. 1 RIO does all the things. What does it not do? good question.. Freeking wizzards are at work at opto

@plcmercenary Thank you for that!
@demetri3524  We're excited about 2 upcoming I/O modules for the EPIC (note this is ***preliminary*** information, subject to change, and this I4.0 Community Discord is hearing it first):
First, a power monitoring module potentially capable of ​CAT III measurement of power on up to 3-phases for wye or delta configurations. Should be able to measure phase to phase voltage up to 600 VAC. Current measurement is expected to be performed using either 0.333V or 5A CTs. Cool, right?
Second, an EPIC module that is a chassis-mounted version of our first RIO I/O module; in other words, a 10-channel software configurable groov  EPIC I/O module (or card as you put it) that is essentially the same I/O footprint as RIO (as you know, RIO is a standalone Ethernet I/O module with Node-RED and MQTT Sparkplug B). So, imagine that flexibility on a single chassis.
*Note these are not for sale, and a release date is not yet available. *And hopefully I haven't broken any community rules by responding to the OP's question! 😁","","💯 (4)"
"382941357699760129","walker.reynolds","2020-08-16T03:27:38.6010000+08:00","No worries -- @Benson Hougland the rule was changed to no 'unsolicited active selling...'","",""
"382941357699760129","walker.reynolds","2020-08-16T03:29:19.1570000+08:00","We appreciate you answering the questions from the community and the opportunity to hear it first!  This is exciting news -- very excited about the chassis mounted Epic module!","","👍 (2)"
"194289793905983489","zackscriven","2020-08-16T06:54:17.9120000+08:00","> No worries -- @Benson Hougland the rule was changed to no 'unsolicited active selling...'
@Walker Reynolds Love this!!! Organically people connecting solutions to problems is how it should be. A true community supporting one another.","",""
"741114711550066709","john.harrington","2020-08-18T05:37:17.1570000+08:00","> has anyone looked at or implemented mqtt with a protocol like homie vs using sparkplug and aliased data?? I am finding that handling sparkplug works but having the metadata in the topic is easier than having to parse and cache a birth.
@plcmercenary HighByte is working on supporting Sparkplug B, expect in a couple of months.  Today, we put the metadata in the JSON payload.  This seemed to be the approach of most of the application vendors.  homie looks interesting.  What do you see as the advantages for putting the metadata in the topic instead of the payload or birth certificate?","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-18T21:19:24.8130000+08:00","Meta-data works best as a sub-topic of a parent vs embedding in an existing topic.  It fits the UNS perfectly, what are the upsides of putting the metadata in the topic?","","👍 (2)"
"382941357699760129","walker.reynolds","2020-09-02T21:40:26.5190000+08:00","Question of the day: When developing edge objects (UDTS, templates, AOIs etc), what parameters or elements do you include for non-automation functionality?  Do you consider how other nodes in the ecosystem will consume data from the edge?","","👍 (1)"
"382941357699760129","walker.reynolds","2020-09-02T21:40:31.3220000+08:00","Pinned a message.","",""
"194289793905983489","zackscriven","2020-09-03T08:33:31.8870000+08:00","> Question of the day: When developing edge objects (UDTS, templates, AOIs etc), what parameters or elements do you include for non-automation functionality?  Do you consider how other nodes in the ecosystem will consume data from the edge?
@Walker Reynolds Machine state as an integer is a must (for OEE) but what would also be nice to have coming from the edge is a string description of that state.","","👍 (5)"
"194289793905983489","zackscriven","2020-09-03T08:34:31.5980000+08:00","`{""Machine State"": 1,
""Machine State Description"":""Running""}
`","",""
"487658368492896257","benveenema","2020-09-03T22:58:28.1290000+08:00","Looking for PLC (or other controller) recommendations. We are building out a new manufacturing line and part of my duty in that is to bring in the current state of the art in industrial controls. My background is in C++ on baremetal/RTOS micros but I have worked on a few PLC Ladder based projects as well. I've been looking into PLCNext, Groov EPIC, UniStream, Turck and other brands but it's hard to tell how well something is going to work until you've actually tried to build something with it.  Any input is appreciated. Thanks!","","🙌 (3)"
"382941357699760129","walker.reynolds","2020-09-03T23:12:30.4010000+08:00","> Looking for PLC (or other controller) recommendations. We are building out a new manufacturing line and part of my duty in that is to bring in the current state of the art in industrial controls. My background is in C++ on baremetal/RTOS micros but I have worked on a few PLC Ladder based projects as well. I've been looking into PLCNext, Groov EPIC, UniStream, Turck and other brands but it's hard to tell how well something is going to work until you've actually tried to build something with it.  Any input is appreciated. Thanks!
@Ben Veenema Opto22 Groov Epic is really hard to beat for IIoT.  Depending on the complexity of your needs, EZAutomation EZRack is a great low cost option that has native MQTT integration but lacks the bells and whistles (which is why its low cost), Siemens also supports MQTT out of the box now (we are using a lot of S7 1200 with their MQTT blocks).  My personal opinion, Opto22 is the leader in I4.0 process control and its not even close, really.  @Benson Hougland can provide more info you need it but damn... they got the goods.","","😋 (4)"
"750823997133815908","huck.bales5557","2020-09-04T01:56:46.6100000+08:00","> 
> `{""Machine State"": 1,
> ""Machine State Description"":""Running""}
> `
> @zackscriven my thought is that the edge translates the control layer coded values, but doesn't necessarily need to send that raw data.
> {""Machine State"":""Running""}
> 
> I also add context such as UoM. Below is an example from a node-red project I'm working on.
> (still trying to figure out the mechanics of discord)","",""
"750823997133815908","huck.bales5557","2020-09-04T02:11:33.4450000+08:00","example adding context to modbus data coming from a single-loop controller.","https://cdn.discordapp.com/attachments/740336217580765245/751142351694725160/Screen_Shot_2020-09-03_at_11.10.18.png?ex=68df6914&is=68de1794&hm=b710962772c38f53cbe7931f9260e3bc6ca40aaaf734ac3bf82b22f4a477bfd1&","👍 (4)"
"706499217664901141","unmvrked","2020-09-05T06:49:42.0780000+08:00","@Walker Reynolds  I second the opto 22. I was on the fence about the  ezrack  & went with an AD BRX do more plc for my own personal iiot test bench. It has been pretty solid so far, however I probably should have gone with the EZ because the brx doesn't support sparkplug","","👍 (2)"
"745355591513407602","mdowdell","2020-09-06T00:57:10.6940000+08:00","Adding to edge discussion... Opto 22´s products look, and are, fantastic.

I can also vouch for Red Lion´s products. I have used their HMI (Graphite and CR series) and gateways (DA series and FlexEdge) in production environments.  What I love about Red Lion products are: free software, multiple protocol conversion, OPC UA capabilities, web server and viewer, good tech support, and MQTT connectors - including Sparkplug B.  I should also, note that defining UDTs or data structure is easy within the Crimson software. Also, their cellular offering makes it very easy to demo for customer.

For example, grab a DA o Flexedge, add cellular, then install Ignition with MQTT Distributor & Engine  (with 2 hour demo) in a Vultr Linux-based server, mock up some responsive displays in Perspective, and you have a relatively inexpensive (< $1200USD) way of demoing solutions to customers. Cellular is a great way to do an end-run on IT and build the business case for our OT friends in maintenance and operations. 

I do not understand why I do not hear/see more about their products in the I4.0 space.

Maybe we need to invite Mike Granby (former Red Lion President and Crimson development) to this forum.

Never mind... just did!","","👍 (1)"
"194289793905983489","zackscriven","2020-09-06T01:26:09.9050000+08:00","thank you @mdowdell !!!","",""
"382941357699760129","walker.reynolds","2020-09-06T03:30:22.1550000+08:00","Agree with @mdowdell on Red Lion's products -- I'm a big fan of the RAM Industrial Switches and a big fan of the Graphite HMIs which support both MQTT and DNP3.  I don't mention them a lot primarily because I use the CMT-SVR from Maple Systems in their place... but they do have a great lineup.","","👍 (1)"
