AuthorID,Author,Date,Content,Attachments,Reactions
"194289793905983489","zackscriven","2020-08-06T00:44:15.6800000+08:00","What ERP does your company use? I'll start: QuickBooks. 😅","","👏 (1)"
"740532859466547212","thelink6899","2020-08-06T01:14:27.1610000+08:00","Unfortunately I’ve had no exposure to this yet 😅

I work for a rather small S.I, so we currently only cover the first three layers of the automation pyramid","","👍 (2)"
"740578056821014709","jaffar9703","2020-08-06T16:42:10.7270000+08:00","We have a bespoke system called BitzList, it's one of our partner's system. We are using it in our research centre with a view of helping them develop it further with our feedback. The system will be provided to SME's free of charge.","",""
"507642578989219840","patrickmccarthy7743","2020-08-07T13:37:37.2260000+08:00","Hi Jaffar,  I have erp knowledge having sold and implemented them for a few years... our company are currently reviewing solutions. Would it be possible to get an overview of BitzList?","",""
"507642578989219840","patrickmccarthy7743","2020-08-07T13:38:59.6570000+08:00","Priority software is what I used previously which is quite extensive and flexible Zack","",""
"456226577798135808","Deleted User","2020-08-09T14:54:37.3140000+08:00","We are upgrading our NAVISION system to Microsoft Dynamics 365 for our own business.","",""
"456226577798135808","Deleted User","2020-08-09T14:55:43.3160000+08:00","> We have a bespoke system called BitzList, it's one of our partner's system. We are using it in our research centre with a view of helping them develop it further with our feedback. The system will be provided to SME's free of charge.
@Jaffar  what size of SME are you looking at to offer this for ?","",""
"740578056821014709","jaffar9703","2020-08-10T16:14:14.1410000+08:00","@patrickmccarthy Hi Patrick, yes I sure can. Just drop me your contact details and we can arrange a call.","",""
"740578056821014709","jaffar9703","2020-08-10T16:15:45.8820000+08:00","@Deleted User a business of up to 250 employees.","",""
"507642578989219840","patrickmccarthy7743","2020-08-10T17:09:49.9120000+08:00","Pmccarthy@gis.ie  Thanks Jaffar 😀","","👍 (1)"
"407722519903207437","milori2006","2020-08-11T10:19:29.7640000+08:00","> What ERP does your company use? I'll start: QuickBooks. 😅
@zackscriven From from MOM/MES interfacing perspectives - MS Dynamics, SAP.","","🙌 (1)"
