AuthorID,Author,Date,Content,Attachments,Reactions
"407722519903207437","milori2006","2020-08-11T12:12:03.3970000+08:00","Would one share examples about known IIoT platform which goes beyond data analytics hub functioning?","",""
"741044056154439750","heshr_","2020-08-12T05:27:28.2460000+08:00","This link gives a very high level view of the various iiot platforms.  https://www.google.com/amp/s/enterpriseiotinsights.com/20190731/channels/fundamentals/top-industrial-iot-platforms/amp","","👍 (1)"
"456226577798135808","Deleted User","2020-08-12T20:31:59.6240000+08:00","Ive been doing some research on the platforms and found a few different market reports quite useful as a starting point: IDC Market Report, Forrester IoT Platform Overview, Gartner Magic quadrant. If you google them you can usually get a free download via one of the featured companies 🙂","",""
"382941357699760129","walker.reynolds","2020-08-12T20:32:58.1360000+08:00","Sorba IoT, Litmus, Ignition, FactoryStudio, Win-CC OA etc etc","","👍 (2)"
"456226577798135808","Deleted User","2020-08-12T20:34:35.4770000+08:00","heres the Forrester one for example. Im no expert though, would be curious to know what people with more experience think of these reports","https://cdn.discordapp.com/attachments/742458745031884921/743085023594545223/The-Forrester-Wave-Industrial-IoT-Software-Platforms-Q4-2019_1.pdf?ex=68df1a1b&is=68ddc89b&hm=9348fe797a1d12505470f964a0fcaaad4077e8aac714d4c1074dc9c02fced15b&",""
"382941357699760129","walker.reynolds","2020-08-12T20:35:41.2580000+08:00","Gartner cannot be trusted -- its a long story and their recommendations aren't even close to target.  Gartner is part of the problem, same goes for Forrester -- which is why there is so much misinformation in the market.","","👍 (4)"
"382941357699760129","walker.reynolds","2020-08-12T20:36:02.6890000+08:00","They pick PTC and Siemens as leading the pack and that couldn't be further from the truth.","","👍 (2)"
"382941357699760129","walker.reynolds","2020-08-12T20:37:18.8920000+08:00","We started producing our content because manufacturers were listening to Gartner and Forrester and not getting results with the platforms that were selected.","","👍 (3)"
"382941357699760129","walker.reynolds","2020-08-12T20:38:40.1610000+08:00","PTC purchased Kepware because they were supposed to be IIoT leaders and they didn't even have machine connectivity -- Rockwell partnered with PTC because they were supposed to be leaders and they didn't have any open platforms.","","👍 (3)"
"382941357699760129","walker.reynolds","2020-08-12T20:40:58.4570000+08:00","Siemens, Rockwell and PTC are all behind the curve, not ahead of it.  Siemens, of the three, is the most advanced simply because they have Win-CC OA.  PTC has a great analytics and dashboarding platform but it ends there.  In IIoT, you need edge driven, open architecture, report by exception, unified namespace, cross platform and an IDE for developing full automation-stack solutions.  Those are your pre-requisites.","","😆 (1),🙂 (1),👍 (3)"
"382941357699760129","walker.reynolds","2020-08-12T20:41:58.9440000+08:00","The folks at Gartner and Forrester do not develop IIoT solutions, so they don't even know what a leading IIoT solution would look like.","","👍 (6),💯 (2)"
"688675337785311245",".muhammadatif","2020-08-12T20:43:44.4990000+08:00","> The folks at Gartner and Forrester do not develop IIoT solutions, so they don't even know what a leading IIoT solution would look like.
@Walker Reynolds Thanks for the clarification 🙂","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-12T20:53:04.3180000+08:00","I'd like to hear other's thoughts on this, though...","","👍 (1)"
"456226577798135808","Deleted User","2020-08-12T20:54:44.4230000+08:00","great feedback, thanks 🙂","","👍 (2)"
"740940757833089164","boyang6559","2020-08-12T21:05:30.1970000+08:00","I think the traditional industry software venders used to play the game of creating silos to sell the keys (license).  this business model may not work that well when someone start to use open source, update its tech with community development,  and sell the service (eg power by hour).  IIoT has the tech capabilities to connect things and break silos,  it can be a game changer or disruption for big guys' business model.  it's difficult to wheel a big ship,  especially now,  while not yet known which direction will survive.  it's time for small and fast ship.  The challenge for manufacturing industry is not technology, technology may already prototyped in other industry, it's the culture","","💯 (2)"
"230441548653789184","r.pop","2020-08-12T21:19:33.7160000+08:00","> I'd like to hear other's thoughts on this, though...
@Walker Reynolds  couldn’t agree more. I’ve sat in on multiple meetings with PTC, and they just don’t get it. They exist to sell licenses, not to build open solutions and advance the mindset of  that unified namespace architecture.","","💯 (2)"
"708093072117989388","varghesejm","2020-08-13T08:50:24.7160000+08:00","> I'd like to hear other's thoughts on this, though...
@Walker Reynolds  my thoughts are that this was a highly entertaining rant which I enjoyed immensely as nothing bothers me more than big elephant incumbents who blab a lot despite clearly lacking the approach to be relevant to the conversation they are blabbing on about. Oh, and you forgot the 🎤 drop at the end of the rant. But its ok, I heard it anyway 😉","","🙌 (2),👏 (2),😆 (1)"
"743644578896150528","alfredoblumenthal3824","2020-08-14T10:41:08.4360000+08:00","One stupid question for you: In the context on Industrial Internet of Things, obviously a sensor, a PLC, a drive etc, are ""Things"" that either publish information/data or consume information/data from the cloud/internet/etc. Can we consider an MES, or a PLM a ""Thing"" in the IIoT world? Since they also publish and consume data to/from the IIoT platform,
Your feedback would be highly appreciated my friend!
Stay safe!","",""
"382941357699760129","walker.reynolds","2020-08-14T11:49:22.4580000+08:00","> One stupid question for you: In the context on Industrial Internet of Things, obviously a sensor, a PLC, a drive etc, are ""Things"" that either publish information/data or consume information/data from the cloud/internet/etc. Can we consider an MES, or a PLM a ""Thing"" in the IIoT world? Since they also publish and consume data to/from the IIoT platform,
> Your feedback would be highly appreciated my friend!
> Stay safe!
@Alfredo Blumenthal  Welcome to the channel!  The answer to your question is Yes!  All “things” that produce or consume data are “things” in our internet of things.  I like to say that they are all nodes in the ecosystem — that includes software... because they consume data and make information with it that can also be consumed by other nodes in the ecosystem.","",""
"743347439972515894","mrjain.","2020-08-14T12:05:22.6780000+08:00","I wrote a 4 part series on IoT and I think some of you might find it useful https://celestri.org/2019/12/04/building-an-iot-device/","","👍 (4),💯 (1)"
"194289793905983489","zackscriven","2020-08-14T12:13:37.9860000+08:00","Thank you for sharing @mrjain.","","👍 (2)"
"743644578896150528","alfredoblumenthal3824","2020-08-14T12:19:35.9960000+08:00","Thank you for you prompt answer!","","🙏 (1)"
"744671252605829181","jeff.rankinen","2020-08-17T05:55:14.1740000+08:00","Hello @Walker Reynolds, I am teaching a new college course on the future of automation - basically Industry 4.0/IIoT. We are a hands-on school, so I'm wondering what you think about using a low-cost ESP32 controller with LoRa as an edge device. I would use a Raspberry Pi as the LoRa Gateway. See links below. Inductive Automation is giving us free licenses, so Ignition will be part of the platform. We already have a big investment in Industry 3.0 hardware and software. These are 4th-year students, so I want to give them as much IIoT as I can. https://www.youtube.com/watch?v=spE6IpOU-2w

Any input would be appreciated. I did watch your MQTT/IIoT/Raspberry Pi/Arduino video. So basically wondering how you think LoRa would fit in. Also, our College prefers to lock down WiFi, so LoRa would be more practical for connectivity.
 https://www.sparkfun.com/products/15006
https://www.sparkfun.com/products/16447","","🙌 (2)"
"382941357699760129","walker.reynolds","2020-08-17T08:08:14.7310000+08:00","@Jeff Rankinen 🕺 
This absolutely fits into the IIoT architecture.  If u need any support, we are happy to help... u r spot on with ur architecture.","","👍 (4),🙌 (1)"
"745006186046423072","mani04071","2020-08-18T04:01:59.7690000+08:00","Hi ... My name is Mani. I work for brother international and do analytics focused on digital data.","",""
"745006186046423072","mani04071","2020-08-18T04:04:14.3340000+08:00","A quick question.  I am looking to IOT enable a few products such as gear motors..etc.. for buildling an asset monitoring service & eventually predicitive maintenance models.","",""
"745006186046423072","mani04071","2020-08-18T04:05:12.6060000+08:00","Just was wondering what would be the best way to instrument the gear motor for example  to get relevant data.","",""
"745006186046423072","mani04071","2020-08-18T04:06:45.1020000+08:00","Any information/thoughts would be much appreciated. Thanks.","",""
"194289793905983489","zackscriven","2020-08-18T05:11:28.4510000+08:00","Do you already have a PLC controller in the Motor Control Cabinet? @mani","",""
"329780110704246790","rkwadd","2020-08-18T07:49:18.6410000+08:00","You can get data off Brother CNC machines using the sensors already built into the machine. See https://github.com/Lathejockey81/BrotherAdapter","",""
"745006186046423072","mani04071","2020-08-18T20:51:28.7370000+08:00","Thanks  @zackscriven  ... brother has a separate division that just sells gear motors to customers .  Is it possible to instrument sensors in gear motors before it is shipped to customers ?  Kind of  a ABB smart motor sensor.","","💯 (2)"
"745006186046423072","mani04071","2020-08-18T20:52:16.5720000+08:00","Thanks @Russ from the Internet .. Great info about brother CNC.","",""
"382941357699760129","walker.reynolds","2020-08-18T21:57:59.2050000+08:00","Question of the Day: What does IIoT mean?  Strategically and practically?","","🤔 (2)"
"382941357699760129","walker.reynolds","2020-08-18T21:58:04.7730000+08:00","Pinned a message.","",""
"194289793905983489","zackscriven","2020-08-18T22:04:09.4560000+08:00","@Walker Reynolds  is this true?","https://cdn.discordapp.com/attachments/742458745031884921/745281890646360154/pub_sub.PNG?ex=68df2f19&is=68dddd99&hm=13287034c1c72b9aed384f47164b137826de016894582f655ac21a34f590141a&",""
"737819173631033454","faction2.0","2020-08-18T22:06:27.1820000+08:00","> Question of the Day: What does IIoT mean?  Strategically and practically?
@Walker Reynolds 
Strategically: The ability to solve business problems through connectivity. I.e. IIoT is a tool used for generating revenue or cutting cost.
Practically: XaaS, SLAs, on-demand information, predictive/preventative maintenance, process optimization, etc.","",""
"382941357699760129","walker.reynolds","2020-08-18T22:07:17.6580000+08:00","> @Walker Reynolds  is this true?
@zackscriven yes -- it is... but it is solved in the Sparkplug connection parameters (how often you want to publish updates) and QoS.  It is true report by exception if you configure it that way.  Which is why you need a solutions architect available for consultation when you are designing edge of network connections.","","👍 (3)"
"194289793905983489","zackscriven","2020-08-18T22:07:48.0080000+08:00","So the solution would be to set your scan interval to the length of your plc scan cycle or less?","","👍 (1)"
"194289793905983489","zackscriven","2020-08-18T22:08:15.8410000+08:00","and then you can send those events or updates once every so often.","",""
"382941357699760129","walker.reynolds","2020-08-18T22:08:32.1080000+08:00","Its not the scan rate, its the publish rate -- the edge of network node will see all transitions, just only publish the latest value within the publishing interval.","","👍 (1)"
"194289793905983489","zackscriven","2020-08-18T22:09:01.4190000+08:00","ah. i thought that it published multiple in sort of a store-and-forward type way","",""
"194289793905983489","zackscriven","2020-08-18T22:09:20.5940000+08:00","if there was multiple updates in one publish cycle","",""
"382941357699760129","walker.reynolds","2020-08-18T22:09:46.4270000+08:00","So -- let's say I have a REAL on the edge that changes 20 times per second (50ms updates)... and I configure my edge of network node to publish no faster than once per second... it will ignore 19 changes and publish just the last one.","","👍 (2)"
"194289793905983489","zackscriven","2020-08-18T22:10:15.5830000+08:00","that makes sense. that's probably how you would want it for real","",""
"382941357699760129","walker.reynolds","2020-08-18T22:10:58.8980000+08:00","OR -- I can buffer all of the changes and publish an array in the topic -- OR I can set my edge of network node to publish that topic on all changes -- OR I could use another option... the point is, the solution needs to fit the problem and you need an architect who knows what they are doing.","","👍 (2)"
"382941357699760129","walker.reynolds","2020-08-18T22:12:17.1620000+08:00","His comment is correct... but it is missing a key point -- that isn't the ONLY way to set up pub sub.","","👍 (2)"
"194289793905983489","zackscriven","2020-08-18T22:17:40.3430000+08:00","👍","",""
"382941357699760129","walker.reynolds","2020-08-18T22:23:27.8410000+08:00","For example -- we have more than 1 transmitter set up on most edge nodes -- one for standard transmits once per second and one for high speed transmits on actual change.","","👍 (2)"
"708093072117989388","varghesejm","2020-08-18T23:31:19.9810000+08:00","> OR -- I can buffer all of the changes and publish an array in the topic -- OR I can set my edge of network node to publish that topic on all changes -- OR I could use another option... the point is, the solution needs to fit the problem and you need an architect who knows what they are doing.
@Walker Reynolds  this list of ORs, is this list specific to cirruslink/Ignition MQTT transmission module, a combination of tag, tag scan class and module or are ALL these options available in any MQTT/SparkplugB compliant transmission module like those in NodeRed, Opto natively etc etc?","","👍 (2)"
"382941357699760129","walker.reynolds","2020-08-18T23:31:47.0630000+08:00","Its part of the Sparkplug Standard","","👍 (2)"
"382941357699760129","walker.reynolds","2020-08-18T23:32:07.9080000+08:00","The array would be edge logic, the other ORs are part of the spec for Sparkplug","","👍 (2)"
"708093072117989388","varghesejm","2020-08-18T23:32:26.4480000+08:00","Thanks for the clarification!","","👍 (2)"
"745388779992252496","nube3967","2020-08-19T05:23:33.7060000+08:00","Hi Everyone - I just joined","",""
"745388779992252496","nube3967","2020-08-19T05:23:55.0450000+08:00","Lookiing for expertise in LwM2M services and Grafana","","👍 (1)"
"745388779992252496","nube3967","2020-08-19T05:24:46.3220000+08:00","Our current devcie uses MQTT but we woudl like to transition to LwM2M and probbaly integrating with Telit IOT One edge platfiorm","",""
"194289793905983489","zackscriven","2020-08-19T05:58:53.0520000+08:00","Welcome @Nube. (lol)","",""
"382941357699760129","walker.reynolds","2020-08-19T20:48:06.0480000+08:00","My answer to the question of the day: IIoT means that we treat all consumers and producers of data and information -- within an organization -- as nodes in an ecosystem.  We give them a place to consume data from and publish information back into.  From a philosophical stand-point, it means we don't limit what information stakeholders have access to or when, or in what form.  It means we make no assumptions about how data or information will be consumed.  From a strategic standpoint, we give people the information they need, when they need it, in the form they need it.  IIoT is the foundation upon which we create the smartphone for industry -- the one portal that connects us to exactly what we want or need to know, when we want or need to know it.","","👍 (2)"
"688675337785311245",".muhammadatif","2020-08-19T22:58:03.4730000+08:00","> My answer to the question of the day: IIoT means that we treat all consumers and producers of data and information -- within an organization -- as nodes in an ecosystem.  We give them a place to consume data from and publish information back into.  From a philosophical stand-point, it means we don't limit what information stakeholders have access to or when, or in what form.  It means we make no assumptions about how data or information will be consumed.  From a strategic standpoint, we give people the information they need, when they need it, in the form they need it.  IIoT is the foundation upon which we create the smartphone for industry -- the one portal that connects us to exactly what we want or need to know, when we want or need to know it.
@Walker Reynolds thanks for putting your answer in easy to understandable  🙂","","👍 (1)"
"743810005714600017","dep05d","2020-08-20T01:32:02.9070000+08:00","> OR -- I can buffer all of the changes and publish an array in the topic -- OR I can set my edge of network node to publish that topic on all changes -- OR I could use another option... the point is, the solution needs to fit the problem and you need an architect who knows what they are doing.
@Walker Reynolds I've been playing around with this in the Cirrus Link modules in Ignition.  I know the Transmission module can buffer messages if there is comm loss to the MQTT broker, and the MQTT Engine module can direct these buffered messages to the historian whenever they finally arrive.  I also know Transmission can be set to publish buffered history in order, and the Engine can be configured to bypass the historian and instead push all the buffered messages through the MQTT Engine tag.  However, if I were to try and create a tag event on that tag, I would end up with missedEvents=True because of an event overflow.  Is there any way in Ignition to perform stream processing on all the buffered data, or must we use the historian as the event stream?","","👍 (1)"
