AuthorID,Author,Date,Content,Attachments,Reactions
"740416113791336489","nitin02748","2020-08-05T11:51:17.0790000+08:00","Hi","",""
"740521231924854866","modifix.","2020-08-05T18:49:20.7490000+08:00","Hi! Do you have a MES? Are you from?","",""
"194289793905983489","zackscriven","2020-08-05T21:39:49.5630000+08:00","MES is one of the last pieces of software that a manufacturer typically buys.","",""
"740587004827271229","tri.helix","2020-08-06T04:16:41.7090000+08:00","I see PAS-X MES by Werum at a few of our customer sites in pharma/life science, I haven't done much integration with it yet though.","",""
"382941357699760129","walker.reynolds","2020-08-06T20:56:15.3740000+08:00","Questions of the day: Do you develop MES systems? What platforms do you develop with?","",""
"382941357699760129","walker.reynolds","2020-08-06T20:56:27.2010000+08:00","Pinned a message.","",""
"400824937515974656","gman_iotangle","2020-08-06T20:58:30.9240000+08:00","Sepasoft/Ignition.","",""
"343452320216121345","hanno23","2020-08-06T22:11:39.2030000+08:00","@gman_IoTangle I saw Sepasoft, was wondering if it is the ideal MES solution to implement if your client has/will implement an Ignition SCADA? Or does MES choice really just come down to the clients requirements?","",""
"400824937515974656","gman_iotangle","2020-08-06T22:24:59.3570000+08:00","@Hanno if they will use Ignition SCADA then it’s almost a no brainer to use Sepasoft. It integrates into Ifnition and you don’t even really know it’s a 3rd party. I can recommend it for OEE, Downtime and SPC. Have not used their track and trace","",""
"700894265127075882","ktal90","2020-08-06T23:13:11.3930000+08:00","We develop an MES system to use out of the box. Often, we come across Delmia/Apriso and Ignition. Trying to figure out how to integrate easily for customers who want those as a backbone to our (easier to use) solution","",""
"711419450859061289","francisco.olano","2020-08-06T23:24:15.8450000+08:00","Question:
We are moving forward with the course to be Ignition Certified Partners.
Our background is more software development...is there any way to use GIT as code source control?","",""
"382941357699760129","walker.reynolds","2020-08-06T23:53:25.3970000+08:00","> Question:
> We are moving forward with the course to be Ignition Certified Partners.
> Our background is more software development...is there any way to use GIT as code source control?
@francisco.olano yes... as long as you are using Ignition 8, the core model was changed to file structure for use with source control tools","",""
"343452320216121345","hanno23","2020-08-07T00:47:09.8930000+08:00","@gman_IoTangle , thanks for the info. Hopefully I get a gap to work on that level (MES) but currently the company I work for only focuses on PLC/SCADA.","","👍 (1)"
"711419450859061289","francisco.olano","2020-08-07T01:40:26.9210000+08:00","> @francisco.olano yes... as long as you are using Ignition 8, the core model was changed to file structure for use with source control tools
@Walker Reynolds ok, many thanks, we will try to see how it is working","","👍 (1)"
"700894265127075882","ktal90","2020-08-07T03:53:07.3250000+08:00","Anyone here using or interface with Delmia/Apriso?","",""
"382941357699760129","walker.reynolds","2020-08-07T03:57:21.3030000+08:00","Yes to Apriso","","🤙 (1)"
"738937481365291141","sqlwalkermj","2020-08-07T08:02:04.6280000+08:00","I’ve used Wonderware MES, which is a good for organizations who use Wonderware System Platform.  Recently we have been implementing the 4.0 Solutions MES built on top of Ignition.  I’ve also taken the custom route in .Net / SQL server, but would will always push for COTS solutions first.","","👍 (3)"
"700894265127075882","ktal90","2020-08-07T11:05:21.8920000+08:00","> MES is one of the last pieces of software that a manufacturer typically buys.

To this point by @zackscriven above: I think that's true. We've seen a lot of that. We're taking a scaled down approach where companies can start tracking and managing workflow much earlier even without the full-blown MES aspect. It seems to be taking on. I think that coordinating/collaborating between the people actually on the floor is more important to start early than, say, ERP which services finance/accounting purposes. What do you all think?","",""
"741103307254399037","enterprise4.0dave0488","2020-08-07T11:08:18.7880000+08:00","We develop MES in Ignition, Rockwell, and WonderWare","","👍 (1)"
"738937481365291141","sqlwalkermj","2020-08-07T11:18:46.9660000+08:00","> To this point by @zackscriven above: I think that's true. We've seen a lot of that. We're taking a scaled down approach where companies can start tracking and managing workflow much earlier even without the full-blown MES aspect. It seems to be taking on. I think that coordinating/collaborating between the people actually on the floor is more important to start early than, say, ERP which services finance/accounting purposes. What do you all think?
@Karan I agree with this approach when it comes to MES.  It is a good idea to get the 10,000 foot view of what the customer needs early on, but actually execute  in an agile manner where the customer sees functionality much earlier.  We often find that we have to just show the customer what they need with MES rather than wait for the perfect requirement to come along, this speaks to your comment on working with people on the floor earlier. To @zackscriven's point I agree... manufacturers always have an MES, it is just usually on paper or in excel until they get around to implementing it.","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-07T21:28:25.2470000+08:00","@sqlwalkermj this is a good point and it is the best starting point -- integrators and developers need to simply ask for what they have on paper and use that as the starting point while also adding the value we know they need -- then using agile, build the rest of the requirements as they use their new found knowledge to innovate.","",""
"230441548653789184","r.pop","2020-08-07T21:41:38.3290000+08:00","My 2 cents: The traditional MES system will disappear as more and more companies adopt an I4.0 mindset. If you leverage the technology that's available correctly, you can accomplish all the tasks of a traditional MES while enabling your organization to be more flexible in its integration. In my previous role, our ""MES"" system was actually a combination of multiple different pieces of software. Our focus was an open architecture that allowed information to be passed efficiently and automatically, between the entire eco-system. We had two pieces of software at the core, Ignition and Argonaut, and between those two pieces of software, data could flow anywhere in the organization. From pulling down work orders from SAP, to passing SPC data to QMS Pro, to even calling an API in our CMMS system to assign maintenance work orders. In our pitches to our clients now, we generally steer them away from locking in to a single MES solution, but instead to think about identifying a business need, and using technology to solve it.","",""
"353220715983536128","e0ph","2020-08-07T22:10:12.7690000+08:00","i think that is the rational approach moving forward","",""
"353220715983536128","e0ph","2020-08-07T22:10:20.9760000+08:00","i have found that a lot of customers are not rational","",""
"700894265127075882","ktal90","2020-08-07T23:02:06.7150000+08:00","@RemusPop Makes a lot of sense! You see this in the software industry where business process management has emerged from traditional ERP, which fast-moving software companies stray away from now. Rather, bring in the right tools to do the job and have a solid orchestration layer (e.g. business process management) to shuttle the right information at the right time between systems.","",""
"329780110704246790","rkwadd","2020-08-08T03:48:11.0160000+08:00","@RemusPop Many MES vendors are not really selling software. They are selling expertise and labor to understand, untangle, and document existing business practices. Then *maybe* make some small incremental improvements. But you can’t sell “I’m smart and your mfg ops are an undocumented mess”","",""
"382941357699760129","walker.reynolds","2020-08-08T03:52:44.8640000+08:00","> @RemusPop Many MES vendors are not really selling software. They are selling expertise and labor to understand, untangle, and document existing business practices. Then *maybe* make some small incremental improvements. But you can’t sell “I’m smart and your mfg ops are an undocumented mess”
@Russ from the Internet  spot on... automation is uniform, so SCADA software is easy to integrate.  Business processes and manufacturing workflows are never uniform, which why MES is challenging to many.","","👍 (1)"
"329780110704246790","rkwadd","2020-08-08T04:53:51.8860000+08:00","Hadn’t thought about the uniformity piece. Stuff like ISO 9001 or Toyota Production System try to apply as much uniformity as possible, but generally no one makes or sells those processes as software.","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-10T08:50:27.6870000+08:00","> i think that is the rational approach moving forward
@praetor- you are the brain surgeon -- your client needs you to push, you are the expert -- remember that.  Not every client is ready to innovate, vet your potential clients and only work with the ones who are ready.  Do not get bogged down with a client who isn't ready.","","👍 (1)"
"407722519903207437","milori2006","2020-08-11T11:33:22.4710000+08:00","MES and/or MOM ?","",""
"742040889437847555","pjgeldenhuis","2020-08-11T11:34:14.9300000+08:00","@Miro MOM all the way. MES is old news!","","👍 (1)"
"407722519903207437","milori2006","2020-08-11T11:36:26.1500000+08:00","> @Miro MOM all the way. MES is old news!
@PJG Hmhm. Would love to see more view points. It looks like even among us we are more in love with MES (this hash tag title)","",""
"382941357699760129","walker.reynolds","2020-08-11T11:39:03.0730000+08:00","MES is the ubiquitous term... and it stuck","",""
"382941357699760129","walker.reynolds","2020-08-11T11:40:23.3910000+08:00","MOM is an expansion of MES features and indicates a specific architecture built around ISA 95... we dont use the term MOM cuz it confuses consumers.","",""
"382941357699760129","walker.reynolds","2020-08-11T11:41:58.2690000+08:00","but MOM is the more appropriate term","",""
"382941357699760129","walker.reynolds","2020-08-11T11:43:25.7720000+08:00","I use MES cuz it doesnt confuse anyone","","💯 (1)"
"742040889437847555","pjgeldenhuis","2020-08-11T11:52:49.8730000+08:00","@Miro & @Walker Reynolds aligning on the defenition of MES and MOM is probably a good first step. I just do not think a traditional MES system is the way of the future - to monolithic and process centric.","","🙌 (1)"
"407722519903207437","milori2006","2020-08-11T11:53:43.8030000+08:00","> MOM is an expansion of MES features and indicates a specific architecture built around ISA 95... we dont use the term MOM cuz it confuses consumers.
@Walker Reynolds Yup. Similar thoughts here. Until the point of pitching where in case of presenting the MOM scope , talking about it as MES vs the known by the customer ""just-MES"" examples.","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-11T11:53:53.9110000+08:00","> @Miro & @Walker Reynolds aligning on the defenition of MES and MOM is probably a good first step. I just do not think a traditional MES system is the way of the future - to monolithic and process centric.
@PJG  agree... MES functions are now split between MES software n cloud","","👍 (1)"
"407722519903207437","milori2006","2020-08-11T12:01:43.2840000+08:00","Would one elaborate more his/her views in what areas MOM adds values vs MES?","",""
"382941357699760129","walker.reynolds","2020-08-11T21:08:46.7840000+08:00","> Would one elaborate more his/her views in what areas MOM adds values vs MES?
@Miro MES is about the execution of Manufacturing and generally points to the software providing the functions -- work orders, efficiency calcs, product codes, etc.  MOM generally points to the business processes that make up operations and include quality tracking, track and trace, scheduling, recipe management, etc.  MOM is inclusive of all the processes that go into executing your business, MES is generally just the stuff you see MES software  include in their off the shelf solution.","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-11T21:10:26.4270000+08:00","The answer is nuanced because the original intention with adding the MOM acronym was to create a new layer in the stack above MES and including MES (MES would be a sub-set of MOM) but that didn't take.  MOM is a term that had good intentions but never really took off.  Most people know what MES is, most have never heard of MOM -- even though the term is 35 years old.","","👍 (1)"
"382941357699760129","walker.reynolds","2020-08-11T21:12:17.0850000+08:00","I try to stress to people in our field -- keep it simple... remember who we are working with... we don't need to use complicated terms, buzz words or acronyms to sound like we know what we're talking about -- put the vision into terms the consumer can understand. That's the most important point.","","👍 (2)"
"740578056821014709","jaffar9703","2020-08-12T18:22:51.4670000+08:00","Are there any good examples out there of PLM-ERP-MES integrations?","",""
"230441548653789184","r.pop","2020-08-12T19:16:00.9940000+08:00","> Are there any good examples out there of PLM-ERP-MES integrations?
@Jaffar  We used our MES track and trace app to pull the Bill of Materials from Siemens PLM and Work Orders from SAP ERP. This way we could ensure components that are scanned and added to the assembly during manufacturing match the current active work order in SAP, and then at the end of the process we would call a BAPI in SAP to backflush inventory and print rack labels.","",""
"382941357699760129","walker.reynolds","2020-08-12T19:45:40.1940000+08:00","> Are there any good examples out there of PLM-ERP-MES integrations?
@Jaffar there are many examples -- @RemusPop gave you a good one, Siemens PLM and SAP integrate nicely because of the relationship between SAP and Siemens.  (I also like that Siemens PLM is headquartered here in Dallas).  I've also integrated with Upchain and Teamcenter.  The biggest challenge is mapping IDs in PLM to IDs in the ERP, we generally do this in the namespace.  PLM integration is rare... and when it is part of the DT initiative, it generally comes late in the process (phase 4 or beyond -- which is generally 2+ yrs in)","",""
"740578056821014709","jaffar9703","2020-08-12T20:31:07.4150000+08:00","> @Jaffar  We used our MES track and trace app to pull the Bill of Materials from Siemens PLM and Work Orders from SAP ERP. This way we could ensure components that are scanned and added to the assembly during manufacturing match the current active work order in SAP, and then at the end of the process we would call a BAPI in SAP to backflush inventory and print rack labels.
@RemusPop @Walker Reynolds Thanks Remus and Walker, track and trace is one of the projects we are looking into but with the inclusion of the supplier's system to provide updates on delivery dates and therefore update our in house schedules. This would most likely require setting up API's. We will most likely use Teamcenter to push approved drawings/BOM's into MES and create a feedback loop to raise change requests/non-conformance's etc ... Our ERP/MES is a bespoke system that is rolled up into one, so it makes some things easier. This is just one of the focus areas for our testbed.","",""
"230441548653789184","r.pop","2020-08-12T20:44:13.9090000+08:00","@Jaffar I would recommend checking out Argonaut. They were our global track and trace providers, and in my opinion, the best software I’ve seen thus far for that type of solution. We deployed them globally in about 15 plants. Easy to configure...no coding required. https://www.redviking.com/what-we-do/digital-manufacturing/software.html","","👍 (1)"
"740578056821014709","jaffar9703","2020-08-12T20:51:00.9270000+08:00","@RemusPop Thanks Remus, I'll check it out.","",""
"711419450859061289","francisco.olano","2020-08-12T22:04:40.0390000+08:00","[Project] I am moving forward with an opportunity of a project to trace every single step on the production workflow, which contains many steps/different production lines/machines:
- Raw Material Lots used
- Part serial number
- Trace in which Production Line was produced and its parameters (the whole process involves around 5 different production lines)","",""
"711419450859061289","francisco.olano","2020-08-12T22:06:08.7060000+08:00","I have checked this module on ignition: https://www.sepasoft.com/products/track-trace/ but it seems to be more that the client needs
Any suggestions?","",""
"230441548653789184","r.pop","2020-08-12T22:31:42.9590000+08:00","@francisco.olano check my recommendation above. We used it to great success to do exactly what you are describing.","",""
"711419450859061289","francisco.olano","2020-08-12T22:34:56.6230000+08:00","> @francisco.olano check my recommendation above. We used it to great success to do exactly what you are describing.
@RemusPop Many thanks!","",""
