AuthorID,Author,Date,Content,Attachments,Reactions
"745796393855352953","thedavidschultz","2021-05-11T21:17:43.3710000+08:00","Great to see the sensors channel. I am working with a client that would like to know when a roller on a conveyor is turning (to detect product movement). They would like to know speed, but state may suffice. The client suggested an encoder which I am working with P+F on, but these require PLC configuration, which I am not familiar with. 

Curious if anyone has any suggestions. I thought about getting some kind of small gear that could be mounted to the roller and they use a photo eye to detect movement/speed. Something that output a current of voltage signal would be preferred. Thoughts?","","🔥 (1)"
"487658368492896257","benveenema","2021-05-11T21:29:59.5060000+08:00","How fast does the roller spin on average?","",""
"487658368492896257","benveenema","2021-05-11T21:30:28.6480000+08:00","Another though could be to but an accelerometer or gyro on it that would produce a contant current or voltage while spinning","",""
"487658368492896257","benveenema","2021-05-11T21:30:57.6100000+08:00","You could probably infer RPM from the g-force relatively accurately in addition to state","",""
"456226577798135808","Deleted User","2021-05-11T21:42:00.2290000+08:00","Powered or passive rollers?","",""
"194289793905983489","zackscriven","2021-05-11T21:45:43.7240000+08:00","Pinned a message.","",""
"745796393855352953","thedavidschultz","2021-05-11T21:48:50.6950000+08:00","Passive. The conveyor is moving sheets of material down a line. There are powered rollers, but these may be on even when product is not moving. The goal is to know when metal is moving (and they are producing product).","",""
"745796393855352953","thedavidschultz","2021-05-11T21:50:30.7920000+08:00","Not very fast...maybe 2 - 3 RPM. The material does not move very fast down the line.","",""
"487658368492896257","benveenema","2021-05-11T21:54:15.1400000+08:00","Accelerometer or gyro might not work well at slow RPM and you have the issues of the wires spinning or needing to go wireless. I think you could use a single toothed gear that passes a photo-eye every revolution (basically the index channel on an encoder) and maybe pair that with a physical, delay-off timer so that the signal stays high for the amount of time a revolution should take and gets re-triggered every cycle.","",""
"487658368492896257","benveenema","2021-05-11T21:54:45.2510000+08:00","That's if you want or need to avoid a PLC. You could do the same thing inside a PLC.","",""
"745796393855352953","thedavidschultz","2021-05-11T22:26:57.7020000+08:00","@Ben Veenema Thank you for taking the time to chat with me about the application. Your help is much appreciated 🙏","","💯 (1)"
"745009912160976977","marioishikawa","2021-05-12T00:51:12.9620000+08:00","is it possible to use the actuator signal that allows/make the conveyor to move?","",""
"745796393855352953","thedavidschultz","2021-05-12T00:52:59.3730000+08:00","It is, but the conveyor may be on without product moving down it. Monitoring a static roller seems to be the best way.","","👍 (1)"
"840045073294819329","fredsoliz","2021-05-12T02:25:18.8330000+08:00","@DavidSchultz what if you made a mark on the conveyor, then train an image/video AI/ML bot to determine if there is movement","",""
"745796393855352953","thedavidschultz","2021-05-12T02:27:10.5420000+08:00","Thanks, Fred. Current plan is to use reflective tape with an optical sensor.","",""
"740531920907010118","jmckeon","2021-05-12T02:34:59.6550000+08:00","@DavidSchultz can you share any pictures of the process...also check dorner conveyors....I'll pull up the web link in a mo","",""
"840045073294819329","fredsoliz","2021-05-12T02:36:38.4380000+08:00","Practical","",""
"740531920907010118","jmckeon","2021-05-12T02:56:20.8520000+08:00","https://www.dornerconveyors.com/europe","",""
"740531920907010118","jmckeon","2021-05-12T02:58:01.8800000+08:00","They have drive elements and sensor I have used or should say adapted for different applications....but it was for small  carton or blister products in pharma","","👍 (1)"
"740531920907010118","jmckeon","2021-05-12T03:05:00.8900000+08:00","@DavidSchultz if the length of the product is consistent and you know it you could use a optical sensor to detect to leading edge and stay active until the trailing edge this will.guve you time per unit which yiu can use to calculate the speed and the number if units also and variable between units...there are a number of them from omron or keyence simple to use....","",""
"740531920907010118","jmckeon","2021-05-12T03:05:59.4330000+08:00","You could also go for a small camera sensor from sick or keyence or omron","",""
"740531920907010118","jmckeon","2021-05-12T03:07:00.9950000+08:00","They come with a usb or rj45 interface for laptop configuration with free software download","",""
"740531920907010118","jmckeon","2021-05-12T03:07:44.1690000+08:00","Stemmer is another great source for camera tech ...they will also help you select the right tech for the application","",""
"740531920907010118","jmckeon","2021-05-12T03:08:21.5150000+08:00","If you want to talk through the application just let me know","",""
"805550636481118208","jonnywright4","2021-05-14T04:53:54.4910000+08:00","My thoughts would be to detect the product rather than look at an inferred input. A simple light beam sensor with a reflector mounted on the opposite side of the conveyor could suffice. I've used this method successfully quite a few times.","","👍 (2)"
"766684226455207996","bright_hummingbird_31342","2021-05-14T05:49:10.9050000+08:00","If the product(s) on the conveyor are more ambiguous, vision could be an option.  Here's a similar application with pattern detection in MVTec Halcon.  You could derive the speed by scaling a line- or area-scan camera to its position relative to the conveyor.
https://www.youtube.com/watch?v=qTy7ainEz6c

Another option is to use a photoelectric distance sensor.  You could count the ""jumps"" in displacement.  If the product is length is uniform or there is some indicator mark on the conveyor, it could be used like an encoder.
https://www.youtube.com/watch?v=WhBwMqcPo-A","","👍 (2)"
"832550246961512479","beng1740","2021-05-18T03:44:29.7290000+08:00","Hey @DavidSchultz we design conveyors all the time and use an inductive proximity sensor picking up on a 6 flags in a star shape mounted to the non-driven end. It was important to us to measure the non driven end to pick up slip. Encoders are ok but have additional maintenance compared with the simplicity of the proximity. PM me if you want a picture of the setup we use.","",""
"815267392905150465","venkyiaf753280","2021-05-18T19:59:48.9020000+08:00","The speed/motion of rotating object can be sensed by a non-contact inductive type sensor. Metallic flags of specified dimensions can be mounted on the rotating object and the sensor probe can be installed with its sensing face in close vicinity of the rotating object. When these flags pass across the face of the probe, the frontal radiated EM field of the probe is damped which is converted to a corresponding output pulse.","",""
"749728132298178643","cryptolover7068","2021-05-18T20:50:11.3080000+08:00","Any wireless sensors for the industrial floor - Pressure, Temperature, Vibration, Flow, Distance with Sparkplug B on board?","","👍 (1)"
"745446887745781828","dundo6741","2021-05-19T03:55:25.1120000+08:00","BME688 4-in-1 Environmental Sensing with Artificial Intelligence
Bosch Sensortec's BME688 sensor is developed for mobile and connected applications where size and low power consumption are critical requirements


Applications
Indoor and outdoor air quality measurements
Bad breath or spoiled food detection
Diaper state detection, e.g., for baby care
Early detection of bad smells
Wildfire detection
Detection of unusual gases and smells that might indicate a leak or fire
Home appliances
Internet of Things (IoT) products
Smart homes
 😄

https://www.bosch-sensortec.com/products/environmental-sensors/gas-sensors/bme688/","","👍 (2)"
"727965710772600894","phil_s2342","2021-05-19T03:57:50.5430000+08:00","Can you share a picture to the board here? Would be great to see star shape with the prox sensor.","",""
"832550246961512479","beng1740","2021-05-19T08:26:45.2470000+08:00","@DavidSchultz This is for a bulk material conveyor but same principles. Hopefully the picture shows the star shape profile welded to the side of the drum well enough and location of proximity. We found this good as it is simple and easy to maintain.","https://cdn.discordapp.com/attachments/841346396639723553/844370456973803580/image0.jpg?ex=68df1844&is=68ddc6c4&hm=dee2f2642ea5c66c8a4b2e5c8c67c8e698e2da9b9abd458a914fce765a59fca0&","👍🏼 (1)"
"756565963520081950","andersgustav","2021-05-19T13:43:16.7430000+08:00","We do this all the time, as rotaryencoders just won't last in the touch enviroment with salt water and detergents.

Here is one fresh from the watercutter (need to replace the nozzle from the looks of it), that has a little higher resolution","https://cdn.discordapp.com/attachments/841346396639723553/844450113501265931/IMG_20210519_071633_edit_1238231967018351.jpg?ex=68df6274&is=68de10f4&hm=d95b1aac6acb9bfc6e6f76ecf4c079ab344f740dc1dfde4e1dc4384080eb0801&","👍 (2)"
"817835202746253344","IIoT#4707","2021-05-19T13:43:16.9940000+08:00","GG @Anders Gustav, you just advanced to level 6!","",""
"832550246961512479","beng1740","2021-05-19T14:31:24.0380000+08:00","Looks good @AndersG#7083. Do you use IO link proximities? I have looked into them and haven’t quite yet justified their extra cost for the self diagnostics.","",""
"756565963520081950","andersgustav","2021-05-19T14:50:34.1000000+08:00","Haven't got around to IO-Link yet (just don't have the time atm), just standard sensors.","","👍 (1)"
"745796393855352953","thedavidschultz","2021-05-19T19:00:00.1680000+08:00","Thanks @BenG The application only has rollers and not a belt. The rollers are about 2"" - 3"" in diameter. I suspect we could use a small gear in a similar fashion, but I am concerned about dirt fouling the optical sensor. This is why we thought an encoder would be a better option. Thoughts?","",""
"756565963520081950","andersgustav","2021-05-19T19:38:28.9570000+08:00","I never use optical sensors for these type of applications, actually I only use optical sensors only if I absolute have to (counting products or such). Anything that can be solved with a inductive sensor and a flag or similar are better.
IMHO.","","💯 (1)"
"745796393855352953","thedavidschultz","2021-05-19T20:54:33.7810000+08:00","Oops. I missed the inductive part. That would resolve the environmental concern. I will look into these.","","👍 (2)"
"832550246961512479","beng1740","2021-05-20T03:22:43.3210000+08:00","Some inspiration on how you could mechanically mount it. Replace the encoder in the picture with the star wheel.","https://cdn.discordapp.com/attachments/841346396639723553/844656333177225237/image0.jpg?ex=68df79c2&is=68de2842&hm=1185a7ccf93a90a89225b56009faa2a74b37a18f1b718f89ec8bbcc5b9d2b316&","uns (1)"
"807682982109904925","ericschummer","2021-05-23T23:56:03.3730000+08:00","we have sensors that can measure  3axles and vibration, which are used for predictive maintenance ..  also I believe monnit  has some that could be used easily ..  we are master delaers aof all , in case  you need pricing or anything","",""
"807682982109904925","ericschummer","2021-05-23T23:59:36.1080000+08:00","we use loranwan sensors for  3axial, vibration, temp, sound, ultrasound","",""
"740531920907010118","jmckeon","2021-05-24T07:07:06.4010000+08:00","https://www.staalinstruments.com/","",""
"749728132298178643","cryptolover7068","2021-05-24T20:53:19.0840000+08:00","@senzary.com-EricSchummer Great, I'll check Senzary out.","","💯 (1)"
"194289793905983489","zackscriven","2021-05-25T00:18:51.0050000+08:00","Thank you @senzary.com-EricSchummer","",""
"807682982109904925","ericschummer","2021-05-25T02:35:53.6070000+08:00","This is cool. Balckberry is selling a radar based sensor that estimates volume in a container or truck once you close the door","","👍 (1)"
"817835202746253344","IIoT#4707","2021-05-25T02:35:53.9290000+08:00","GG @senzary.com-EricSchummer, you just advanced to level 3!","",""
"744564195173073048","miklosbath123","2021-06-03T17:47:11.5510000+08:00","Cloud ready firmware platform provider https://golioth.io/  allows device makers to enable cloud connected IoT","",""
"194289793905983489","zackscriven","2021-06-04T03:37:29.7420000+08:00","Pinned a message.","",""
"851070946931769355","sourabhlearn1950","2021-06-07T14:24:55.5400000+08:00","Hi, How to connect Siemens PLC with python to read /write data ?","",""
"194289793905983489","zackscriven","2021-06-08T00:20:52.3670000+08:00","I would leverage the MQTT Function Block and an open source broker like Mosquitto or something!","",""
"194289793905983489","zackscriven","2021-06-08T00:20:57.3850000+08:00","Pinned a message.","",""
"711186774629679166","faithware101","2021-06-08T01:29:11.5910000+08:00","snap7","","👍 (1)"
"851070946931769355","sourabhlearn1950","2021-06-08T02:49:10.4670000+08:00","Snap7 not working with python 3.9","",""
"711186774629679166","faithware101","2021-06-08T05:06:56.5990000+08:00","Python 3.9 is relatively new, why don't you use python 3.5 or 3.4?","",""
