AuthorID,Author,Date,Content,Attachments,Reactions
"1323501936674082826","jessielu0411","2025-03-20T09:54:29.8810000+08:00","Hi~","",""
"1353986426408009791","sylvia_59039","2025-03-25T15:24:25.2220000+08:00","Joined the server.","",""
"1323501936674082826","jessielu0411","2025-03-27T09:16:30.5120000+08:00","","",""
"1323501936674082826","jessielu0411","2025-04-05T03:59:06.4390000+08:00","😋","",""
"1249712253176123422","damir919414","2025-04-09T01:12:28.7750000+08:00","Joined the server.","",""
"1249712253176123422","damir919414","2025-04-09T01:13:55.0540000+08:00","","",""
"1249712253176123422","damir919414","2025-04-09T01:14:51.6320000+08:00","Hello","",""
"1249712253176123422","damir919414","2025-04-09T01:25:53.8400000+08:00","","",""
"1323501936674082826","jessielu0411","2025-04-09T09:09:15.1520000+08:00","","",""
"1249712253176123422","damir919414","2025-04-09T09:13:19.5080000+08:00","@jessielu Hello, which language is it better to speak with you?""","",""
"1249712253176123422","damir919414","2025-04-09T09:15:35.7100000+08:00","Английча таржима қуйидагича:

""I need your help with Soliascada.""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:19:28.6110000+08:00","Thanks for asking, I would say English. How can I help you?","",""
"1249712253176123422","damir919414","2025-04-09T09:20:34.9150000+08:00","""I need your help with Soliascada.""","",""
"1249712253176123422","damir919414","2025-04-09T09:22:07.0820000+08:00","Ingliz tiliga tarjima:

""Is it possible to activate the 3D model in Soliascada?""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:23:08.5140000+08:00","Yes, did you email us before?","",""
"1249712253176123422","damir919414","2025-04-09T09:25:23.9300000+08:00","""Yes, I activated Soliascada itself and received 5000 tags for free, but the 3D model is not working. There are limitations — it's not possible to add more than 10 graphics.""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:27:24.0920000+08:00","We did receive your requests for the lic key for the 3D Editor, however for some reason our response email has been returned. Sorry for the inconvenience!","",""
"1249712253176123422","damir919414","2025-04-09T09:27:58.7860000+08:00","""Can I connect directly to the DCS without OPC? Currently, I am using Supcon Advantrol Pro version 2.50 and I can see the tags through OPC. But now I need to connect to the controller without OPC — is it possible?""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:28:01.5760000+08:00","To receive your license key for the 3D Editor, please follow these steps:
1. In the application's license infomation window, find the download button that is beside the Hardware ID;
2. Click this button to download the license file;
3. Email that downloaded file to us.

Once we receive the file, we will generate and send you your 3D Editor license key.","",""
"1249712253176123422","damir919414","2025-04-09T09:29:06.2450000+08:00","""How can I activate it?""","",""
"1249712253176123422","damir919414","2025-04-09T09:30:58.8370000+08:00","""Okay, but if there is an issue with my server and I reinstall the software, will I need to get a new license?""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:34:51.1210000+08:00","You don't need to, you can still use the ""old"" license for the same server and you just need to uninstall the software completely before reinstall the software","",""
"1323501936674082826","jessielu0411","2025-04-09T09:40:45.2550000+08:00","Yes, it requires the DCS to support data forwarding via the Modbus TCP protocol.","",""
"1249712253176123422","damir919414","2025-04-09T09:43:26.9250000+08:00","""Right now I can't find the Modbus codes, where can I get them? Because they start with '4'. Also, I couldn't find the Modbus server on the DCS to enable it.""","",""
"1359343969070354632","wangshu7788_18767","2025-04-09T09:51:32.4180000+08:00","Joined the server.","",""
"1249712253176123422","damir919414","2025-04-09T09:51:43.1670000+08:00","","",""
"1249712253176123422","damir919414","2025-04-09T09:51:59.4390000+08:00","","",""
"1249712253176123422","damir919414","2025-04-09T09:55:05.9360000+08:00","""One more thing — can you help me with this too? Do you currently have ready-made 3D designs available?""","",""
"1323501936674082826","jessielu0411","2025-04-09T09:58:29.9750000+08:00","You will need to reach out to the technical support team of SUPCON Advantrol Pro Version 2.50 and request their assistance in enabling the DCS to forward data via the Modbus protocol.","",""
"1249712253176123422","damir919414","2025-04-09T10:01:35.2750000+08:00","""Yes, but I have already emailed their technical department, and I haven’t received any response.""","",""
"1323501936674082826","jessielu0411","2025-04-09T10:04:38.9150000+08:00","While we don’t currently offer ready-made 3D designs, you can fully utilize our 3D editor by uploading open-source 3D models. Just for curiosity, where did you get to know SOLISCADA?","",""
"1249712253176123422","damir919414","2025-04-09T10:04:56.8200000+08:00","""If you can help me with the 3D model, I want to implement it at my own plant and would also recommend it to other plants. I’ve tested the software and it has great capabilities.""","",""
"1249712253176123422","damir919414","2025-04-09T10:07:00.1120000+08:00","""I regularly follow updates on the Supcon website. I saw it there, installed it, and tested it — I liked it.""","",""
"1249712253176123422","damir919414","2025-04-09T10:07:32.4380000+08:00","","https://cdn.discordapp.com/attachments/1349624419449962539/1359348980433293363/IMG_20250409_070758_584.jpg?ex=68df2fe4&is=68ddde64&hm=fba470d3670a8bf3b6ea550f2de404b8265758c9b5b363c63150b4510a3b0c40&",""
"1249712253176123422","damir919414","2025-04-09T10:11:50.2500000+08:00","""Can you help me with one more thing? Currently, we have operating equipment and motor conveyors, and I want to track their working hours. For example, when the motor is turned on, the timer should start; when the motor is off, the timer should pause, and when it's turned on again, the timer should continue from where it left off.""","",""
"1249712253176123422","damir919414","2025-04-09T10:14:02.2530000+08:00","""Can we currently integrate with an AI system?""","",""
"1359343969070354632","wangshu7788_18767","2025-04-09T10:15:40.1850000+08:00","Our secondary calculation function should be capable of timing, but after restarting the software, the previous calculation values will be lost. Alternatively, you can also develop calculations using VBS scripts.","",""
"1249712253176123422","damir919414","2025-04-09T10:19:19.1750000+08:00","""Yes, I have tested the secondary calculation, but it didn’t suit us because there was an issue on the server, and the working hours were lost. If I use the VBS script, will it work without any issues? I need the data to be saved in the database.""","",""
"1249712253176123422","damir919414","2025-04-09T10:21:13.9510000+08:00","""Can you help me with 3D graphics? I want to make them eye-catching, and I would also like to use them for advertising to other plants.""","",""
"1323501936674082826","jessielu0411","2025-04-09T10:34:03.7380000+08:00","While ready-made 3D models are not currently part of our standard offerings (as most 3D assets we work with are custom-designed for specific projects), we'd be happy to collaborate with you to create tailored 3D graphics that align with your vision. Could you share more details about the specific models or visual elements you need? Based on your requirements, we could probably help source models that are optimized for your goals.","",""
"1249712253176123422","damir919414","2025-04-09T10:37:10.0780000+08:00","""Of course, if you help me, I can provide the technological diagrams of the plant, and based on that, can you create the 3D models?""","",""
"1359355495391035612","whimsical_otter_35961_43576","2025-04-09T10:41:05.2150000+08:00","Joined the server.","",""
"1359355495391035612","whimsical_otter_35961_43576","2025-04-09T10:41:19.6350000+08:00","hello","",""
"1359355495391035612","whimsical_otter_35961_43576","2025-04-09T10:41:23.2110000+08:00","","",""
"1249712253176123422","damir919414","2025-04-09T10:45:22.4880000+08:00","","",""
