AuthorID,Author,Date,Content,Attachments,Reactions
1.04E+18,shimu_woshen,2023-12-13T09:35:11.0340000+08:00,just chat !,,ýýýý (1)
1.34E+18,thoe_82280,2025-02-21T17:13:10.9440000+08:00,"Hello Sir,
I'm Supakorn from Thailand.",,
1.34E+18,thoe_82280,2025-02-21T17:13:58.7580000+08:00,I want to know that supOS is able to download and install for trial license?,,
1.04E+18,shimu_woshen,2025-04-01T10:36:01.2030000+08:00,now supOS is available  in github,,
1.36E+18,prashant_60409,2025-04-08T21:56:45.9990000+08:00,Thank you Shimu Zhu,,ýýýý (1)
1.04E+18,shimu_woshen,2025-04-08T22:02:37.4680000+08:00,welcome!,,
1.36E+18,prashant_60409,2025-04-08T22:06:04.9090000+08:00,see you tomorrow . Have a Good Day!!,,
1.04E+18,shimu_woshen,2025-04-08T22:07:22.3880000+08:00,see you,,
1.36E+18,prashant_60409,2025-04-09T13:35:18.2380000+08:00,Hi Shimu,,
1.18E+18,simonhuang_57772,2025-04-09T14:13:47.4340000+08:00,Hi @Prashant,,
1.18E+18,simonhuang_57772,2025-04-09T14:13:57.5260000+08:00,Just replied your email,,
1.18E+18,simonhuang_57772,2025-04-09T14:14:09.0960000+08:00,I will be here for your help,,
1.04E+18,shimu_woshen,2025-04-09T14:36:32.3300000+08:00,Is the microphone on this device not working?,,
1.36E+18,prashant_60409,2025-04-09T14:37:11.8850000+08:00,am i audible?,,ýýýý (1)
1.04E+18,shimu_woshen,2025-04-09T14:37:36.4990000+08:00,"no, we can't",,
1.04E+18,shimu_woshen,2025-04-09T14:38:06.6580000+08:00,or you can use another device and ssh to the server,,
1.18E+18,simonhuang_57772,2025-04-09T14:40:35.3400000+08:00,ssh to the server and share from your workstation will be better,,
1.36E+18,prashant_60409,2025-04-09T14:41:02.0290000+08:00,"send me the zoom link, we will connect",,
1.18E+18,simonhuang_57772,2025-04-09T14:42:09.0320000+08:00,https://us05web.zoom.us/j/3422814763?pwd=FuGHx8aWBbZkNYEuycgdEbf4YpdQSM.1,,
1.18E+18,simonhuang_57772,2025-04-09T14:43:57.2500000+08:00,Can you join?,,
1.36E+18,prashant_60409,2025-04-09T14:44:06.5830000+08:00,yes,,
1.18E+18,simonhuang_57772,2025-04-09T14:46:41.6490000+08:00,one moment,,
1.36E+18,prashant_60409,2025-04-09T14:46:48.1480000+08:00,ok,,
1.36E+18,prashant_60409,2025-04-09T14:49:35.9940000+08:00,its showing low network bandwidth from your side.,,
1.18E+18,simonhuang_57772,2025-04-09T14:52:04.9220000+08:00,Sorry but it looks like zoom is not working for me,,
1.18E+18,simonhuang_57772,2025-04-09T15:18:20.8950000+08:00,Can you hear me?,,
1.18E+18,simonhuang_57772,2025-04-09T15:18:22.9770000+08:00,Prashant,,
1.18E+18,simonhuang_57772,2025-04-09T15:20:59.7120000+08:00,Hi,,
1.36E+18,prashant_60409,2025-04-09T15:26:04.0890000+08:00,Are you have a meeting now?,,
1.18E+18,simonhuang_57772,2025-04-09T15:26:25.4860000+08:00,I have to wait for 9 min to open a new zoom meeting,,
1.36E+18,prashant_60409,2025-04-09T15:26:32.2020000+08:00,ok,,
1.36E+18,prashant_60409,2025-04-09T15:26:41.1760000+08:00,not a problem.,,
1.18E+18,simonhuang_57772,2025-04-09T15:28:03.0450000+08:00,"Before we do bash bin/startup.sh, I would like us to do
1. go through .env file together
2. remove /volumes dir to avoid leftover
3. double-check fuxa image source",,
1.36E+18,prashant_60409,2025-04-09T15:28:42.6840000+08:00,k,,
1.36E+18,prashant_60409,2025-04-10T13:20:34.0420000+08:00,"Hi Simon, good morning.
Can you give some documentation file , like how to run the supOS.
We have installed the supOS CE, We have run bash bin/startup.sh what are the next steps",,
1.36E+18,prashant_60409,2025-04-10T14:01:17.0880000+08:00,Hi,,
1.36E+18,prashant_60409,2025-04-10T14:01:50.8890000+08:00,Need support for supOS CE,,
1.04E+18,shimu_woshen,2025-04-10T15:26:47.4090000+08:00,OK,,
1.04E+18,shimu_woshen,2025-04-10T15:28:05.3930000+08:00,Simply use any web browser,,
1.04E+18,shimu_woshen,2025-04-10T15:28:13.6580000+08:00,access the webpage,,
1.36E+18,prashant_60409,2025-04-10T15:31:01.0140000+08:00,how? and what we need to express in the webpage?,,
1.36E+18,prashant_60409,2025-04-10T15:31:19.7250000+08:00,can you send the webpage details,,
1.36E+18,prashant_60409,2025-04-10T15:32:16.3400000+08:00,What are the system requirement?,,
1.04E+18,shimu_woshen,2025-04-10T15:33:02.5680000+08:00,you can read the readme.md first,,
1.04E+18,shimu_woshen,2025-04-10T15:33:16.3080000+08:00,https://github.com/FREEZONEX/supOS-CE,,
1.36E+18,prashant_60409,2025-04-10T15:38:15.9170000+08:00,"we have tried it,  but not getting the dashboard and nor able to get  the app.
Actually after giving the command of bash bin/startup.sh its is completing, but not going further, what will be the steps for it",,
1.04E+18,shimu_woshen,2025-04-10T15:39:38.4280000+08:00,,https://cdn.discordapp.com/attachments/1183779001567809549/1359794943530631219/image.png?ex=68ded4fa&is=68dd837a&hm=9845a716bc611027ea6fa13f9edb33b99cc54b913ff29ac6c218798ebc9db983&,
1.04E+18,shimu_woshen,2025-04-10T15:40:27.4210000+08:00,Did you notice this place?,,ýýýý (1)
1.36E+18,prashant_60409,2025-04-10T15:44:13.2590000+08:00,we are not getting the login page? getting server is busy always. Kindly help to resolve it.,,
1.04E+18,shimu_woshen,2025-04-10T15:48:35.2150000+08:00,can you show the screenshot?,,
1.36E+18,prashant_60409,2025-04-10T16:41:41.8470000+08:00,,"https://cdn.discordapp.com/attachments/1183779001567809549/1359810560622989442/shared_image_1.jpeg?ex=68dee385&is=68dd9205&hm=3764e33c146dceb895c1d7702e0e538f6f232b713b8f95478bd65ac155406d70&,https://cdn.discordapp.com/attachments/1183779001567809549/1359810560979501186/shared_image.jpeg?ex=68dee385&is=68dd9205&hm=daec01f07dafd25d191db2d473eb08888a595e9ee68dad4a7625b15164b96aac&",
1.18E+18,simonhuang_57772,2025-04-10T16:57:58.8180000+08:00,please share content of your .env file,,
1.18E+18,simonhuang_57772,2025-04-10T16:58:26.1320000+08:00,"also, please check output of 'docker ps -a'",,
1.18E+18,simonhuang_57772,2025-04-10T16:58:41.9710000+08:00,to see if any container failed,,
1.36E+18,prashant_60409,2025-04-10T18:31:00.2290000+08:00,,https://cdn.discordapp.com/attachments/1183779001567809549/1359838068617777224/env_file_modified.docx?ex=68defd24&is=68ddaba4&hm=e30fff5db18a5a19616a735b5c636e83c3438a9e391de670c7ab9e3fc84d1f1e&,
1.36E+18,prashant_60409,2025-04-10T18:52:40.8050000+08:00,Send us one demo video of it,,
1.18E+18,simonhuang_57772,2025-04-11T10:44:39.8260000+08:00,We don't have demo videos yet,,
1.18E+18,simonhuang_57772,2025-04-11T10:46:05.6380000+08:00,"Your .env file shows you are using 192.168.56.1 as ENTRANCE_DOMAIN
So you will be only able to visit the platform by http://192.168.56.1:8080",https://cdn.discordapp.com/attachments/1183779001567809549/1360083458604404907/image.png?ex=68df38ed&is=68dde76d&hm=9dca307a519223f1edb0c5ba184b13c40449e69d4219dc7984ad1d86c0b59896&,
1.18E+18,simonhuang_57772,2025-04-11T10:46:18.3140000+08:00,Not other ip addresses,,
1.36E+18,prashant_60409,2025-04-11T14:04:59.9270000+08:00,"Hi Simon, good morning, Its showing the same, I have changed it , not open the login page, kindly guide",,
1.36E+18,prashant_60409,2025-04-11T14:22:34.9620000+08:00,"after clicking to the localhost:5173, the page is not opening.",https://cdn.discordapp.com/attachments/1183779001567809549/1360137939706712209/shared_image_6.jpg?ex=68df6baa&is=68de1a2a&hm=935b207f75e97b86ed6cfad53cc5ad67010eac73271cae4456cc8b8437b4348e&,
1.36E+18,prashant_60409,2025-04-11T14:26:03.3160000+08:00,"tried with all the three options, Local, Network, Network",,
1.36E+18,prashant_60409,2025-04-11T14:28:21.9570000+08:00,its showing server busy,,
1.36E+18,prashant_60409,2025-04-14T16:27:48.2850000+08:00,"Hi Simon, I am facing problem in login page, its showing server busy, when the give pnpm start, it shows the localhost and network, when I click it starts and redirect to the page, but after few seconds it displays, server busy, kindly help me",,
1.04E+18,shimu_woshen,2025-04-15T15:24:52.8330000+08:00,we have updated the script,,
1.04E+18,shimu_woshen,2025-04-15T15:26:24.5800000+08:00,you can use bash bin/uninstall.sh,,
1.04E+18,shimu_woshen,2025-04-15T15:26:36.7630000+08:00,and update the script from github,,
1.04E+18,shimu_woshen,2025-04-15T15:26:44.7610000+08:00,then try again,,
1.36E+18,prashant_60409,2025-04-15T18:02:30.0150000+08:00,We have completed the setupï¿½ï,,ýýýý (1)
1.04E+18,shimu_woshen,2025-04-16T15:36:06.7810000+08:00,reallyï¿½,,
1.04E+18,shimu_woshen,2025-04-16T15:36:25.2200000+08:00,great!,,
1.36E+18,prashant_60409,2025-04-16T15:57:22.2440000+08:00,"Yes, thanks for your wonderful support",,
1.36E+18,prashant_60409,2025-04-17T18:31:21.4470000+08:00,Hi Shimu,,
1.36E+18,prashant_60409,2025-04-17T18:31:48.3340000+08:00,Could you please confirm how many more years supOS will continue to receive official support and updates?,,
1.36E+18,prashant_60409,2025-04-17T18:31:51.4280000+08:00,We are planning long-term integration and need to understand the support roadmap for supOS.,,
1.36E+18,prashant_60409,2025-04-17T19:48:50.8030000+08:00,"Hi Shimu, we are not able to login into the supos page, showing server page error , could you please help me to sort this and start",,
1.36E+18,prashant_60409,2025-04-17T19:55:17.6710000+08:00,"message is showing server is busy, Error : An invalid response was received from the upstream server.",,
1.36E+18,prashant_60409,2025-04-17T20:11:14.0050000+08:00,,https://cdn.discordapp.com/attachments/1183779001567809549/1362400007306871016/image.png?ex=68df14a1&is=68ddc321&hm=f1ea85c24bde4347782620211882a3c6f8e143738f74cfbd1f81c2dd8bdab8a9&,
1.04E+18,shimu_woshen,2025-04-18T09:37:00.7090000+08:00,"The current version is a CE version, which is not considered long-term support,  But we will always maintain the project. And a lot of the problems are basic operational issues, you need someone who knows docker to deploy it.
If you need long term support, you'll have to wait until the commercial version is developed.ï¿½ï",,
1.04E+18,shimu_woshen,2025-04-18T09:38:37.8290000+08:00,do you restart  the server?  try docker ps -a and see if all the container is running,,
1.36E+18,prashant_60409,2025-04-18T12:27:37.5940000+08:00,"Very Good Morning Shimu, 
Thanks for the updates will check and let you know.
!!Have a Good Day!!",,
